#chrom	chrom_start	chrom_stop	length	left_gene	left_strand	right_gene	right_strand
Chr_1	3445	4237	793	CC1G_13429.2	+1	CC1G_13545.2	+1
Chr_1	4857	6460	1604	CC1G_13545.2	+1	CC1G_13546.2	-1
Chr_1	7786	8869	1084	CC1G_13546.2	-1	CC1G_12277.2	-1
Chr_1	12767	19160	6394	CC1G_12277.2	-1	CC1G_12279.2	+1
Chr_1	20249	22445	2197	CC1G_12279.2	+1	CC1G_13547.2	+1
Chr_1	24447	24979	533	CC1G_13547.2	+1	CC1G_13548.2	+1
Chr_1	26240	27003	764	CC1G_13548.2	+1	CC1G_12281.2	-1
Chr_1	28075	28329	255	CC1G_12281.2	-1	CC1G_12282.2	-1
Chr_1	30528	30837	310	CC1G_12282.2	-1	CC1G_12283.2	-1
Chr_1	32837	34320	1484	CC1G_12283.2	-1	CC1G_12284.2	+1
Chr_1	34654	35259	606	CC1G_12284.2	+1	CC1G_12285.2	-1
Chr_1	37893	38524	632	CC1G_12285.2	-1	CC1G_13549.2	+1
Chr_1	39136	39617	482	CC1G_13549.2	+1	CC1G_12286.2	+1
Chr_1	44058	44088	31	CC1G_12286.2	+1	CC1G_12287.2	-1
Chr_1	44698	45463	766	CC1G_12287.2	-1	CC1G_13290.2	-1
Chr_1	48772	49312	541	CC1G_13290.2	-1	CC1G_13291.2	+1
Chr_1	51850	51886	37	CC1G_13291.2	+1	CC1G_13550.2	+1
Chr_1	53755	53785	31	CC1G_13550.2	+1	CC1G_12798.2	-1
Chr_1	54553	54691	139	CC1G_12798.2	-1	CC1G_12799.2	+1
Chr_1	55824	56848	1025	CC1G_12799.2	+1	CC1G_12800.2	+1
Chr_1	57843	58128	286	CC1G_12800.2	+1	CC1G_12801.2	+1
Chr_1	58800	59225	426	CC1G_12801.2	+1	CC1G_12802.2	-1
Chr_1	59691	60816	1126	CC1G_12802.2	-1	CC1G_12803.2	+1
Chr_1	61438	62923	1486	CC1G_12803.2	+1	CC1G_13551.2	+1
Chr_1	63647	63743	97	CC1G_13551.2	+1	CC1G_12804.2	+1
Chr_1	66708	66851	144	CC1G_12804.2	+1	CC1G_13552.2	-1
