#gene	transcript	clone	chrom	strand	pep_length	spliced_length	start	stop	chrom_start	chrom_stop	genome_start	genome_stop	gmap	source	version	method
CC1G_13429.2	CC1G_13429T0	Chr_1	Chr_1	+1	942	2829	505	3444	505	3444	505	3444	0	BroadInstitute	2	predicted
CC1G_13545.2	CC1G_13545T0	Chr_1	Chr_1	+1	187	564	4238	4856	4238	4856	4238	4856	0	BroadInstitute	2	predicted
CC1G_13546.2	CC1G_13546T0	Chr_1	Chr_1	-1	165	498	6461	7785	6461	7785	6461	7785	0	BroadInstitute	2	predicted
CC1G_12277.2	CC1G_12277T0	Chr_1	Chr_1	-1	1035	3108	8870	12766	8870	12766	8870	12766	0	BroadInstitute	2	predicted
CC1G_12279.2	CC1G_12279T0	Chr_1	Chr_1	+1	340	1023	19161	20248	19161	20248	19161	20248	0	BroadInstitute	2	predicted
CC1G_13547.2	CC1G_13547T0	Chr_1	Chr_1	+1	482	1449	22446	24446	22446	24446	22446	24446	0	BroadInstitute	2	predicted
CC1G_13548.2	CC1G_13548T0	Chr_1	Chr_1	+1	409	1230	24980	26239	24980	26239	24980	26239	0	BroadInstitute	2	predicted
CC1G_12281.2	CC1G_12281T0	Chr_1	Chr_1	-1	331	996	27004	28074	27004	28074	27004	28074	0	BroadInstitute	2	predicted
CC1G_12282.2	CC1G_12282T0	Chr_1	Chr_1	-1	579	1740	28330	30527	28330	30527	28330	30527	0	BroadInstitute	2	predicted
CC1G_12283.2	CC1G_12283T0	Chr_1	Chr_1	-1	628	1887	30838	32836	30838	32836	30838	32836	0	BroadInstitute	2	predicted
CC1G_12284.2	CC1G_12284T0	Chr_1	Chr_1	+1	110	333	34321	34653	34321	34653	34321	34653	0	BroadInstitute	2	predicted
CC1G_12285.2	CC1G_12285T0	Chr_1	Chr_1	-1	628	1887	35260	37892	35260	37892	35260	37892	0	BroadInstitute	2	predicted
CC1G_13549.2	CC1G_13549T0	Chr_1	Chr_1	+1	64	195	38525	39135	38525	39135	38525	39135	0	BroadInstitute	2	predicted
CC1G_12286.2	CC1G_12286T0	Chr_1	Chr_1	+1	1289	3870	39618	44057	39618	44057	39618	44057	0	BroadInstitute	2	predicted
CC1G_12287.2	CC1G_12287T0	Chr_1	Chr_1	-1	202	609	44089	44697	44089	44697	44089	44697	0	BroadInstitute	2	predicted
CC1G_13290.2	CC1G_13290T0	Chr_1	Chr_1	-1	955	2868	45464	48771	45464	48771	45464	48771	0	BroadInstitute	2	predicted
CC1G_13291.2	CC1G_13291T0	Chr_1	Chr_1	+1	714	2145	49313	51849	49313	51849	49313	51849	0	BroadInstitute	2	predicted
CC1G_13550.2	CC1G_13550T0	Chr_1	Chr_1	+1	530	1593	51887	53754	51887	53754	51887	53754	0	BroadInstitute	2	predicted
CC1G_12798.2	CC1G_12798T0	Chr_1	Chr_1	-1	217	654	53786	54552	53786	54552	53786	54552	0	BroadInstitute	2	predicted
CC1G_12799.2	CC1G_12799T0	Chr_1	Chr_1	+1	318	957	54692	55823	54692	55823	54692	55823	0	BroadInstitute	2	predicted
CC1G_12800.2	CC1G_12800T0	Chr_1	Chr_1	+1	270	813	56849	57842	56849	57842	56849	57842	0	BroadInstitute	2	predicted
CC1G_12801.2	CC1G_12801T0	Chr_1	Chr_1	+1	164	495	58129	58799	58129	58799	58129	58799	0	BroadInstitute	2	predicted
CC1G_12802.2	CC1G_12802T0	Chr_1	Chr_1	-1	135	408	59226	59690	59226	59690	59226	59690	0	BroadInstitute	2	predicted
CC1G_12803.2	CC1G_12803T0	Chr_1	Chr_1	+1	146	441	60817	61437	60817	61437	60817	61437	0	BroadInstitute	2	predicted
CC1G_13551.2	CC1G_13551T0	Chr_1	Chr_1	+1	240	723	62924	63646	62924	63646	62924	63646	0	BroadInstitute	2	predicted
CC1G_12804.2	CC1G_12804T0	Chr_1	Chr_1	+1	862	2589	63744	66707	63744	66707	63744	66707	0	BroadInstitute	2	predicted
CC1G_13552.2	CC1G_13552T0	Chr_1	Chr_1	-1	188	567	66852	67478	66852	67478	66852	67478	0	BroadInstitute	2	predicted
CC1G_12805.2	CC1G_12805T0	Chr_1	Chr_1	+1	722	2169	67938	70161	67938	70161	67938	70161	0	BroadInstitute	2	predicted
CC1G_13553.2	CC1G_13553T0	Chr_1	Chr_1	-1	188	567	77914	78540	77914	78540	77914	78540	0	BroadInstitute	2	predicted
CC1G_13554.2	CC1G_13554T0	Chr_1	Chr_1	+1	146	441	88528	89306	88528	89306	88528	89306	0	BroadInstitute	2	predicted
CC1G_13555.2	CC1G_13555T0	Chr_1	Chr_1	-1	64	195	90120	90383	90120	90383	90120	90383	0	BroadInstitute	2	predicted
CC1G_02740.2	CC1G_02740T0	Chr_1	Chr_1	-1	702	2109	91187	93854	91187	93854	91187	93854	0	BroadInstitute	2	predicted
CC1G_02741.2	CC1G_02741T0	Chr_1	Chr_1	+1	124	375	94895	95402	94895	95402	94895	95402	0	BroadInstitute	2	predicted
CC1G_02744.2	CC1G_02744T0	Chr_1	Chr_1	+1	303	912	103205	104887	103205	104887	103205	104887	0	BroadInstitute	2	predicted
CC1G_13556.2	CC1G_13556T0	Chr_1	Chr_1	+1	76	231	105228	105458	105228	105458	105228	105458	0	BroadInstitute	2	predicted
CC1G_02745.2	CC1G_02745T0	Chr_1	Chr_1	+1	173	522	107490	108066	107490	108066	107490	108066	0	BroadInstitute	2	predicted
CC1G_02746.2	CC1G_02746T0	Chr_1	Chr_1	+1	329	990	109090	110187	109090	110187	109090	110187	0	BroadInstitute	2	predicted
CC1G_02747.2	CC1G_02747T0	Chr_1	Chr_1	-1	137	414	110665	111150	110665	111150	110665	111150	0	BroadInstitute	2	predicted
CC1G_02748.2	CC1G_02748T0	Chr_1	Chr_1	-1	348	1047	111850	112952	111850	112952	111850	112952	0	BroadInstitute	2	predicted
CC1G_02749.2	CC1G_02749T0	Chr_1	Chr_1	-1	535	1608	113644	115251	113644	115251	113644	115251	0	BroadInstitute	2	predicted
CC1G_02750.2	CC1G_02750T0	Chr_1	Chr_1	+1	624	1875	115671	117739	115671	117739	115671	117739	0	BroadInstitute	2	predicted
CC1G_02751.2	CC1G_02751T0	Chr_1	Chr_1	-1	303	912	117868	118844	117868	118844	117868	118844	0	BroadInstitute	2	predicted
CC1G_02752.2	CC1G_02752T0	Chr_1	Chr_1	-1	916	2751	119697	123003	119697	123003	119697	123003	0	BroadInstitute	2	predicted
CC1G_02753.2	CC1G_02753T0	Chr_1	Chr_1	-1	406	1221	123878	125243	123878	125243	123878	125243	0	BroadInstitute	2	predicted
CC1G_02754.2	CC1G_02754T0	Chr_1	Chr_1	-1	641	1926	125508	127789	125508	127789	125508	127789	0	BroadInstitute	2	predicted
CC1G_02755.2	CC1G_02755T0	Chr_1	Chr_1	+1	1145	3438	128015	132041	128015	132041	128015	132041	0	BroadInstitute	2	predicted
CC1G_02757.2	CC1G_02757T0	Chr_1	Chr_1	-1	191	576	133778	134530	133778	134530	133778	134530	0	BroadInstitute	2	predicted
CC1G_02758.2	CC1G_02758T0	Chr_1	Chr_1	-1	345	1038	136512	138261	136512	138261	136512	138261	0	BroadInstitute	2	predicted
CC1G_02759.2	CC1G_02759T0	Chr_1	Chr_1	-1	351	1056	139081	140316	139081	140316	139081	140316	0	BroadInstitute	2	predicted
CC1G_02760.2	CC1G_02760T0	Chr_1	Chr_1	-1	795	2388	141705	144201	141705	144201	141705	144201	0	BroadInstitute	2	predicted
CC1G_02761.2	CC1G_02761T0	Chr_1	Chr_1	-1	190	573	144798	145492	144798	145492	144798	145492	0	BroadInstitute	2	predicted
CC1G_02762.2	CC1G_02762T0	Chr_1	Chr_1	+1	154	465	147212	147823	147212	147823	147212	147823	0	BroadInstitute	2	predicted
CC1G_02763.2	CC1G_02763T0	Chr_1	Chr_1	-1	375	1128	148264	149391	148264	149391	148264	149391	0	BroadInstitute	2	predicted
CC1G_02765.2	CC1G_02765T0	Chr_1	Chr_1	-1	288	867	150897	151846	150897	151846	150897	151846	0	BroadInstitute	2	predicted
CC1G_02766.2	CC1G_02766T0	Chr_1	Chr_1	-1	325	978	154443	156148	154443	156148	154443	156148	0	BroadInstitute	2	predicted
CC1G_02767.2	CC1G_02767T0	Chr_1	Chr_1	+1	179	540	157439	158098	157439	158098	157439	158098	0	BroadInstitute	2	predicted
CC1G_02768.2	CC1G_02768T0	Chr_1	Chr_1	-1	559	1680	159309	163251	159309	163251	159309	163251	0	BroadInstitute	2	predicted
CC1G_02769.2	CC1G_02769T0	Chr_1	Chr_1	-1	1640	4923	165451	170819	165451	170819	165451	170819	0	BroadInstitute	2	predicted
CC1G_02770.2	CC1G_02770T0	Chr_1	Chr_1	+1	614	1845	171780	173850	171780	173850	171780	173850	0	BroadInstitute	2	predicted
CC1G_02771.2	CC1G_02771T0	Chr_1	Chr_1	+1	405	1218	174315	175701	174315	175701	174315	175701	0	BroadInstitute	2	predicted
CC1G_02772.2	CC1G_02772T0	Chr_1	Chr_1	-1	1040	3123	175889	179476	175889	179476	175889	179476	0	BroadInstitute	2	predicted
CC1G_02773.2	CC1G_02773T0	Chr_1	Chr_1	+1	719	2160	179678	181991	179678	181991	179678	181991	0	BroadInstitute	2	predicted
CC1G_02774.2	CC1G_02774T0	Chr_1	Chr_1	-1	403	1212	182461	183837	182461	183837	182461	183837	0	BroadInstitute	2	predicted
CC1G_02775.2	CC1G_02775T0	Chr_1	Chr_1	-1	153	462	184781	185294	184781	185294	184781	185294	0	BroadInstitute	2	predicted
CC1G_02776.2	CC1G_02776T0	Chr_1	Chr_1	-1	201	606	186428	187242	186428	187242	186428	187242	0	BroadInstitute	2	predicted
CC1G_02777.2	CC1G_02777T0	Chr_1	Chr_1	-1	248	747	189468	190340	189468	190340	189468	190340	0	BroadInstitute	2	predicted
CC1G_02778.2	CC1G_02778T0	Chr_1	Chr_1	+1	347	1044	191053	192266	191053	192266	191053	192266	0	BroadInstitute	2	predicted
CC1G_02779.2	CC1G_02779T0	Chr_1	Chr_1	+1	173	522	194441	194962	194441	194962	194441	194962	0	BroadInstitute	2	predicted
CC1G_13557.2	CC1G_13557T0	Chr_1	Chr_1	-1	371	1116	195405	197149	195405	197149	195405	197149	0	BroadInstitute	2	predicted
CC1G_13558.2	CC1G_13558T0	Chr_1	Chr_1	-1	134	405	198057	198461	198057	198461	198057	198461	0	BroadInstitute	2	predicted
CC1G_02781.2	CC1G_02781T0	Chr_1	Chr_1	-1	117	354	199660	200013	199660	200013	199660	200013	0	BroadInstitute	2	predicted
CC1G_02782.2	CC1G_02782T0	Chr_1	Chr_1	-1	463	1392	200677	202068	200677	202068	200677	202068	0	BroadInstitute	2	predicted
CC1G_02784.2	CC1G_02784T0	Chr_1	Chr_1	-1	3043	9132	202969	212804	202969	212804	202969	212804	0	BroadInstitute	2	predicted
CC1G_02785.2	CC1G_02785T0	Chr_1	Chr_1	-1	193	582	215084	215665	215084	215665	215084	215665	0	BroadInstitute	2	predicted
CC1G_02786.2	CC1G_02786T0	Chr_1	Chr_1	-1	149	450	217281	217730	217281	217730	217281	217730	0	BroadInstitute	2	predicted
CC1G_02787.2	CC1G_02787T0	Chr_1	Chr_1	-1	919	2760	218742	221866	218742	221866	218742	221866	0	BroadInstitute	2	predicted
CC1G_02788.2	CC1G_02788T0	Chr_1	Chr_1	+1	445	1338	223183	224578	223183	224578	223183	224578	0	BroadInstitute	2	predicted
CC1G_13559.2	CC1G_13559T0	Chr_1	Chr_1	-1	171	516	224871	225386	224871	225386	224871	225386	0	BroadInstitute	2	predicted
CC1G_13560.2	CC1G_13560T0	Chr_1	Chr_1	-1	361	1086	226633	227785	226633	227785	226633	227785	0	BroadInstitute	2	predicted
CC1G_13561.2	CC1G_13561T0	Chr_1	Chr_1	-1	306	921	228109	229180	228109	229180	228109	229180	0	BroadInstitute	2	predicted
CC1G_02791.2	CC1G_02791T0	Chr_1	Chr_1	+1	985	2958	229355	233154	229355	233154	229355	233154	0	BroadInstitute	2	predicted
CC1G_02792.2	CC1G_02792T0	Chr_1	Chr_1	-1	642	1929	233239	235342	233239	235342	233239	235342	0	BroadInstitute	2	predicted
CC1G_02793.2	CC1G_02793T0	Chr_1	Chr_1	+1	339	1020	236015	237207	236015	237207	236015	237207	0	BroadInstitute	2	predicted
CC1G_02794.2	CC1G_02794T0	Chr_1	Chr_1	-1	452	1359	237324	238682	237324	238682	237324	238682	0	BroadInstitute	2	predicted
CC1G_02795.2	CC1G_02795T0	Chr_1	Chr_1	-1	332	999	239935	241088	239935	241088	239935	241088	0	BroadInstitute	2	predicted
CC1G_13562.2	CC1G_13562T0	Chr_1	Chr_1	-1	296	891	243447	244449	243447	244449	243447	244449	0	BroadInstitute	2	predicted
CC1G_13563.2	CC1G_13563T0	Chr_1	Chr_1	-1	157	474	245070	245602	245070	245602	245070	245602	0	BroadInstitute	2	predicted
CC1G_13564.2	CC1G_13564T0	Chr_1	Chr_1	-1	591	1776	246562	248502	246562	248502	246562	248502	0	BroadInstitute	2	predicted
CC1G_13565.2	CC1G_13565T0	Chr_1	Chr_1	-1	479	1440	249326	251428	249326	251428	249326	251428	0	BroadInstitute	2	predicted
CC1G_02798.2	CC1G_02798T0	Chr_1	Chr_1	-1	73	222	251904	252364	251904	252364	251904	252364	0	BroadInstitute	2	predicted
CC1G_02799.2	CC1G_02799T0	Chr_1	Chr_1	+1	221	666	252941	253660	252941	253660	252941	253660	0	BroadInstitute	2	predicted
CC1G_02800.2	CC1G_02800T0	Chr_1	Chr_1	+1	325	978	253880	255010	253880	255010	253880	255010	0	BroadInstitute	2	predicted
CC1G_02801.2	CC1G_02801T0	Chr_1	Chr_1	-1	455	1368	255147	257453	255147	257453	255147	257453	0	BroadInstitute	2	predicted
CC1G_02802.2	CC1G_02802T0	Chr_1	Chr_1	-1	485	1458	259162	260619	259162	260619	259162	260619	0	BroadInstitute	2	predicted
CC1G_02803.2	CC1G_02803T0	Chr_1	Chr_1	+1	336	1011	261678	263498	261678	263498	261678	263498	0	BroadInstitute	2	predicted
CC1G_02804.2	CC1G_02804T0	Chr_1	Chr_1	-1	1374	4125	263730	268061	263730	268061	263730	268061	0	BroadInstitute	2	predicted
CC1G_02805.2	CC1G_02805T0	Chr_1	Chr_1	+1	704	2115	269152	271690	269152	271690	269152	271690	0	BroadInstitute	2	predicted
CC1G_02806.2	CC1G_02806T0	Chr_1	Chr_1	+1	547	1644	271967	273731	271967	273731	271967	273731	0	BroadInstitute	2	predicted
CC1G_02807.2	CC1G_02807T0	Chr_1	Chr_1	-1	1589	4770	274171	280171	274171	280171	274171	280171	0	BroadInstitute	2	predicted
