#chrom	feature	start	stop
Chr_1	tssr6	422408	422428
Chr_1	tssr9	814087	814107
Chr_1	tssr10	865378	865398
Chr_1	tssr21	1725697	1725717
Chr_1	tssr22	1874097	1874117
Chr_1	tssr26	2103669	2103689
Chr_1	tssr28	2326372	2326392
Chr_1	tssr_ade3	2548109	2550871
Chr_1	tssr_Afactor	2647744	2666135
Chr_1	tssr47	3827620	3827640
Chr_1	tssr49	3914878	3914898
Chr_1	tssr52	4145744	4146986
Chr_2	tssr510	20444	20464
Chr_2	tssr512	63278	63298
Chr_2	tssr514	133389	133419
Chr_2	tssr519	184373	184393
Chr_2	tssr176	304949	304969
Chr_2	tssr178	343850	343870
Chr_2	tssr184	407775	407805
Chr_2	tssr186	439003	438023
Chr_2	tssr187	504084	504114
Chr_2	tssr188	524938	524958
Chr_2	tssr_trp1	1066263	1068918
Chr_2	tssr207	2616059	2616089
Chr_2	tssr452	2977913	2977933
Chr_2	tssr454	3096062	3096082
Chr_2	tssr457	3158569	3158599
Chr_2	tssr459	3210465	3210485
Chr_2	tssr460	3330511	3330531
Chr_2	tssr462	3343918	3343948
Chr_2	tssr505	3556541	3556561
Chr_2	tssr507	3606780	3606810
Chr_2	tssr508	3645295	3645315
Chr_2	tssr509	3707927	3743637
Chr_3	tssr-54	100043	100044
Chr_3	tssr-57	149713	149714
Chr_3	tssr59	219538	219558
Chr_3	tssr-60	346918	346919
Chr_3	tssr-63	535087	535088
Chr_3	tssr-65	796517	796518
Chr_3	tssr-73	1304066	1304067
Chr_3	tssr-77	1732454	1732455
Chr_3	tssr-87	2772053	2772054
Chr_3	tssr89	2796613	2796633
Chr_3	tssr93	3070392	3070412
Chr_3	tssr-95	3238127	3238128
Chr_3	tssr-101	3344587	3344588
Chr_3	tssr-109	3572610	3623902
Chr_4	tssr463	143306	143326
Chr_4	tssr467	390192	390212
Chr_4	tssr468	442450	442470
Chr_4	tssr383	603398	603418
Chr_4	tssr-385	695340	695341
Chr_4	tssr387	778648	778668
Chr_4	tssr389	792346	792366
Chr_4	tssr393	997293	997313
Chr_4	tssr398	1281303	1281323
Chr_4	tssr-401	1431515	1431516
Chr_4	tssr-310	1676423	1676424
Chr_4	tssr-315	2064397	2064398
Chr_4	tssr-324	3109552	3109553
Chr_4	tssr-326	3252718	3252719
Chr_4	tssr328	3374443	3374463
Chr_4	tssr-330	3397079	3559201
Chr_5	tssr-440	162816	162817
Chr_5	tssr-437	192280	192281
Chr_5	tssr-434	310287	310288
Chr_5	tssr-430	424230	424231
Chr_5	tssr-428	517646	517647
Chr_5	tssr336	1158687	1158707
Chr_5	tssr-340	1904988	1904989
Chr_5	tssr-343	2016633	2016634
Chr_5	tssr-346	2516950	2516951
Chr_5	tssr351	2677273	2677293
Chr_5	tssr-424	3157498	3468139
Chr_6	tssr352	357588	357589
Chr_6	tssr355	510970	510971
Chr_6	tssr366	1215201	1215202
Chr_6	tssr367	1355167	1355187
Chr_6	tssr369	1455295	2020770
Chr_7	tssr496	3493	3513
Chr_7	tssr494	17375	17395
Chr_7	tssr493	32471	32472
Chr_7	tssr488	244433	244434
Chr_7	tssr487	296466	296486
Chr_7	tssr110	447513	447514
Chr_7	tssr112	585456	585457
Chr_7	tssr113	661626	661627
Chr_7	tssr122	1071539	1071559
Chr_7	tssr131	2066824	2066825
Chr_7	tssr133	2339432	2339452
Chr_7	tssr137	2531597	2531598
Chr_7	tssr140	2711884	2711904
Chr_7	tssr539	2959811	2959812
Chr_8	tssr287	109850	109851
Chr_8	tssr295	411732	411733
Chr_8	tssr296	922302	922303
Chr_8	tssr297	1263071	1263072
Chr_8	tssr301	1863743	1863744
Chr_8	tssr304	2015352	2015353
Chr_8	tssr306	2052669	2052670
Chr_8	tssr502	2448721	2513103
Chr_9	tssr145	201979	201999
Chr_9	tssr147	382997	383017
Chr_9	tssr149	586083	586103
Chr_9	tssr150	594122	594142
Chr_9	tssr153	741161	741181
Chr_9	tssr154	858899	858919
Chr_9	tssr167	2037436	2486401
Chr_10	tssr220	339454	339474
Chr_10	tssr221	391929	391949
Chr_10	tssr222	529244	529245
Chr_10	tssr231	1371321	1371341
Chr_10	tssr_Bfactor	1719108	1740167
Chr_10	tssr235	1790940	1790960
Chr_10	tssr236	1801055	2252722
Chr_11	tssr442	102606	102607
Chr_11	tssr475	1025778	1025798
Chr_11	tssr477	1086412	1086432
Chr_11	tssr417	1173645	1173665
Chr_11	tssr413	1225356	1954623
Chr_12	tssr246	47660	47661
Chr_12	tssr249	235384	235404
Chr_12	tssr250	264317	264337
Chr_12	tssr253	369268	369288
Chr_12	tssr254	390766	390786
Chr_12	tssr256	495302	495322
Chr_12	tssr259	729957	729958
Chr_12	tssr260	777883	777903
Chr_12	tssr262	879006	879026
Chr_12	tssr269	1444311	1444312
Chr_12	tssr277	1886896	1886897
Chr_12	tssr281	2043821	2097972
Chr_13	tssr370	61925	61945
Chr_13	tssr373	344348	344349
Chr_13	tssr374	348230	348231
Chr_13	tssr378	610492	982921
