#chrom	start	stop	class
Chr_1	247	267	Simple_repeat
Chr_1	5114	5245	Unknown:R97
Chr_1	5162	5330	Unknown:R97
Chr_1	5317	5455	Unknown:R97
Chr_1	5418	5570	Unknown:R97
Chr_1	5580	5860	Unknown:R97
Chr_1	5631	5909	Unknown:R97
Chr_1	5903	5992	Unknown:R97
Chr_1	6050	6452	Unknown:R180
Chr_1	6450	6843	Unknown:R6
Chr_1	6844	6927	Unknown:R180
Chr_1	6868	7064	Unknown:R180
Chr_1	7014	7114	Unknown:R398
Chr_1	7112	7549	Unknown:R8
Chr_1	7757	7875	Unknown:R335
Chr_1	9366	9490	Simple_repeat
Chr_1	11548	11662	Simple_repeat
Chr_1	12637	12704	Simple_repeat
Chr_1	13601	13626	Simple_repeat
Chr_1	20519	20571	Simple_repeat
Chr_1	21312	21364	Simple_repeat
Chr_1	35056	35146	Simple_repeat
Chr_1	35681	35779	Simple_repeat
Chr_1	37642	37668	Simple_repeat
Chr_1	37923	37959	Simple_repeat
Chr_1	38028	38128	Simple_repeat
Chr_1	39154	39456	Unknown:R299
Chr_1	39474	40519	Unknown:R236
Chr_1	40524	40586	Unknown:R446
Chr_1	40977	42782	Unknown:R61
Chr_1	42761	43388	Unknown:R423
Chr_1	44755	44777	Simple_repeat
Chr_1	46277	46654	Unknown:R205
Chr_1	46870	46926	Unknown:R151
Chr_1	48552	48738	Unknown:R455
Chr_1	48849	49151	Unknown:R299
Chr_1	49169	50214	Unknown:R236
Chr_1	50220	50282	Unknown:R446
Chr_1	50673	52478	Unknown:R61
Chr_1	52457	53084	Unknown:R423
Chr_1	62781	62914	Unknown:R493
Chr_1	63235	63298	Unknown:R489
Chr_1	63796	64366	Unknown:R197
Chr_1	64351	64999	Unknown:R264
Chr_1	64926	65018	Unknown:R474
Chr_1	65181	65412	Unknown:R438
Chr_1	66078	66137	Unknown:R484
Chr_1	66191	66267	Unknown:R498
Chr_1	66290	66363	Unknown:R466
Chr_1	66516	66585	Unknown:R487
Chr_1	67724	67835	Unknown:R445
Chr_1	67954	68936	Unknown:R256
Chr_1	68914	68992	Unknown:R163
Chr_1	69016	70476	Unknown:R163
Chr_1	70469	71040	Unknown:R280
Chr_1	71408	71466	Unknown:R274
Chr_1	71681	71796	Unknown:R519
Chr_1	72000	72451	Unknown:R0
Chr_1	72452	72477	Simple_repeat
Chr_1	72478	73244	Unknown:R0
Chr_1	73246	74863	Unknown:R0
Chr_1	74861	75430	Unknown:R197
Chr_1	75415	76063	Unknown:R264
Chr_1	75990	76082	Unknown:R474
Chr_1	76245	76476	Unknown:R438
