#chrom	start	stop	block
Chr_1	3391941	3405143	Block_391
Chr_1	952626	1006417	Block_384
Chr_1	3118509	3138575	Block_387
Chr_1	2144831	2169180	Block_385
Chr_1	3195676	3208223	Block_389
Chr_1	1007832	1086809	Block_386
Chr_1	571059	645685	Block_480
Chr_1	3491457	3508090	Block_394
Chr_1	3496599	3501140	Block_464
Chr_1	2276681	2873955	Block_375
Chr_1	2895705	3113236	Block_376
Chr_1	1348573	1375311	Block_383
Chr_1	1094291	1118427	Block_388
Chr_1	822976	915998	Block_380
Chr_1	3223199	3322268	Block_378
Chr_1	249326	337798	Block_479
Chr_1	1102912	1223409	Block_339
Chr_1	454728	483227	Block_704
Chr_1	3636799	3684615	Block_484
Chr_1	1331777	1344795	Block_390
Chr_1	1451152	2144611	Block_374
Chr_1	3142917	3195117	Block_381
Chr_1	1374583	1448433	Block_377
Chr_1	1253592	1274590	Block_748
Chr_1	3718181	3761051	Block_699
Chr_1	3563056	3600972	Block_392
Chr_1	3800837	3856928	Block_483
Chr_1	3510513	3535985	Block_395
Chr_1	802582	817705	Block_393
Chr_1	2173255	2258741	Block_379
Chr_1	890304	949802	Block_382
Chr_1	714607	767944	Block_340
Chr_1	375803	393886	Block_705
Chr_10	1221061	1267450	Block_833
Chr_10	624332	635400	Block_836
Chr_10	940647	987951	Block_831
Chr_10	1719114	1812233	Block_703
Chr_10	1284523	1298681	Block_835
Chr_10	1965705	2011560	Block_586
Chr_10	1422691	1469259	Block_830
Chr_10	1042480	1075342	Block_832
Chr_10	145900	198226	Block_338
Chr_10	289969	360577	Block_834
Chr_10	1116741	1140792	Block_837
Chr_10	1380677	1399622	Block_838
Chr_11	1009683	1063174	Block_840
Chr_11	921817	1002607	Block_636
Chr_11	385626	430485	Block_370
Chr_11	851672	937996	Block_839
Chr_11	1087038	1113613	Block_842
Chr_11	1721324	1736412	Block_793
Chr_11	815082	840744	Block_635
Chr_11	1329894	1349674	Block_481
Chr_11	1369617	1662029	Block_639
Chr_11	862356	883436	Block_841
Chr_11	1022955	1041003	Block_637
Chr_11	1891726	1928741	Block_698
Chr_12	1484952	1547777	Block_817
Chr_12	293450	345141	Block_373
Chr_12	1188040	1225348	Block_752
Chr_12	1147205	1177866	Block_700
Chr_12	1305196	1314994	Block_751
Chr_12	1549925	1567046	Block_819
Chr_12	1372078	1394971	Block_754
Chr_12	1696624	1729207	Block_818
Chr_12	131100	169466	Block_799
Chr_12	1811843	1840805	Block_485
Chr_12	1233718	1285907	Block_753
Chr_13	898317	925933	Block_281
Chr_13	921128	940695	Block_791
Chr_13	515752	553193	Block_634
Chr_13	453956	468860	Block_626
Chr_13	562800	629515	Block_449
Chr_13	638680	647550	Block_574
Chr_2	86066	162180	Block_371
Chr_2	2437517	2460152	Block_763
Chr_2	2600127	2620094	Block_770
Chr_2	1788513	1827971	Block_762
Chr_2	1682954	1786215	Block_489
Chr_2	2620994	2643126	Block_771
Chr_2	1160389	1208819	Block_495
Chr_2	2668787	2708442	Block_767
Chr_2	647067	662949	Block_580
Chr_2	1365671	1375588	Block_500
Chr_2	1958406	2035848	Block_761
Chr_2	2974747	2989018	Block_775
