#gene	chrom	chrom_start	chrom_stop
CC1G_00004	Chr_5	871009	871200
CC1G_00016	Chr_5	905092	905960
CC1G_00019	Chr_5	910116	914439
CC1G_00020	Chr_5	914604	916168
CC1G_00023	Chr_5	920510	921895
CC1G_00028	Chr_5	935619	937022
CC1G_00040	Chr_5	968638	972393
CC1G_00045	Chr_5	978900	980201
CC1G_00054	Chr_5	1002901	1004651
CC1G_00056	Chr_5	1006704	1007618
CC1G_00062	Chr_5	1019533	1022107
CC1G_00064	Chr_5	1026267	1026717
CC1G_00069	Chr_5	1038707	1039504
CC1G_00078	Chr_5	1052246	1052560
CC1G_00081	Chr_5	1066878	1069386
CC1G_00085	Chr_5	1075220	1076040
CC1G_00099	Chr_5	1108163	1110776
CC1G_00105	Chr_5	1124777	1125222
CC1G_00111	Chr_5	1134926	1135668
CC1G_00134	Chr_5	1180624	1182269
CC1G_00136	Chr_5	1183749	1185934
CC1G_00139	Chr_5	1189880	1191239
CC1G_00152	Chr_5	1222233	1222825
CC1G_00155	Chr_5	1225865	1226946
CC1G_00157	Chr_5	1229865	1231296
CC1G_00158	Chr_5	1231544	1232331
CC1G_00171	Chr_5	1258021	1258929
CC1G_00172	Chr_5	1260340	1261118
CC1G_00174	Chr_5	1263216	1265623
CC1G_00177	Chr_5	1267706	1269565
CC1G_00184	Chr_5	1286786	1287696
CC1G_00190	Chr_5	1301300	1303081
CC1G_00194	Chr_5	1311404	1312649
CC1G_00200	Chr_5	1330381	1331800
CC1G_00202	Chr_5	1335802	1337339
CC1G_00208	Chr_5	1345621	1346711
CC1G_00216	Chr_5	1357322	1360812
CC1G_00218	Chr_5	1362497	1365501
CC1G_00225	Chr_5	1379154	1380141
CC1G_00234	Chr_5	1399645	1401228
CC1G_00243	Chr_5	1419243	1419876
CC1G_00250	Chr_5	1427214	1430497
CC1G_00258	Chr_5	1444072	1445212
CC1G_00265	Chr_5	1454687	1456802
CC1G_00267	Chr_5	1458763	1460462
CC1G_00269	Chr_5	1466719	1467534
