model1	model2	geneconfig	chrom	model1_start	model1_stop	model1_strand	model2_start	model2_end	model2_strand	ds	dn	dsdn
CC1G_01003	CC1G_01004	HeadtoTail	Ccin_Chr_7	1641686	1644827	-	1645915	1648088	-	NA	1.24	NA
CC1G_04368	CC1G_04369	HeadtoTail	Ccin_Chr_1	756227	759102	+	760023	763181	+	1.35	0.41	3.31
CC1G_12980	CC1G_12409	HeadtoTail	Ccin_Chr_4	2179927	2181367	+	2182825	2184265	+	0.22	0.04	5.63
CC1G_12213	CC1G_12214	HeadtoTail	Ccin_Chr_10	2078696	2080453	+	2081075	2082221	+	1.86	0.96	1.93
CC1G_07471	CC1G_07472	HeadtoTail	Ccin_Chr_9	554109	556932	+	557242	560102	+	NA	0.39	NA
CC1G_03554	CC1G_03555	HeadtoTail	Ccin_Chr_9	1811810	1813485	-	1814065	1815671	-	1.35	0.49	2.78
CC1G_11634	CC1G_11635	HeadtoTail	Ccin_Chr_4	1331666	1333044	-	1333294	1334761	-	2.53	0.31	8.03
CC1G_08179	CC1G_08180	TailtoTail	Ccin_Chr_5	2726141	2727002	-	2727803	2728639	+	1.69	0.97	1.74
CC1G_08178	CC1G_08179	HeadtoHead	Ccin_Chr_5	2724756	2725706	+	2726141	2727002	-	NA	1.02	NA
CC1G_14705	CC1G_08178	TailtoTail	Ccin_Chr_5	2722684	2723588	-	2724756	2725706	+	NA	0.88	NA
CC1G_08192	CC1G_08191	HeadtoTail	Ccin_Chr_5	624842	625903	+	626650	627576	+	1.83	0.84	2.17
CC1G_06460	CC1G_06461	HeadtoTail	Ccin_Chr_12	1301059	1301971	-	1303151	1304189	-	NA	0.32	NA
CC1G_06278	CC1G_06279	HeadtoTail	Ccin_Chr_4	1707817	1709170	+	1710573	1712179	+	NA	0.34	NA
CC1G_11984	CC1G_11985	TailtoTail	Ccin_Chr_6	1172667	1174432	-	1175254	1177109	+	NA	1.39	NA
CC1G_05641	CC1G_05643	HeadtoTail	Ccin_Chr_13	251222	253301	-	256027	258565	-	2.86	0.85	3.37
CC1G_07853	CC1G_07854	TailtoTail	Ccin_Chr_4	1245989	1246419	-	1248443	1248863	+	NA	0.57	NA
CC1G_08486	CC1G_08487	HeadtoTail	Ccin_Chr_12	704454	705306	+	705368	707259	+	1.82	1.00	1.82
CC1G_11110	CC1G_11109	HeadtoTail	Ccin_Chr_5	413035	414372	+	415173	416555	+	1.45	0.41	3.50
CC1G_07826	CC1G_07827	HeadtoTail	Ccin_Chr_4	1167543	1167935	-	1168387	1168917	-	1.25	0.51	2.44
CC1G_13868	CC1G_01139	HeadtoTail	Ccin_Chr_2	1036143	1037511	+	1037828	1039144	+	2.33	0.51	4.54
CC1G_00902	CC1G_00903	HeadtoTail	Ccin_Chr_7	1390952	1392793	-	1393260	1393853	-	1.53	0.43	3.52
CC1G_08246	CC1G_08245	HeadtoTail	Ccin_Chr_5	499909	501441	+	501658	503130	+	NA	0.82	NA
CC1G_02830	CC1G_02831	HeadtoTail	Ccin_Chr_1	332405	333069	-	333347	334119	-	2.20	1.00	2.20
CC1G_07483	CC1G_07484	TailtoTail	Ccin_Chr_9	588629	589381	-	589717	590690	+	2.21	0.54	4.11
CC1G_06607	CC1G_06608	HeadtoTail	Ccin_Chr_1	2934788	2935292	-	2935395	2935940	-	NA	0.72	NA
CC1G_02828	CC1G_02829	HeadtoTail	Ccin_Chr_1	329581	330403	-	331169	331815	-	1.96	0.38	5.14
CC1G_05819	CC1G_05820	HeadtoTail	Ccin_Chr_12	260801	261436	+	262244	263084	+	NA	0.48	NA
CC1G_14509	CC1G_14510	HeadtoTail	Ccin_Chr_4	3395469	3395740	+	3396992	3397216	+	0.22	0.10	2.26
CC1G_09025	CC1G_14853	HeadtoTail	Ccin_Chr_7	1755109	1756326	+	1756468	1757449	+	3.12	0.32	9.64
CC1G_02126	CC1G_02127	HeadtoTail	Ccin_Chr_10	1713309	1714514	-	1715582	1716182	-	2.17	0.49	4.47
CC1G_08252	CC1G_08251	TailtoTail	Ccin_Chr_5	486052	487539	-	487819	489252	+	4.78	0.54	8.80
CC1G_11856	CC1G_11857	HeadtoTail	Ccin_Chr_6	131363	132185	-	132562	134174	-	1.33	0.66	2.00
