model,Count,dS,dN,scaffold,start_position
CC1G_13429,5,1.34,0.74,Chr_1,505
CC1G_13545,5,1.34,0.74,Chr_1,4238
CC1G_13546,5,1.15,0.62,Chr_1,6461
CC1G_12277,5,0.91,0.49,Chr_1,8870
CC1G_12279,7,0.75,0.42,Chr_1,19161
CC1G_13548,8,0.61,0.36,Chr_1,24980
CC1G_12286,8,0.52,0.28,Chr_1,39618
CC1G_12287,10,0.42,0.22,Chr_1,44089
CC1G_13291,9,0.29,0.15,Chr_1,49313
CC1G_13550,8,0.08,0.05,Chr_1,51887
CC1G_12799,8,0.07,0.05,Chr_1,54692
CC1G_12801,8,0.08,0.05,Chr_1,58129
CC1G_13551,8,0.06,0.03,Chr_1,62924
CC1G_13552,8,0.1,0.06,Chr_1,66852
CC1G_12805,8,0.09,0.05,Chr_1,67938
CC1G_13554,5,1.11,0.36,Chr_1,88528
CC1G_02744,5,1.73,0.62,Chr_1,103205
CC1G_02746,6,1.73,0.47,Chr_1,109090
CC1G_02747,6,1.7,0.55,Chr_1,110665
CC1G_02749,6,2.09,0.6,Chr_1,113644
CC1G_02750,6,2.04,0.52,Chr_1,115671
CC1G_02757,7,2.23,0.82,Chr_1,133778
CC1G_02758,5,2.38,0.88,Chr_1,136512
CC1G_02760,4,2.38,0.9,Chr_1,141705
CC1G_02765,4,2.54,0.82,Chr_1,150897
CC1G_02769,5,2.53,1.05,Chr_1,165451
CC1G_02773,6,2,0.76,Chr_1,179678
CC1G_02774,6,1.7,0.74,Chr_1,182461
CC1G_02775,6,2.08,0.73,Chr_1,184781
CC1G_02779,6,1.88,0.65,Chr_1,194441
CC1G_13557,6,1.67,0.61,Chr_1,195405
CC1G_02781,7,1.7,0.58,Chr_1,199660
CC1G_02786,10,1.57,0.57,Chr_1,217281
CC1G_02788,11,1.48,0.55,Chr_1,223183
CC1G_13559,11,1.61,0.62,Chr_1,224871
CC1G_13560,11,1.47,0.6,Chr_1,226633
CC1G_02792,12,1.69,0.66,Chr_1,233239
CC1G_02793,13,1.66,0.74,Chr_1,236015
CC1G_02794,14,1.71,0.7,Chr_1,237324
CC1G_02795,15,1.88,0.75,Chr_1,239935
CC1G_13562,14,2,0.8,Chr_1,243447
CC1G_13563,14,1.98,0.79,Chr_1,245070
CC1G_13564,14,1.88,0.74,Chr_1,246562
