model1	model2	ds	dn	dsdn
Ccin:CC1G_02638T0	Ccin:CC1G_10270T0	1.76	0.53	3.35
Ccin:CC1G_01536T0	Ccin:CC1G_02520T0	NA	1.21	NA
Ccin:CC1G_15025T0	Ccin:CC1G_02520T0	2.71	1.09	2.49
Ccin:CC1G_01004T0	Ccin:CC1G_01003T0	NA	1.24	NA
Ccin:CC1G_03968T0	Ccin:CC1G_03955T0	4.74	0.54	8.79
Ccin:CC1G_03955T0	Ccin:CC1G_11608T0	NA	1.61	NA
Ccin:CC1G_09574T0	Ccin:CC1G_11369T0	3.06	0.96	3.17
Ccin:CC1G_06698T0	Ccin:CC1G_05405T0	NA	0.36	NA
Ccin:CC1G_02651T0	Ccin:CC1G_04608T0	1.82	0.90	2.03
Ccin:CC1G_10121T0	Ccin:CC1G_09584T0	1.60	0.62	2.58
Ccin:CC1G_09584T0	Ccin:CC1G_09586T0	1.34	0.72	1.87
Ccin:CC1G_01672T0	Ccin:CC1G_04125T0	0.91	0.20	4.49
Ccin:CC1G_01672T0	Ccin:CC1G_10181T0	NA	1.17	NA
Ccin:CC1G_10360T0	Ccin:CC1G_09552T0	4.04	0.88	4.60
Ccin:CC1G_15810T0	Ccin:CC1G_09552T0	1.47	0.66	2.23
Ccin:CC1G_15810T0	Ccin:CC1G_13589T0	0.24	0.16	1.44
Ccin:CC1G_09552T0	Ccin:CC1G_13589T0	3.71	0.57	6.55
Ccin:CC1G_10360T0	Ccin:CC1G_04368T0	2.31	0.55	4.17
Ccin:CC1G_15810T0	Ccin:CC1G_04368T0	NA	0.67	NA
Ccin:CC1G_15813T0	Ccin:CC1G_04368T0	1.24	0.43	2.89
Ccin:CC1G_15810T0	Ccin:CC1G_04351T0	NA	0.67	NA
Ccin:CC1G_15813T0	Ccin:CC1G_04351T0	1.36	0.43	3.16
Ccin:CC1G_13588T0	Ccin:CC1G_13086T0	2.98	0.84	3.55
Ccin:CC1G_15810T0	Ccin:CC1G_09560T0	2.38	0.56	4.25
Ccin:CC1G_13589T0	Ccin:CC1G_10359T0	2.32	0.49	4.74
Ccin:CC1G_15813T0	Ccin:CC1G_10359T0	2.34	0.52	4.52
Ccin:CC1G_04368T0	Ccin:CC1G_10359T0	2.94	0.58	5.03
Ccin:CC1G_04368T0	Ccin:CC1G_13585T0	1.14	0.47	2.44
Ccin:CC1G_04351T0	Ccin:CC1G_13585T0	1.45	0.49	2.98
Ccin:CC1G_09560T0	Ccin:CC1G_13585T0	NA	0.60	NA
Ccin:CC1G_04368T0	Ccin:CC1G_04369T0	1.35	0.41	3.31
Ccin:CC1G_13425T0	Ccin:CC1G_15076T0	NA	0.81	NA
Ccin:CC1G_07677T0	Ccin:CC1G_07681T0	2.23	1.14	1.95
Ccin:CC1G_07674T0	Ccin:CC1G_07681T0	NA	0.92	NA
Ccin:CC1G_06609T0	Ccin:CC1G_06606T0	2.74	0.79	3.46
Ccin:CC1G_01112T0	Ccin:CC1G_02499T0	3.27	0.71	4.60
Ccin:CC1G_08794T0	Ccin:CC1G_06681T0	NA	0.86	NA
Ccin:CC1G_08695T0	Ccin:CC1G_06681T0	NA	0.89	NA
Ccin:CC1G_03095T0	Ccin:CC1G_00272T0	4.14	0.57	7.24
Ccin:CC1G_04496T0	Ccin:CC1G_05866T0	2.43	0.62	3.92
Ccin:CC1G_00272T0	Ccin:CC1G_05866T0	1.62	0.31	5.20
Ccin:CC1G_15314T0	Ccin:CC1G_04131T0	NA	0.83	NA
Ccin:CC1G_01795T0	Ccin:CC1G_09902T0	3.50	0.81	4.30
Ccin:CC1G_00652T0	Ccin:CC1G_09902T0	2.87	0.78	3.66
Ccin:CC1G_00652T0	Ccin:CC1G_11477T0	NA	0.59	NA
Ccin:CC1G_01795T0	Ccin:CC1G_06523T0	NA	0.74	NA
Ccin:CC1G_00499T0	Ccin:CC1G_04204T0	NA	0.61	NA
Ccin:CC1G_00498T0	Ccin:CC1G_04204T0	NA	0.73	NA
Ccin:CC1G_13448T0	Ccin:CC1G_12411T0	0.70	0.09	7.91
Ccin:CC1G_12980T0	Ccin:CC1G_12409T0	0.22	0.04	5.63
Ccin:CC1G_13449T0	Ccin:CC1G_12410T0	0.03	0.01	2.83
Ccin:CC1G_13448T0	Ccin:CC1G_12410T0	0.37	0.05	6.84
Ccin:CC1G_06292T0	Ccin:CC1G_04835T0	NA	1.11	NA
Ccin:CC1G_06292T0	Ccin:CC1G_05027T0	2.15	0.91	2.36
Ccin:CC1G_11582T0	Ccin:CC1G_05027T0	2.51	0.71	3.52
Ccin:CC1G_03429T0	Ccin:CC1G_11152T0	5.05	1.28	3.94
Ccin:CC1G_12214T0	Ccin:CC1G_12824T0	NA	1.06	NA
Ccin:CC1G_12214T0	Ccin:CC1G_12213T0	1.86	0.96	1.93
Ccin:CC1G_12214T0	Ccin:CC1G_13139T0	NA	1.16	NA
Ccin:CC1G_12213T0	Ccin:CC1G_13139T0	NA	0.62	NA
Ccin:CC1G_12824T0	Ccin:CC1G_06106T0	NA	0.79	NA
Ccin:CC1G_13139T0	Ccin:CC1G_06106T0	0.71	0.11	6.73
Ccin:CC1G_01563T0	Ccin:CC1G_01634T0	2.77	0.51	5.46
Ccin:CC1G_05940T0	Ccin:CC1G_05897T0	NA	0.61	NA
Ccin:CC1G_05897T0	Ccin:CC1G_07471T0	NA	0.78	NA
Ccin:CC1G_05940T0	Ccin:CC1G_07472T0	NA	0.73	NA
Ccin:CC1G_07471T0	Ccin:CC1G_07472T0	NA	0.39	NA
Ccin:CC1G_05897T0	Ccin:CC1G_07476T0	NA	0.62	NA
Ccin:CC1G_07472T0	Ccin:CC1G_05906T0	NA	0.61	NA
Ccin:CC1G_07476T0	Ccin:CC1G_05906T0	NA	0.53	NA
Ccin:CC1G_05940T0	Ccin:CC1G_13411T0	NA	0.69	NA
Ccin:CC1G_05897T0	Ccin:CC1G_13411T0	NA	0.75	NA
Ccin:CC1G_07471T0	Ccin:CC1G_13411T0	NA	0.58	NA
Ccin:CC1G_07476T0	Ccin:CC1G_13411T0	NA	0.47	NA
Ccin:CC1G_05940T0	Ccin:CC1G_15138T0	3.30	0.76	4.35
Ccin:CC1G_07476T0	Ccin:CC1G_15138T0	NA	0.51	NA
Ccin:CC1G_06425T0	Ccin:CC1G_01991T0	1.49	1.41	1.06
Ccin:CC1G_06425T0	Ccin:CC1G_11356T0	NA	0.88	NA
Ccin:CC1G_01991T0	Ccin:CC1G_11356T0	3.68	1.33	2.77
Ccin:CC1G_07154T0	Ccin:CC1G_07014T0	1.87	0.58	3.21
Ccin:CC1G_07014T0	Ccin:CC1G_06990T0	NA	0.24	NA
Ccin:CC1G_07440T0	Ccin:CC1G_02400T0	NA	0.36	NA
Ccin:CC1G_07440T0	Ccin:CC1G_05410T0	NA	0.69	NA
Ccin:CC1G_02977T0	Ccin:CC1G_05410T0	NA	0.73	NA
Ccin:CC1G_02400T0	Ccin:CC1G_05410T0	NA	0.63	NA
Ccin:CC1G_02977T0	Ccin:CC1G_07678T0	NA	0.95	NA
