CHROM	BIN	TOTAL
Chr_1	0	19
Chr_1	20000	9
Chr_1	40000	12
Chr_1	60000	32
Chr_1	80000	12
Chr_1	100000	3
Chr_1	120000	2
Chr_1	140000	2
Chr_1	160000	4
Chr_1	180000	9
Chr_1	200000	5
Chr_1	220000	4
Chr_1	240000	2
Chr_1	260000	4
Chr_1	280000	1
Chr_1	300000	8
Chr_1	320000	4
Chr_1	380000	2
Chr_1	420000	5
Chr_1	440000	3
Chr_1	460000	1
Chr_1	480000	6
Chr_1	500000	11
Chr_1	520000	7
Chr_1	540000	1
Chr_1	560000	5
Chr_1	580000	2
Chr_1	600000	3
Chr_1	620000	7
Chr_1	3580000	3
Chr_1	3600000	2
Chr_1	3640000	4
Chr_1	3660000	3
Chr_1	3680000	3
Chr_1	3700000	6
Chr_1	3720000	1
Chr_1	3740000	2
Chr_1	3780000	2
Chr_1	3800000	1
Chr_1	3820000	8
Chr_1	3840000	5
Chr_1	3860000	5
Chr_1	3880000	2
Chr_1	3900000	6
Chr_1	3920000	6
Chr_1	3940000	5
Chr_1	3960000	7
Chr_1	3980000	5
Chr_1	4000000	4
Chr_1	4020000	15
Chr_1	4040000	8
Chr_1	4060000	10
Chr_1	4080000	4
Chr_1	4100000	2
Chr_1	4120000	8
Chr_1	4140000	7
Chr_10	0	28
Chr_10	20000	7
Chr_10	40000	8
Chr_10	60000	12
Chr_10	80000	5
Chr_10	100000	3
Chr_10	120000	8
Chr_10	140000	7
Chr_10	160000	3
Chr_10	180000	11
Chr_10	200000	3
Chr_10	220000	7
Chr_10	240000	1
Chr_10	260000	5
Chr_10	280000	2
Chr_10	320000	7
Chr_10	1940000	3
Chr_10	1980000	1
Chr_10	2000000	9
Chr_10	2020000	7
Chr_10	2040000	11
Chr_10	2060000	1
Chr_10	2080000	8
Chr_10	2100000	8
Chr_10	2120000	1
Chr_10	2140000	2
Chr_10	2160000	7
Chr_10	2180000	11
Chr_10	2200000	18
Chr_10	2240000	10
Chr_11	0	16
Chr_11	20000	14
Chr_11	40000	4
Chr_11	60000	2
Chr_11	80000	7
Chr_11	100000	3
Chr_11	120000	1
Chr_11	140000	4
Chr_11	160000	10
Chr_11	180000	4
Chr_11	200000	8
Chr_11	220000	1
Chr_11	240000	1
Chr_11	260000	9
Chr_11	280000	10
Chr_11	1680000	3
Chr_11	1700000	5
Chr_11	1740000	2
Chr_11	1760000	2
Chr_11	1780000	2
Chr_11	1800000	8
Chr_11	1820000	5
Chr_11	1840000	2
Chr_11	1860000	3
Chr_11	1880000	2
Chr_11	1900000	1
Chr_11	1940000	20
Chr_12	0	47
Chr_12	20000	13
Chr_12	40000	5
Chr_12	60000	4
Chr_12	80000	1
Chr_12	100000	5
Chr_12	120000	4
Chr_12	140000	2
Chr_12	180000	1
Chr_12	220000	6
Chr_12	240000	4
Chr_12	260000	3
Chr_12	280000	2
Chr_12	300000	5
Chr_12	1800000	3
Chr_12	1820000	3
Chr_12	1840000	3
Chr_12	1860000	4
Chr_12	1880000	11
Chr_12	1900000	2
Chr_12	1920000	7
Chr_12	1940000	3
Chr_12	1980000	4
Chr_12	2000000	4
Chr_12	2020000	6
Chr_12	2040000	14
Chr_12	2060000	2
Chr_12	2080000	6
Chr_13	0	4
Chr_13	20000	18
Chr_13	60000	11
Chr_13	80000	8
Chr_13	100000	13
Chr_13	120000	6
Chr_13	140000	5
Chr_13	840000	2
Chr_13	860000	1
Chr_13	880000	1
Chr_13	920000	8
Chr_13	940000	3
Chr_13	960000	24
Chr_13	980000	2
Chr_2	0	2
Chr_2	20000	5
Chr_2	40000	7
Chr_2	60000	12
Chr_2	80000	1
Chr_2	100000	1
Chr_2	120000	3
Chr_2	140000	3
Chr_2	160000	10
Chr_2	180000	14
Chr_2	200000	8
Chr_2	220000	5
Chr_2	240000	4
Chr_2	260000	4
Chr_2	280000	3
Chr_2	300000	6
Chr_2	320000	1
Chr_2	340000	8
Chr_2	360000	13
Chr_2	380000	2
Chr_2	400000	5
Chr_2	420000	4
Chr_2	460000	3
Chr_2	480000	11
Chr_2	500000	4
Chr_2	520000	4
Chr_2	560000	9
Chr_2	3200000	5
Chr_2	3220000	6
Chr_2	3240000	2
Chr_2	3260000	2
Chr_2	3280000	3
Chr_2	3300000	9
Chr_2	3320000	4
Chr_2	3340000	8
Chr_2	3360000	14
Chr_2	3380000	8
Chr_2	3400000	8
Chr_2	3420000	5
Chr_2	3460000	1
Chr_2	3480000	1
Chr_2	3500000	4
Chr_2	3520000	1
Chr_2	3540000	12
Chr_2	3580000	3
Chr_2	3600000	10
Chr_2	3620000	1
Chr_2	3640000	11
Chr_2	3660000	5
Chr_2	3700000	16
Chr_2	3720000	2
Chr_3	0	7
Chr_3	20000	7
Chr_3	60000	9
Chr_3	80000	10
Chr_3	100000	10
Chr_3	120000	15
Chr_3	140000	7
Chr_3	160000	6
Chr_3	180000	3
Chr_3	200000	1
Chr_3	240000	2
Chr_3	260000	7
Chr_3	280000	1
Chr_3	300000	5
Chr_3	320000	6
Chr_3	340000	5
Chr_3	360000	6
Chr_3	380000	5
Chr_3	400000	10
Chr_3	440000	1
Chr_3	460000	1
Chr_3	480000	9
Chr_3	500000	1
Chr_3	520000	3
Chr_3	540000	2
Chr_3	3100000	1
Chr_3	3120000	7
Chr_3	3140000	7
Chr_3	3160000	6
Chr_3	3200000	8
Chr_3	3220000	4
Chr_3	3240000	8
Chr_3	3260000	16
Chr_3	3280000	1
Chr_3	3300000	6
Chr_3	3320000	7
Chr_3	3340000	7
Chr_3	3360000	14
Chr_3	3380000	4
Chr_3	3400000	2
Chr_3	3420000	10
Chr_3	3440000	8
Chr_3	3460000	8
Chr_3	3480000	9
Chr_3	3500000	4
Chr_3	3520000	5
Chr_3	3540000	11
Chr_3	3560000	11
Chr_3	3580000	1
Chr_3	3600000	2
Chr_4	0	64
Chr_4	20000	2
Chr_4	40000	6
Chr_4	60000	6
Chr_4	80000	7
Chr_4	100000	7
Chr_4	120000	15
Chr_4	140000	2
Chr_4	160000	1
Chr_4	180000	2
Chr_4	200000	7
Chr_4	220000	5
Chr_4	240000	5
Chr_4	260000	1
Chr_4	280000	2
Chr_4	300000	9
Chr_4	320000	3
Chr_4	380000	8
Chr_4	420000	2
Chr_4	440000	1
Chr_4	460000	2
Chr_4	480000	5
Chr_4	500000	1
Chr_4	520000	3
Chr_4	3040000	8
Chr_4	3060000	1
Chr_4	3080000	10
Chr_4	3100000	9
Chr_4	3120000	2
Chr_4	3160000	9
Chr_4	3180000	17
Chr_4	3200000	5
Chr_4	3220000	6
Chr_4	3240000	14
Chr_4	3260000	1
Chr_4	3280000	3
Chr_4	3300000	7
Chr_4	3340000	7
Chr_4	3360000	7
Chr_4	3380000	10
Chr_4	3400000	2
Chr_4	3420000	9
Chr_4	3440000	9
Chr_4	3460000	12
Chr_4	3480000	7
Chr_4	3500000	9
Chr_4	3520000	8
Chr_4	3540000	14
Chr_5	0	3
Chr_5	20000	3
Chr_5	40000	5
Chr_5	60000	5
Chr_5	80000	3
Chr_5	100000	4
Chr_5	120000	1
Chr_5	140000	1
Chr_5	160000	2
Chr_5	180000	6
Chr_5	200000	4
Chr_5	220000	3
Chr_5	260000	4
Chr_5	280000	2
Chr_5	300000	4
Chr_5	320000	3
Chr_5	340000	5
Chr_5	360000	2
Chr_5	380000	1
Chr_5	400000	1
Chr_5	420000	6
Chr_5	440000	7
Chr_5	460000	4
Chr_5	480000	1
Chr_5	500000	2
Chr_5	520000	4
Chr_5	2960000	1
Chr_5	2980000	11
Chr_5	3000000	1
Chr_5	3020000	3
Chr_5	3040000	3
Chr_5	3080000	3
Chr_5	3100000	8
Chr_5	3120000	3
Chr_5	3140000	5
Chr_5	3160000	2
Chr_5	3180000	2
Chr_5	3200000	1
Chr_5	3220000	3
Chr_5	3240000	7
Chr_5	3280000	7
Chr_5	3300000	4
Chr_5	3320000	2
Chr_5	3340000	2
Chr_5	3360000	4
Chr_5	3380000	12
Chr_5	3400000	7
Chr_5	3420000	9
Chr_5	3440000	21
Chr_5	3460000	3
Chr_6	0	3
Chr_6	20000	16
Chr_6	40000	18
Chr_6	60000	4
Chr_6	80000	10
Chr_6	100000	2
Chr_6	120000	2
Chr_6	140000	6
Chr_6	160000	1
Chr_6	180000	17
Chr_6	200000	1
Chr_6	240000	32
Chr_6	260000	30
Chr_6	280000	19
Chr_6	300000	9
Chr_6	1720000	9
Chr_6	1740000	9
Chr_6	1760000	16
Chr_6	1780000	9
Chr_6	1800000	7
Chr_6	1820000	4
Chr_6	1840000	13
Chr_6	1860000	2
Chr_6	1880000	4
Chr_6	1900000	4
Chr_6	1920000	4
Chr_6	1940000	3
Chr_6	1960000	1
Chr_6	1980000	5
Chr_6	2000000	4
Chr_7	0	9
Chr_7	20000	5
Chr_7	40000	11
Chr_7	60000	11
Chr_7	80000	3
Chr_7	100000	4
Chr_7	120000	2
Chr_7	140000	9
Chr_7	160000	6
Chr_7	180000	3
Chr_7	200000	6
Chr_7	220000	2
Chr_7	240000	2
Chr_7	260000	3
Chr_7	280000	6
Chr_7	300000	9
Chr_7	320000	8
Chr_7	340000	18
Chr_7	360000	3
Chr_7	400000	3
Chr_7	420000	9
Chr_7	440000	8
Chr_7	2520000	3
Chr_7	2540000	3
Chr_7	2560000	1
Chr_7	2580000	1
Chr_7	2600000	1
Chr_7	2620000	6
Chr_7	2640000	2
Chr_7	2660000	5
Chr_7	2680000	17
Chr_7	2700000	16
Chr_7	2720000	5
Chr_7	2740000	7
Chr_7	2760000	12
Chr_7	2780000	11
Chr_7	2800000	5
Chr_7	2820000	1
Chr_7	2840000	9
Chr_7	2860000	1
Chr_7	2880000	4
Chr_7	2900000	10
Chr_7	2920000	10
Chr_7	2940000	8
Chr_8	0	12
Chr_8	20000	13
Chr_8	40000	5
Chr_8	60000	7
Chr_8	80000	7
Chr_8	100000	5
Chr_8	120000	6
Chr_8	140000	4
Chr_8	160000	2
Chr_8	180000	5
Chr_8	200000	10
Chr_8	220000	3
Chr_8	240000	1
Chr_8	260000	4
Chr_8	280000	10
Chr_8	300000	7
Chr_8	320000	3
Chr_8	340000	4
Chr_8	360000	1
Chr_8	2140000	15
Chr_8	2160000	12
Chr_8	2180000	6
Chr_8	2200000	1
Chr_8	2220000	1
Chr_8	2240000	4
Chr_8	2260000	3
