CHROM	BIN	TOTAL
Chr_1	3920000	6
Chr_1	3940000	5
Chr_1	3960000	7
Chr_1	3980000	5
Chr_1	4000000	4
Chr_1	4020000	15
Chr_1	4040000	8
Chr_1	4060000	10
Chr_1	4080000	4
Chr_1	4100000	2
Chr_1	4120000	8
Chr_1	4140000	7

Chr_2	40000	7
Chr_2	60000	12
Chr_2	80000	1
Chr_2	100000	1
Chr_2	120000	3
Chr_2	140000	3
Chr_2	160000	10
Chr_2	180000	14
Chr_2	3660000	5
Chr_2	3700000	16
Chr_3	120000	15
Chr_3	140000	7
Chr_3	3080000	4
Chr_3	3100000	1
Chr_3	3120000	7
Chr_3	3140000	7
Chr_3	3160000	6
Chr_3	3200000	8
Chr_3	3220000	4
Chr_4	460000	2
Chr_4	480000	5
Chr_4	500000	1
Chr_4	520000	3
Chr_4	540000	11
Chr_4	560000	6
Chr_4	580000	11
Chr_4	600000	7
Chr_4	3260000	1
Chr_4	3280000	3
Chr_4	3300000	7
Chr_4	3340000	7
Chr_4	3360000	7
Chr_4	3380000	10
Chr_4	3400000	2
Chr_4	3420000	9
Chr_4	3440000	9
Chr_4	3460000	12
Chr_4	3480000	7
Chr_5	200000	4
Chr_5	220000	3
Chr_5	260000	4
Chr_5	280000	2
Chr_5	300000	4
Chr_7	20000	5
Chr_7	40000	11
Chr_7	60000	11
Chr_7	80000	3
Chr_7	100000	4
Chr_7	120000	2
Chr_7	140000	9
Chr_7	160000	6
Chr_7	180000	3
Chr_7	200000	6
Chr_7	220000	2
Chr_8	2060000	24
Chr_8	2080000	15
Chr_8	2100000	3
Chr_8	2140000	15
Chr_8	2160000	12
Chr_8	2180000	6
Chr_8	2200000	1
Chr_8	2220000	1
Chr_8	2240000	4
Chr_8	2260000	3
Chr_8	2280000	1
Chr_8	2300000	3
Chr_8	2320000	1
Chr_8	2340000	2
Chr_8	2360000	7
Chr_8	2380000	2
Chr_8	2400000	20
Chr_8	2420000	2
Chr_8	2440000	6
Chr_9	400000	13
Chr_9	420000	9
Chr_9	440000	12
Chr_9	460000	6
Chr_9	480000	6
Chr_9	500000	9
Chr_9	520000	3
Chr_9	540000	2
Chr_9	580000	4
