CHROM	BIN	TOTAL
Chr_1	3920000	3
Chr_1	3940000	1
Chr_1	3960000	1
Chr_1	3980000	1
Chr_1	4000000	1
Chr_1	4040000	2
Chr_1	4060000	2
Chr_1	4080000	1
Chr_1	4100000	2
Chr_1	4140000	1

Chr_2	40000	2
Chr_2	60000	2
Chr_2	80000	1
Chr_2	100000	4
Chr_2	120000	2
Chr_2	140000	3
Chr_2	160000	2
Chr_2	180000	2
Chr_2	3660000	3
Chr_3	140000	2
Chr_3	3080000	4
Chr_3	3100000	2
Chr_3	3120000	1
Chr_3	3140000	4
Chr_3	3160000	3
Chr_3	3180000	4
Chr_3	3200000	2
Chr_4	460000	1
Chr_4	480000	4
Chr_4	500000	5
Chr_4	520000	2
Chr_4	540000	3
Chr_4	560000	1
Chr_4	580000	1
Chr_4	600000	1
Chr_4	3260000	1
Chr_4	3280000	2
Chr_4	3360000	2
Chr_4	3380000	2
Chr_4	3400000	2
Chr_4	3420000	1
Chr_5	200000	1
Chr_5	220000	3
Chr_5	240000	2
Chr_5	280000	4
Chr_5	300000	1
Chr_7	20000	2
Chr_7	40000	2
Chr_7	60000	1
Chr_7	80000	1
Chr_7	120000	1
Chr_7	160000	1
Chr_8	2080000	3
Chr_8	2100000	3
Chr_8	2140000	2
Chr_8	2160000	1
Chr_8	2180000	5
Chr_8	2200000	3
Chr_8	2220000	3
Chr_8	2240000	2
Chr_8	2260000	2
Chr_8	2280000	2
Chr_8	2320000	2
Chr_8	2340000	1
Chr_8	2360000	2
Chr_8	2400000	3
Chr_8	2420000	1
Chr_8	2440000	3
Chr_9	400000	1
Chr_9	420000	3
Chr_9	440000	1
Chr_9	500000	1
Chr_9	520000	5
Chr_9	560000	1
Chr_9	580000	3
