CHROM	BIN	TOTAL
Chr_1	0	5
Chr_1	20000	9
Chr_1	40000	9
Chr_1	60000	6
Chr_1	80000	4
Chr_1	100000	10
Chr_1	120000	6
Chr_1	140000	8
Chr_1	160000	5
Chr_1	180000	9
Chr_1	200000	5
Chr_1	220000	9
Chr_1	240000	9
Chr_1	260000	5
Chr_1	280000	10
Chr_1	300000	7
Chr_1	320000	13
Chr_1	340000	8
Chr_1	360000	8
Chr_1	380000	7
Chr_1	400000	8
Chr_1	420000	8
Chr_1	440000	5
Chr_1	460000	5
Chr_1	480000	6
Chr_1	500000	3
Chr_1	520000	5
Chr_1	540000	9
Chr_1	560000	10
Chr_1	580000	10
Chr_1	600000	7
Chr_1	620000	2
Chr_1	3540000	7
Chr_1	3560000	6
Chr_1	3580000	11
Chr_1	3600000	5
Chr_1	3620000	4
Chr_1	3640000	6
Chr_1	3660000	5
Chr_1	3680000	6
Chr_1	3700000	9
Chr_1	3720000	7
Chr_1	3740000	6
Chr_1	3760000	9
Chr_1	3780000	6
Chr_1	3800000	7
Chr_1	3820000	9
Chr_1	3840000	8
Chr_1	3860000	8
Chr_1	3880000	13
Chr_1	3900000	6
Chr_1	3920000	7
Chr_1	3940000	9
Chr_1	3960000	7
Chr_1	3980000	6
Chr_1	4000000	9
Chr_1	4020000	9
Chr_1	4040000	10
Chr_1	4060000	9
Chr_1	4080000	8
Chr_1	4100000	8
Chr_1	4120000	3
Chr_1	4140000	2
Chr_10	0	4
Chr_10	20000	3
Chr_10	40000	6
Chr_10	60000	8
Chr_10	80000	9
Chr_10	100000	11
Chr_10	120000	12
Chr_10	140000	9
Chr_10	160000	8
Chr_10	180000	5
Chr_10	200000	6
Chr_10	220000	6
Chr_10	240000	7
Chr_10	260000	6
Chr_10	280000	7
Chr_10	300000	5
Chr_10	320000	5
Chr_10	1920000	6
Chr_10	1940000	10
Chr_10	1960000	8
Chr_10	1980000	7
Chr_10	2000000	5
Chr_10	2020000	6
Chr_10	2040000	2
Chr_10	2060000	5
Chr_10	2080000	2
Chr_10	2100000	9
Chr_10	2120000	6
Chr_10	2140000	9
Chr_10	2160000	11
Chr_10	2180000	6
Chr_10	2200000	5
Chr_10	2220000	8
Chr_10	2240000	4
Chr_11	0	6
Chr_11	20000	9
Chr_11	40000	6
Chr_11	60000	9
Chr_11	80000	6
Chr_11	100000	7
Chr_11	120000	10
Chr_11	140000	7
Chr_11	160000	5
Chr_11	180000	9
Chr_11	200000	6
Chr_11	220000	10
Chr_11	240000	7
Chr_11	260000	4
Chr_11	280000	6
Chr_11	1680000	7
Chr_11	1700000	8
Chr_11	1720000	7
Chr_11	1740000	8
Chr_11	1760000	7
Chr_11	1780000	9
Chr_11	1800000	7
Chr_11	1820000	5
Chr_11	1840000	9
Chr_11	1860000	8
Chr_11	1880000	10
Chr_11	1900000	8
Chr_11	1920000	9
Chr_11	1940000	2
Chr_12	0	6
Chr_12	20000	5
Chr_12	40000	7
Chr_12	60000	8
Chr_12	80000	9
Chr_12	100000	8
Chr_12	120000	10
Chr_12	140000	7
Chr_12	160000	8
Chr_12	180000	6
Chr_12	200000	7
Chr_12	220000	5
Chr_12	240000	8
Chr_12	260000	8
Chr_12	280000	6
Chr_12	300000	11
Chr_12	1800000	4
Chr_12	1820000	9
Chr_12	1840000	7
Chr_12	1860000	11
Chr_12	1880000	7
