CHROM	BIN	TOTAL
Chr_1	640000	1
Chr_1	660000	2
Chr_1	680000	2
Chr_1	700000	5
Chr_1	720000	1
Chr_1	740000	2
Chr_1	760000	3
Chr_1	780000	2
Chr_1	940000	1
Chr_1	980000	4
Chr_1	1020000	1
Chr_1	1060000	2
Chr_1	1100000	1
Chr_1	1120000	3
Chr_1	1140000	2
Chr_1	1200000	4
Chr_1	1240000	1
Chr_1	1280000	1
Chr_1	1400000	1
Chr_1	1480000	1
Chr_1	1500000	1
Chr_1	1780000	1
Chr_1	1940000	2
Chr_1	1960000	1
Chr_1	2100000	1
Chr_1	2260000	1
Chr_1	2280000	3
Chr_1	2560000	2
Chr_1	2600000	1
Chr_1	2640000	3
Chr_1	2660000	1
Chr_1	2780000	2
Chr_1	2820000	2
Chr_1	2880000	2
Chr_1	2920000	2
Chr_1	3120000	2
Chr_1	3220000	2
Chr_1	3240000	1
Chr_1	3320000	4
Chr_1	3340000	4
Chr_1	3360000	2
Chr_1	3380000	3
Chr_1	3400000	1
Chr_1	3420000	1
Chr_1	3440000	6
Chr_1	3460000	5
Chr_1	3480000	1
Chr_1	3520000	2
Chr_10	360000	7
Chr_10	380000	4
Chr_10	400000	3
Chr_10	420000	2
Chr_10	440000	3
Chr_10	460000	1
Chr_10	500000	7
Chr_10	540000	3
Chr_10	560000	3
Chr_10	580000	3
Chr_10	600000	1
Chr_10	660000	3
Chr_10	700000	5
Chr_10	720000	4
Chr_10	760000	1
Chr_10	780000	2
Chr_10	820000	5
Chr_10	860000	4
Chr_10	880000	3
Chr_10	900000	3
Chr_10	920000	1
Chr_10	960000	1
Chr_10	1000000	2
Chr_10	1140000	2
Chr_10	1160000	1
Chr_10	1180000	3
Chr_10	1240000	1
Chr_10	1260000	2
Chr_10	1280000	1
Chr_10	1400000	1
Chr_10	1420000	2
Chr_10	1460000	1
Chr_10	1480000	2
Chr_10	1520000	7
Chr_10	1540000	3
Chr_10	1560000	3
Chr_10	1580000	3
Chr_10	1600000	4
Chr_10	1620000	2
Chr_10	1640000	5
Chr_10	1660000	7
Chr_10	1680000	4
Chr_10	1700000	6
Chr_10	1740000	4
Chr_10	1760000	5
Chr_10	1780000	2
Chr_10	1800000	1
Chr_10	1840000	3
Chr_10	1860000	6
Chr_10	1880000	3
Chr_10	1900000	2
Chr_11	300000	1
Chr_11	320000	1
Chr_11	340000	7
Chr_11	360000	3
Chr_11	380000	1
Chr_11	400000	4
Chr_11	440000	1
Chr_11	480000	3
Chr_11	500000	4
Chr_11	520000	6
Chr_11	540000	9
Chr_11	560000	2
Chr_11	580000	5
Chr_11	600000	7
Chr_11	620000	10
Chr_11	640000	3
Chr_11	700000	2
Chr_11	720000	1
Chr_11	740000	2
Chr_11	760000	1
Chr_11	800000	1
Chr_11	840000	3
Chr_11	860000	1
Chr_11	940000	1
Chr_11	980000	3
Chr_11	1000000	3
Chr_11	1020000	2
Chr_11	1080000	2
Chr_11	1120000	2
Chr_11	1140000	2
Chr_11	1160000	4
Chr_11	1200000	2
Chr_11	1220000	3
Chr_11	1260000	4
Chr_11	1280000	1
Chr_11	1340000	2
Chr_11	1360000	2
Chr_11	1380000	4
Chr_11	1400000	1
Chr_11	1420000	2
Chr_11	1460000	4
Chr_11	1480000	5
Chr_11	1500000	2
Chr_11	1520000	5
Chr_11	1540000	2
