CHROM	BIN	TOTAL
Chr_1	3920000	7
Chr_1	3940000	9
Chr_1	3960000	7
Chr_1	3980000	6
Chr_1	4000000	9
Chr_1	4020000	9
Chr_1	4040000	10
Chr_1	4060000	9
Chr_1	4080000	8
Chr_1	4100000	8
Chr_1	4120000	3
Chr_1	4140000	2

Chr_2	40000	9
Chr_2	60000	6
Chr_2	80000	3
Chr_2	100000	5
Chr_2	120000	7
Chr_2	140000	7
Chr_2	160000	7
Chr_2	180000	5
Chr_2	3660000	9
Chr_2	3680000	8
Chr_2	3700000	6
Chr_3	120000	8
Chr_3	140000	7
Chr_3	3080000	9
Chr_3	3100000	8
Chr_3	3120000	7
Chr_3	3140000	7
Chr_3	3160000	9
Chr_3	3180000	11
Chr_3	3200000	7
Chr_3	3220000	3
Chr_4	460000	5
Chr_4	480000	7
Chr_4	500000	7
Chr_4	520000	3
Chr_4	540000	8
Chr_4	560000	6
Chr_4	580000	4
Chr_4	600000	7
Chr_4	3260000	8
Chr_4	3280000	9
Chr_4	3300000	9
Chr_4	3320000	3
Chr_4	3340000	9
Chr_4	3360000	11
Chr_4	3380000	9
Chr_4	3400000	7
Chr_4	3420000	6
Chr_4	3440000	9
Chr_4	3460000	8
Chr_4	3480000	11
Chr_5	200000	8
Chr_5	220000	8
Chr_5	240000	7
Chr_5	260000	8
Chr_5	280000	7
Chr_5	300000	7
Chr_7	20000	8
Chr_7	40000	6
Chr_7	60000	6
Chr_7	80000	4
Chr_7	100000	5
Chr_7	120000	5
Chr_7	140000	4
Chr_7	160000	8
Chr_7	180000	8
Chr_7	200000	7
Chr_7	220000	11
Chr_8	2060000	2
Chr_8	2080000	6
Chr_8	2100000	7
Chr_8	2120000	11
Chr_8	2140000	7
Chr_8	2160000	8
Chr_8	2180000	10
Chr_8	2200000	9
Chr_8	2220000	7
Chr_8	2240000	10
Chr_8	2260000	8
Chr_8	2280000	6
Chr_8	2300000	6
Chr_8	2320000	9
Chr_8	2340000	9
Chr_8	2360000	4
Chr_8	2380000	8
Chr_8	2400000	9
Chr_8	2420000	10
Chr_8	2440000	9
Chr_9	400000	4
Chr_9	420000	5
Chr_9	440000	6
Chr_9	460000	4
Chr_9	480000	4
Chr_9	500000	8
Chr_9	520000	8
Chr_9	540000	5
Chr_9	560000	8
Chr_9	580000	7
