CHROM	BIN	TOTAL
Chr_1	0	3
Chr_1	20000	4
Chr_1	40000	9
Chr_1	60000	5
Chr_1	80000	1
Chr_1	100000	6
Chr_1	120000	3
Chr_1	140000	2
Chr_1	160000	5
Chr_1	180000	6
Chr_1	200000	2
Chr_1	220000	6
Chr_1	240000	5
Chr_1	260000	3
Chr_1	280000	1
Chr_1	300000	2
Chr_1	320000	4
Chr_1	340000	2
Chr_1	360000	2
Chr_1	400000	5
Chr_1	420000	3
Chr_1	440000	1
Chr_1	460000	1
Chr_1	480000	2
Chr_1	500000	1
Chr_1	520000	2
Chr_1	560000	4
Chr_1	580000	3
Chr_1	600000	1
Chr_1	3580000	2
Chr_1	3640000	2
Chr_1	3660000	1
Chr_1	3680000	3
Chr_1	3700000	2
Chr_1	3740000	1
Chr_1	3760000	1
Chr_1	3780000	1
Chr_1	3820000	4
Chr_1	3840000	2
Chr_1	3860000	8
Chr_1	3880000	10
Chr_1	3900000	1
Chr_1	3940000	3
Chr_1	3960000	3
Chr_1	3980000	3
Chr_1	4000000	3
Chr_1	4020000	7
Chr_1	4040000	3
Chr_1	4060000	3
Chr_1	4080000	3
Chr_1	4100000	2
Chr_1	4120000	2
Chr_1	4140000	1
Chr_10	0	4
Chr_10	20000	1
Chr_10	40000	4
Chr_10	60000	5
Chr_10	80000	4
Chr_10	100000	3
Chr_10	120000	8
Chr_10	140000	3
Chr_10	160000	3
Chr_10	180000	1
Chr_10	200000	4
Chr_10	220000	6
Chr_10	240000	4
Chr_10	260000	1
Chr_10	280000	1
Chr_10	300000	3
Chr_10	320000	1
Chr_10	1920000	2
Chr_10	1940000	6
Chr_10	1980000	1
Chr_10	2000000	2
Chr_10	2020000	4
Chr_10	2040000	1
Chr_10	2080000	1
Chr_10	2100000	4
Chr_10	2120000	1
Chr_10	2140000	2
Chr_10	2160000	6
Chr_10	2180000	3
Chr_10	2200000	1
Chr_10	2220000	6
Chr_10	2240000	2
Chr_11	0	3
Chr_11	20000	3
Chr_11	40000	2
Chr_11	60000	7
Chr_11	80000	3
Chr_11	100000	1
Chr_11	120000	5
Chr_11	140000	5
Chr_11	160000	3
Chr_11	180000	7
Chr_11	200000	3
Chr_11	220000	3
Chr_11	240000	1
Chr_11	260000	1
Chr_11	280000	1
Chr_11	1680000	2
Chr_11	1700000	5
Chr_11	1740000	3
Chr_11	1760000	3
Chr_11	1780000	7
Chr_11	1800000	3
Chr_11	1820000	4
Chr_11	1840000	7
Chr_11	1860000	6
Chr_11	1880000	6
Chr_11	1900000	5
Chr_11	1920000	6
Chr_11	1940000	1
Chr_12	0	4
Chr_12	20000	2
Chr_12	40000	3
Chr_12	60000	5
Chr_12	80000	6
Chr_12	100000	4
Chr_12	120000	8
Chr_12	140000	2
Chr_12	160000	4
Chr_12	180000	1
Chr_12	220000	3
Chr_12	240000	2
Chr_12	260000	3
Chr_12	280000	2
Chr_12	300000	2
Chr_12	1800000	1
Chr_12	1820000	4
Chr_12	1840000	2
Chr_12	1860000	6
Chr_12	1880000	4
Chr_12	1900000	3
Chr_12	1920000	3
Chr_12	1940000	9
Chr_12	1960000	6
Chr_12	1980000	5
Chr_12	2000000	2
Chr_12	2020000	2
Chr_12	2040000	1
Chr_12	2060000	10
Chr_12	2080000	3
Chr_13	0	5
Chr_13	20000	5
Chr_13	40000	4
Chr_13	60000	3
Chr_13	80000	4
Chr_13	100000	4
Chr_13	120000	3
Chr_13	140000	4
Chr_13	840000	3
Chr_13	860000	5
Chr_13	880000	3
Chr_13	900000	3
Chr_13	940000	2
Chr_13	960000	1
Chr_2	0	4
Chr_2	20000	9
Chr_2	40000	5
Chr_2	60000	2
Chr_2	80000	2
Chr_2	120000	5
Chr_2	140000	2
Chr_2	160000	5
Chr_2	180000	2
Chr_2	200000	1
Chr_2	220000	4
Chr_2	240000	4
Chr_2	260000	4
Chr_2	280000	6
Chr_2	300000	6
Chr_2	320000	3
Chr_2	340000	3
Chr_2	360000	2
Chr_2	380000	5
Chr_2	400000	3
Chr_2	440000	1
Chr_2	460000	3
Chr_2	480000	1
Chr_2	520000	2
Chr_2	540000	2
Chr_2	560000	1
Chr_2	3200000	5
Chr_2	3220000	3
Chr_2	3240000	5
Chr_2	3260000	1
Chr_2	3280000	4
Chr_2	3300000	9
Chr_2	3320000	8
Chr_2	3340000	12
Chr_2	3360000	4
Chr_2	3380000	1
Chr_2	3400000	2
Chr_2	3420000	2
Chr_2	3440000	2
Chr_2	3460000	2
Chr_2	3480000	3
Chr_2	3500000	5
Chr_2	3520000	5
Chr_2	3540000	3
Chr_2	3580000	1
Chr_2	3600000	3
Chr_2	3620000	7
Chr_2	3640000	5
Chr_2	3660000	4
Chr_2	3680000	6
Chr_2	3700000	3
Chr_2	3720000	1
Chr_2	3740000	1
Chr_3	0	3
Chr_3	20000	2
Chr_3	40000	4
Chr_3	60000	4
Chr_3	80000	2
Chr_3	100000	4
Chr_3	120000	6
Chr_3	140000	3
Chr_3	160000	1
Chr_3	180000	2
Chr_3	200000	2
Chr_3	220000	5
Chr_3	240000	1
Chr_3	260000	4
Chr_3	280000	3
Chr_3	300000	8
Chr_3	320000	1
Chr_3	340000	4
Chr_3	360000	3
Chr_3	380000	5
Chr_3	400000	8
Chr_3	420000	1
Chr_3	440000	3
Chr_3	480000	2
Chr_3	500000	3
Chr_3	520000	1
Chr_3	540000	1
Chr_3	3100000	3
Chr_3	3120000	5
Chr_3	3140000	3
Chr_3	3160000	5
Chr_3	3180000	5
Chr_3	3200000	4
Chr_3	3220000	1
Chr_3	3240000	3
Chr_3	3260000	2
Chr_3	3280000	1
Chr_3	3300000	7
Chr_3	3320000	4
Chr_3	3340000	1
Chr_3	3360000	2
Chr_3	3380000	1
Chr_3	3400000	4
Chr_3	3420000	4
Chr_3	3440000	4
Chr_3	3460000	4
Chr_3	3480000	1
