CHROM	START	END	NAME	LABEL	STATUS	LENGTH	GENE_DENSITY	REPEAT_DENSITY
Chr_1	3914878	4146463	HOT1.1	S6	HOT	231	0.38	0.35
Chr_13	344348	348230	HOT13.1	S6	HOT	3	0.77	0.77
Chr_2	20444	185397	HOT2.1	S6	HOT	164	0.33	0.30
Chr_2	3645295	3707947	HOT2.2	S6	HOT	62	0.45	0.24
Chr_3	100043	148239	HOT3.1	S6	HOT	48	0.46	0.60
Chr_3	3070392	3237013	HOT3.2	S6	HOT	166	0.38	0.22
Chr_4	442450	607628	HOT4.1	S6	HOT	165	0.31	0.26
Chr_4	3252718	3494738	HOT4.2	S6	HOT	242	0.40	0.34
Chr_5	192280	311961	HOT5.1	S6	HOT	119	0.38	0.15
Chr_7	3493	239285	HOT7.1	S6	HOT	235	0.34	0.29
Chr_8	2052669	2448722	HOT8.1	S6	HOT	396	0.39	0.32
Chr_9	382997	594495	HOT9.1	S6	HOT	211	0.30	0.35
Chr_1	422408	2548108	HAP1.1	S6	COLD	2125	0.39	0.12
Chr_1	2647744	3827619	HAP1.2	S6	COLD	1179	0.38	0.07
Chr_2	524938	2977912	HAP2.2	S6	COLD	2452	0.40	0.14
Chr_3	535087	2796612	HAP3.2	S6	COLD	2261	0.40	0.11
Chr_5	517646	1904987	HAP5.1	S6	COLD	1387	0.43	0.11
Chr_7	585456	2339431	HAP7.1	S6	COLD	1753	0.36	0.17
Chr_8	109850	922301	HAP8.1	S6	COLD	812	0.38	0.15
Chr_9	858899	2037435	HAP9.1	S6	COLD	1178	0.38	0.13
