#gene	chrom	chrom_start	chrom_stop	chrom_strand	targets	methods
CC1G_00007	Chr_5	878369	881539	+1	CC1G_14328,CC1G_15285	orthomcl
CC1G_00030	Chr_5	941978	943420	-1	CC1G_00044,CC1G_02573,CC1G_02574,CC1G_14576,CC1G_14577	orthomcl
CC1G_00044	Chr_5	977323	977920	+1	CC1G_00030,CC1G_02573,CC1G_02574,CC1G_14576,CC1G_14577	orthomcl
CC1G_00061	Chr_5	1015822	1016497	-1	CC1G_06883	orthomcl
CC1G_00119	Chr_5	1147034	1148308	-1	CC1G_12156	orthomcl
CC1G_00121	Chr_5	1150473	1152979	+1	CC1G_00122,CC1G_04749	orthomcl
CC1G_00122	Chr_5	1153429	1155959	+1	CC1G_00121,CC1G_04749	orthomcl
CC1G_00163	Chr_5	1240135	1241764	-1	CC1G_03375	orthomcl
CC1G_00228	Chr_5	1383986	1387953	-1	CC1G_07450	orthomcl
CC1G_00260	Chr_5	1447532	1448550	+1	CC1G_10162,CC1G_11702	orthomcl
CC1G_00266	Chr_5	1457450	1458638	+1	CC1G_00271	orthomcl
CC1G_00271	Chr_5	1469272	1470037	+1	CC1G_00266	orthomcl
CC1G_00298	Chr_5	1549164	1549663	-1	CC1G_09187	orthomcl
CC1G_00378	Chr_5	1750907	1752350	-1	CC1G_06236	orthomcl
CC1G_00463	Chr_5	1965117	1967621	-1	CC1G_05136	orthomcl
CC1G_00600	Chr_1	3345972	3347957	+1	CC1G_11489,CC1G_13477	orthomcl
CC1G_00602	Chr_1	3354817	3356511	-1	CC1G_02413,CC1G_02455,CC1G_06052,CC1G_08084,CC1G_09391,CC1G_10785,CC1G_11620,CC1G_13394,CC1G_14029	orthomcl
CC1G_00604	Chr_1	3358080	3358729	-1	CC1G_02456,CC1G_10786,CC1G_14085	orthomcl
CC1G_00605	Chr_1	3359044	3359807	+1	CC1G_02078,CC1G_02457,CC1G_05878,CC1G_06053,CC1G_06117,CC1G_09554,CC1G_10417,CC1G_10787,CC1G_12405,CC1G_12792,CC1G_12890	orthomcl
CC1G_00613	Chr_1	3382184	3384534	-1	CC1G_00802,CC1G_05921,CC1G_08415,CC1G_08416,CC1G_08899,CC1G_14315,CC1G_14900	orthomcl
CC1G_00624	Chr_1	3407520	3410514	+1	CC1G_01596,CC1G_03285,CC1G_03476,CC1G_13072,CC1G_13073,CC1G_14642,CC1G_14959,CC1G_15194	orthomcl
CC1G_00640	Chr_1	3450886	3452547	-1	CC1G_00667,CC1G_03348	orthomcl
CC1G_00644	Chr_1	3457940	3459238	-1	CC1G_00645,CC1G_03336,CC1G_06196	orthomcl
CC1G_00645	Chr_1	3459559	3460863	-1	CC1G_00644,CC1G_03336,CC1G_06196	orthomcl
CC1G_00665	Chr_1	3524291	3525338	-1	CC1G_02955,CC1G_05479,CC1G_15465	orthomcl
CC1G_00667	Chr_1	3527739	3529337	-1	CC1G_00640,CC1G_03348	orthomcl
CC1G_00687	Chr_1	3587694	3588456	-1	CC1G_09080	orthomcl
CC1G_00690	Chr_1	3591684	3593835	-1	CC1G_05998,CC1G_06019	orthomcl
CC1G_00704	Chr_1	3643594	3644450	+1	CC1G_14215	orthomcl
CC1G_00715	Chr_1	3688342	3691674	-1	CC1G_02362,CC1G_07225,CC1G_07598,CC1G_08470,CC1G_08475,CC1G_15101	orthomcl
CC1G_00739	Chr_1	3770018	3772884	-1	CC1G_01498,CC1G_01541,CC1G_03147,CC1G_03161,CC1G_05338,CC1G_05350,CC1G_05367,CC1G_05771,CC1G_05772,CC1G_05773,CC1G_05775,CC1G_05779,CC1G_05785,CC1G_05936,CC1G_07211,CC1G_07241,CC1G_07244,CC1G_07245,CC1G_07259,CC1G_07638,CC1G_07660,CC1G_07661,CC1G_08951,CC1G_08956,CC1G_08961,CC1G_08962,CC1G_08963,CC1G_08969,CC1G_08971,CC1G_08983,CC1G_09201,CC1G_09204,CC1G_09205,CC1G_09221,CC1G_09225,CC1G_09248,CC1G_09249,CC1G_09252,CC1G_09517,CC1G_09594,CC1G_09852,CC1G_10474,CC1G_10479,CC1G_10480,CC1G_10483,CC1G_10494,CC1G_10495,CC1G_10497,CC1G_10498,CC1G_10500,CC1G_10593,CC1G_11263,CC1G_11354,CC1G_12025,CC1G_12027,CC1G_13071,CC1G_15188,CC1G_15369,CC1G_15374,CC1G_15375,CC1G_15744,CC1G_15751,CC1G_15762	orthomcl
CC1G_00747	Chr_7	918337	919716	-1	CC1G_00793	orthomcl
CC1G_00752	Chr_7	933213	936588	+1	CC1G_05935,CC1G_14559,CC1G_15538	orthomcl
CC1G_00771	Chr_7	982700	983383	+1	CC1G_13756	orthomcl
CC1G_00783	Chr_7	1019533	1020300	+1	CC1G_00784,CC1G_00785,CC1G_00786	orthomcl
CC1G_00784	Chr_7	1021040	1022190	+1	CC1G_00783,CC1G_00785,CC1G_00786	orthomcl
CC1G_00785	Chr_7	1022773	1023615	+1	CC1G_00783,CC1G_00784,CC1G_00786	orthomcl
CC1G_00786	Chr_7	1025298	1026676	+1	CC1G_00783,CC1G_00784,CC1G_00785	orthomcl
CC1G_00793	Chr_7	1047476	1048926	+1	CC1G_00747	orthomcl
CC1G_00802	Chr_7	1081438	1083926	+1	CC1G_00613,CC1G_05921,CC1G_08415,CC1G_08416,CC1G_08899,CC1G_14315,CC1G_14900	orthomcl
CC1G_00805	Chr_7	1093459	1095081	-1	CC1G_00812	orthomcl
CC1G_00812	Chr_7	1118848	1120482	+1	CC1G_00805	orthomcl
CC1G_00832	Chr_7	1170520	1171980	-1	CC1G_03494,CC1G_06988,CC1G_08616,CC1G_09607,CC1G_09608,CC1G_09811,CC1G_10797,CC1G_12037,CC1G_12899,CC1G_14931	orthomcl
CC1G_00900	Chr_7	1386898	1388293	+1	CC1G_03653,CC1G_05917,CC1G_05918	orthomcl
CC1G_00902	Chr_7	1390955	1392793	-1	CC1G_00903	orthomcl
CC1G_00903	Chr_7	1393263	1393853	-1	CC1G_00902	orthomcl
CC1G_00954	Chr_7	1537426	1538116	+1	CC1G_04919	orthomcl
CC1G_00977	Chr_7	1596393	1598114	+1	CC1G_06378	orthomcl
CC1G_01001	Chr_7	1638075	1640360	-1	CC1G_05774	orthomcl
CC1G_01007	Chr_2	708453	709041	+1	CC1G_01013,CC1G_12843	orthomcl
CC1G_01013	Chr_2	723708	724299	-1	CC1G_01007,CC1G_12843	orthomcl
CC1G_01014	Chr_2	728201	730081	-1	CC1G_01015,CC1G_08157,CC1G_10637,CC1G_10639	orthomcl
CC1G_01015	Chr_2	730328	732196	-1	CC1G_01014,CC1G_08157,CC1G_10637,CC1G_10639	orthomcl
CC1G_01032	Chr_2	774049	775110	-1	CC1G_01044	orthomcl
CC1G_01042	Chr_2	794852	796304	+1	CC1G_05355	orthomcl
CC1G_01044	Chr_2	797725	798768	-1	CC1G_01032	orthomcl
CC1G_01055	Chr_2	836918	840236	-1	CC1G_13860	orthomcl
CC1G_01064	Chr_2	863336	864376	+1	CC1G_02338,CC1G_06193,CC1G_09283	orthomcl
CC1G_01092	Chr_2	928995	931930	-1	CC1G_07730,CC1G_07740,CC1G_08726,CC1G_08761	orthomcl
CC1G_01107	Chr_2	962859	964554	+1	CC1G_04166,CC1G_08276,CC1G_08277,CC1G_10605	orthomcl
CC1G_01139	Chr_2	1037973	1039141	+1	CC1G_13868	orthomcl
CC1G_01240	Chr_2	1280962	1282224	+1	CC1G_04108,CC1G_04818,CC1G_09677,CC1G_09678,CC1G_10238,CC1G_12914	orthomcl
CC1G_01241	Chr_2	1283309	1283876	+1	CC1G_13282	orthomcl
CC1G_01310	Chr_5	2123554	2125323	+1	CC1G_08171,CC1G_10632,CC1G_10633	orthomcl
CC1G_01416	Chr_5	2400815	2401485	-1	CC1G_01417	orthomcl
CC1G_01417	Chr_5	2401897	2402447	-1	CC1G_01416	orthomcl
CC1G_01462	Chr_5	2521459	2522300	-1	CC1G_10420,CC1G_14520,CC1G_14754,CC1G_15492	orthomcl
CC1G_01464	Chr_5	2527323	2528231	-1	CC1G_06849,CC1G_10345,CC1G_14521	orthomcl
CC1G_01467	Chr_5	2531627	2534138	-1	CC1G_15475	orthomcl
CC1G_01469	Chr_5	2538955	2539546	+1	CC1G_14697,CC1G_15482	orthomcl
CC1G_01473	Chr_5	2545670	2547107	-1	CC1G_10231,CC1G_13498	orthomcl
CC1G_01475	Chr_5	2550233	2552932	-1	CC1G_04152,CC1G_04153,CC1G_09676,CC1G_09777,CC1G_09778,CC1G_12913,CC1G_14121,CC1G_14522,CC1G_14756,CC1G_15220,CC1G_15281,CC1G_15426	orthomcl
CC1G_01477	Chr_5	2557439	2558674	-1	CC1G_13354	orthomcl
CC1G_01479	Chr_10	75008	75850	-1	CC1G_01480,CC1G_02565,CC1G_06984,CC1G_08502,CC1G_08505,CC1G_08683,CC1G_08684,CC1G_09979,CC1G_09980,CC1G_09981,CC1G_09982,CC1G_09983,CC1G_09986,CC1G_09987,CC1G_09990,CC1G_09991,CC1G_09992,CC1G_09993,CC1G_09994,CC1G_09996,CC1G_10002,CC1G_10004,CC1G_11902,CC1G_11907,CC1G_11911,CC1G_11912,CC1G_13198,CC1G_15226,CC1G_15229,CC1G_15748	orthomcl
CC1G_01480	Chr_10	76323	78421	-1	CC1G_01479,CC1G_02565,CC1G_06984,CC1G_08502,CC1G_08505,CC1G_08683,CC1G_08684,CC1G_09979,CC1G_09980,CC1G_09981,CC1G_09982,CC1G_09983,CC1G_09986,CC1G_09987,CC1G_09990,CC1G_09991,CC1G_09992,CC1G_09993,CC1G_09994,CC1G_09996,CC1G_10002,CC1G_10004,CC1G_11902,CC1G_11907,CC1G_11911,CC1G_11912,CC1G_13198,CC1G_15226,CC1G_15229,CC1G_15748	orthomcl
CC1G_01481	Chr_10	79615	80829	-1	CC1G_13051	orthomcl
CC1G_01498	Chr_10	110192	111429	+1	CC1G_00739,CC1G_01541,CC1G_03147,CC1G_03161,CC1G_05338,CC1G_05350,CC1G_05367,CC1G_05771,CC1G_05772,CC1G_05773,CC1G_05775,CC1G_05779,CC1G_05785,CC1G_05936,CC1G_07211,CC1G_07241,CC1G_07244,CC1G_07245,CC1G_07259,CC1G_07638,CC1G_07660,CC1G_07661,CC1G_08951,CC1G_08956,CC1G_08961,CC1G_08962,CC1G_08963,CC1G_08969,CC1G_08971,CC1G_08983,CC1G_09201,CC1G_09204,CC1G_09205,CC1G_09221,CC1G_09225,CC1G_09248,CC1G_09249,CC1G_09252,CC1G_09517,CC1G_09594,CC1G_09852,CC1G_10474,CC1G_10479,CC1G_10480,CC1G_10483,CC1G_10494,CC1G_10495,CC1G_10497,CC1G_10498,CC1G_10500,CC1G_10593,CC1G_11263,CC1G_11354,CC1G_12025,CC1G_12027,CC1G_13071,CC1G_15188,CC1G_15369,CC1G_15374,CC1G_15375,CC1G_15744,CC1G_15751,CC1G_15762	orthomcl
CC1G_01499	Chr_10	111737	113145	-1	CC1G_01513,CC1G_01521,CC1G_10995,CC1G_12149,CC1G_15634	orthomcl
CC1G_01503	Chr_10	121876	123334	-1	CC1G_08358	orthomcl
CC1G_01504	Chr_10	125179	126758	-1	CC1G_02647,CC1G_03172,CC1G_03173,CC1G_04167,CC1G_04169,CC1G_04170,CC1G_05353,CC1G_05556,CC1G_05559,CC1G_05959,CC1G_05960,CC1G_05961,CC1G_07232,CC1G_08907,CC1G_08921,CC1G_09617,CC1G_09635,CC1G_10434,CC1G_10476,CC1G_11718,CC1G_12250,CC1G_12254,CC1G_12256,CC1G_12847,CC1G_13557,CC1G_14064,CC1G_14741,CC1G_15224,CC1G_15244,CC1G_15646,CC1G_15757	orthomcl
CC1G_01507	Chr_10	132357	133370	+1	CC1G_15240,CC1G_15241	orthomcl
CC1G_01510	Chr_10	138348	139745	+1	CC1G_01511,CC1G_01512,CC1G_13257,CC1G_14924	orthomcl
CC1G_01511	Chr_10	139998	140801	+1	CC1G_01510,CC1G_01512,CC1G_13257,CC1G_14924	orthomcl
CC1G_01512	Chr_10	141347	142138	+1	CC1G_01510,CC1G_01511,CC1G_13257,CC1G_14924	orthomcl
CC1G_01513	Chr_10	142841	144016	+1	CC1G_01499,CC1G_01521,CC1G_10995,CC1G_12149,CC1G_15634	orthomcl
CC1G_01517	Chr_10	153301	153934	+1	CC1G_01523,CC1G_02862,CC1G_07478,CC1G_08237,CC1G_08238,CC1G_08239,CC1G_08240,CC1G_12614	orthomcl
CC1G_01521	Chr_10	166753	168301	-1	CC1G_01499,CC1G_01513,CC1G_10995,CC1G_12149,CC1G_15634	orthomcl
CC1G_01523	Chr_10	170749	171349	-1	CC1G_01517,CC1G_02862,CC1G_07478,CC1G_08237,CC1G_08238,CC1G_08239,CC1G_08240,CC1G_12614	orthomcl
CC1G_01526	Chr_10	175434	176166	+1	CC1G_01645,CC1G_04950,CC1G_07231,CC1G_07236,CC1G_07238,CC1G_07243,CC1G_07258,CC1G_07260,CC1G_07265,CC1G_07267,CC1G_07269,CC1G_07272,CC1G_13199	orthomcl
CC1G_01528	Chr_10	181704	187871	+1	CC1G_02849,CC1G_05170,CC1G_08166	orthomcl
CC1G_01540	Chr_10	221401	223679	+1	CC1G_01542,CC1G_01544,CC1G_01545,CC1G_01546,CC1G_01548,CC1G_03941,CC1G_05418,CC1G_06455,CC1G_08425,CC1G_13340,CC1G_15413	orthomcl
