#gene	chrom	chrom_start	chrom_stop	chrom_strand	targets	method
CC1G_00063	Chr_5	1023482	1025042	-1	CC1G_00065,CC1G_00068,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00065	Chr_5	1027725	1029322	-1	CC1G_00063,CC1G_00068,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00068	Chr_5	1034315	1035857	+1	CC1G_00063,CC1G_00065,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00150	Chr_5	1216983	1218579	+1	CC1G_00159,LACBIDRAFT_157762	orthomcl
CC1G_00159	Chr_5	1232533	1234183	-1	CC1G_00150,LACBIDRAFT_157762	orthomcl
CC1G_00207	Chr_5	1344531	1345449	-1	CC1G_10503,LACBIDRAFT_175009,LACBIDRAFT_177565	orthomcl
CC1G_00342	Chr_5	1667009	1671411	-1	CC1G_00360,LACBIDRAFT_311867,LACBIDRAFT_323128	orthomcl
CC1G_00360	Chr_5	1713996	1718037	+1	CC1G_00342,LACBIDRAFT_311867,LACBIDRAFT_323128	orthomcl
CC1G_00518	Chr_1	3129750	3130530	+1	CC1G_00519,LACBIDRAFT_301299	orthomcl
CC1G_00519	Chr_1	3130713	3131518	+1	CC1G_00518,LACBIDRAFT_301299	orthomcl
CC1G_00558	Chr_1	3236281	3238370	+1	CC1G_00559,CC1G_00560,LACBIDRAFT_291776	orthomcl
CC1G_00559	Chr_1	3238705	3240832	-1	CC1G_00558,CC1G_00560,LACBIDRAFT_291776	orthomcl
CC1G_00560	Chr_1	3241279	3243495	+1	CC1G_00558,CC1G_00559,LACBIDRAFT_291776	orthomcl
CC1G_00590	Chr_1	3324625	3325700	-1	CC1G_13748,LACBIDRAFT_307499	orthomcl
CC1G_00591	Chr_1	3326271	3327613	+1	CC1G_00628,CC1G_00642,LACBIDRAFT_252993	orthomcl
CC1G_00597	Chr_1	3338796	3341587	-1	CC1G_06947,CC1G_07935,CC1G_07936,CC1G_11177,LACBIDRAFT_311192	orthomcl
CC1G_00606	Chr_1	3360026	3360951	-1	CC1G_02079,CC1G_02458,CC1G_06054,CC1G_10416,CC1G_10788,LACBIDRAFT_307933,LACBIDRAFT_315807,LACBIDRAFT_331871	orthomcl
CC1G_00607	Chr_1	3361522	3364529	+1	CC1G_06055,CC1G_09392,CC1G_10415,CC1G_10789,CC1G_15154,CC1G_15327,LACBIDRAFT_307726,LACBIDRAFT_307932	orthomcl
CC1G_00618	Chr_1	3391941	3393284	-1	CC1G_00619,LACBIDRAFT_301449	orthomcl
CC1G_00619	Chr_1	3393709	3394938	+1	CC1G_00618,LACBIDRAFT_301449	orthomcl
CC1G_00628	Chr_1	3420849	3422230	-1	CC1G_00591,CC1G_00642,LACBIDRAFT_252993	orthomcl
CC1G_00642	Chr_1	3455163	3456520	-1	CC1G_00591,CC1G_00628,LACBIDRAFT_252993	orthomcl
CC1G_00647	Chr_1	3464711	3466032	-1	CC1G_00648,CC1G_13757,LACBIDRAFT_330263	orthomcl
CC1G_00648	Chr_1	3466871	3468138	-1	CC1G_00647,CC1G_13757,LACBIDRAFT_330263	orthomcl
CC1G_00657	Chr_1	3498567	3501140	+1	CC1G_02529,CC1G_10953,CC1G_11146,LACBIDRAFT_298625,LACBIDRAFT_299682,LACBIDRAFT_303072,LACBIDRAFT_308609,LACBIDRAFT_312106,LACBIDRAFT_312184,LACBIDRAFT_329705,LACBIDRAFT_329869,LACBIDRAFT_329879,LACBIDRAFT_332923	orthomcl
CC1G_00703	Chr_1	3640012	3643364	-1	CC1G_08804,LACBIDRAFT_293692,LACBIDRAFT_305049,LACBIDRAFT_317360,LACBIDRAFT_321080	orthomcl
