#chrom	src_start	src_stop	strand	pc	pc_start	pc_stop	pc_strand
Chr_1	119692	160469	+	pchr_scaffold_5	150017	236122	+
Chr_1	163022	274652	+	pchr_scaffold_9	1423344	1494832	-
Chr_1	274652	285620	+	pchr_scaffold_10	1085382	1352581	+
Chr_1	296324	353644	+	pchr_scaffold_10	1032734	1046474	+
Chr_1	353644	377585	+	pchr_scaffold_1	2661949	2703956	+
Chr_1	377585	396072	+	pchr_scaffold_14	166061	282376	-
Chr_1	456957	480489	+	pchr_scaffold_14	282376	329273	-
Chr_1	584762	604845	+	pchr_scaffold_14	382588	570394	-
Chr_1	612429	658525	+	pchr_scaffold_14	329273	382588	-
Chr_1	720548	735928	+	pchr_scaffold_14	578778	581207	-
Chr_1	753074	783342	+	pchr_scaffold_14	574659	578778	+
Chr_1	804336	806801	+	pchr_scaffold_11	319401	322682	-
Chr_1	806801	822975	+	pchr_scaffold_11	197888	232147	+
Chr_1	822975	836831	+	pchr_scaffold_11	319210	319401	+
Chr_1	836831	900706	+	pchr_scaffold_11	235194	319210	-
Chr_1	916986	922301	+	pchr_scaffold_11	232147	235194	-
Chr_1	922301	924173	+	pchr_scaffold_11	197381	197888	+
Chr_1	924173	952622	+	pchr_scaffold_11	156020	197381	-
Chr_1	961738	989629	+	pchr_scaffold_11	136144	153297	+
Chr_1	1001004	1009556	+	pchr_scaffold_11	153297	156020	-
Chr_1	1009556	1044873	+	pchr_scaffold_14	788684	859641	+
Chr_1	1044873	1060443	+	pchr_scaffold_10	1374836	1432097	-
Chr_1	1060443	1081746	+	pchr_scaffold_25	157000	179738	-
Chr_1	1115056	1118968	+	pchr_scaffold_25	179738	181527	-
Chr_1	1118968	1121382	+	pchr_scaffold_14	722935	725535	-
Chr_1	1144134	1156903	+	pchr_scaffold_14	696376	722935	-
Chr_1	1156903	1165719	+	pchr_scaffold_25	9549	157000	-
Chr_1	1165719	1224091	+	pchr_scaffold_14	725535	740123	-
Chr_1	1224091	1242416	+	pchr_scaffold_14	861112	906079	+
Chr_1	1242416	1260900	+	pchr_scaffold_14	581207	607360	-
Chr_1	1260900	1266879	+	pchr_scaffold_14	607360	696376	-
Chr_1	1302259	1306760	+	pchr_scaffold_14	570394	574659	-
