#chrom	src_start	src_stop	strand	lb	lb_start	lb_stop	lb_strand
Chr_1	119692	160469	+	Lbic_S238N-H82_LACBIscaffold_1	3225363	3288034	+
Chr_1	160469	163022	+	Lbic_S238N-H82_LACBIscaffold_12	849209	850958	-
Chr_1	163022	274652	+	Lbic_S238N-H82_LACBIscaffold_32	114923	128778	-
Chr_1	274652	285620	+	Lbic_S238N-H82_LACBIscaffold_26	69519	85206	-
Chr_1	285620	290806	+	Lbic_S238N-H82_LACBIscaffold_26	242069	291511	-
Chr_1	290806	296324	+	Lbic_S238N-H82_LACBIscaffold_26	235169	242069	+
Chr_1	296324	353644	+	Lbic_S238N-H82_LACBIscaffold_26	85206	235169	-
Chr_1	353644	377585	+	Lbic_S238N-H82_LACBIscaffold_18	506503	595148	-
Chr_1	377585	396072	+	Lbic_S238N-H82_LACBIscaffold_57	199248	237162	-
Chr_1	396072	434936	+	Lbic_S238N-H82_LACBIscaffold_4	1028979	1033521	-
Chr_1	434936	437076	+	Lbic_S238N-H82_LACBIscaffold_11	1093770	1102976	-
Chr_1	437076	450112	+	Lbic_S238N-H82_LACBIscaffold_26	499486	524047	-
Chr_1	450112	456957	+	Lbic_S238N-H82_LACBIscaffold_57	49877	53785	+
Chr_1	456957	480489	+	Lbic_S238N-H82_LACBIscaffold_57	56760	100839	+
Chr_1	480489	530201	+	Lbic_S238N-H82_LACBIscaffold_26	291511	499486	-
Chr_1	530201	547484	+	Lbic_S238N-H82_LACBIscaffold_11	682136	684181	+
Chr_1	547484	551411	+	Lbic_S238N-H82_LACBIscaffold_8	50013	54221	-
Chr_1	551411	574394	+	Lbic_S238N-H82_LACBIscaffold_26	41565	69519	-
Chr_1	574394	584762	+	Lbic_S238N-H82_LACBIscaffold_26	524047	541511	+
Chr_1	584762	604845	+	Lbic_S238N-H82_LACBIscaffold_26	599660	605953	+
Chr_1	604845	612429	+	Lbic_S238N-H82_LACBIscaffold_57	53785	56760	-
Chr_1	612429	658525	+	Lbic_S238N-H82_LACBIscaffold_26	541511	599660	+
Chr_1	658525	720548	+	Lbic_S238N-H82_LACBIscaffold_57	136805	197552	+
Chr_1	720548	735928	+	Lbic_S238N-H82_LACBIscaffold_57	243004	262898	+
Chr_1	735928	753074	+	Lbic_S238N-H82_LACBIscaffold_57	100839	136805	+
Chr_1	753074	783342	+	Lbic_S238N-H82_LACBIscaffold_12	1115184	1126552	+
