#chrom	start	stop	type	tables	designation
I	1	422408	TEL1.L	S6	UNSCORED
I	422408	2548109	COLD1.1	S6	COLD
I	2548109	2647744	NEUT1.1	S6	NEUTRAL
I	2647744	3827620	COLD1.2	S6	COLD
I	3827620	3914878	NEUT1.2	S6	NEUTRAL
I	3914878	4145744	HOT1.1	S6	HOT
I	4145744	4146986	TEL1.R	S6	UNSCORED
II	1	20443	TEL2.L	S6	UNSCORED
II	20444	184373	HOT2.1	S6	HOT
II	184373	504083	NEUT2.1	S6	NEUTRAL
II	504084	524937 	HOT2.2	S6	HOT
II	524938	2977912	COLD2.1	S6	COLD
II	2977913	3096062	NEUT2.2	S6	NEUTRAL
II	3096062	3158568	HOT2.3	S6	HOT
II	3158569	3330510	NEUT2.3	S6	NEUTRAL
II	3330511	3343917	HOT2.4	S6	HOT
II	3343918	3556540	NEUT2.4	S6	NEUTRAL
II	3556541	3707926	HOT2.5	S6	HOT
II	3707927	3743637	TEL2.R	S6	UNSCORED
III	1	100043	TEL3.L	S6	UNSCORED
III	100043	149713	HOT3.1	S6	HOT
III	149713	535087	NEUT3.1	S6	NEUTRAL
III	535087	2772053	COLD3.1	S6	COLD
III	2772053	3070392	NEUT3.2	S6	NEUTRAL
III	3070392	3238127	HOT3.2	S6	HOT
III	3238127	3572610	NEUT3.3	S6	NEUTRAL
III	3572610	3623902	TEL3.R	S6	UNSCORED
IV	1	143306	TEL4.L	S6	UNSCORED
IV	143306	442450	NEUT4.1	S6	NEUTRAL
IV	442450	603398	HOT4.1	S6	HOT
IV	603398	3252718	NEUT4.2	S6	NEUTRAL
IV	3252718	3397079	HOT4.2	S6	HOT
IV	3397079	3559201	TEL4.R	S6	UNSCORED
V	1	162816	TEL5.L	S6	UNSCORED
V	162816	192280	NEUT5.1	S6	NEUTRAL
V	192280	310287	HOT5.1	S6	HOT
V	310287	517646	NEUT5.2	S6	NEUTRAL
V	517646	2016633	COLD5.1	S6	COLD
V	2016633	3157498	NEUT5.3	S6	NEUTRAL
V	3157498	3468139	TEL5.R	S6	UNSCORED
VI	1	357588	TEL6.L	S6	UNSCORED
VI	357588	1455295	NEUT6.1	S6	NEUTRAL
VI	1455295	2020770	TEL5.R	S6	UNSCORED
VII	1	3493	TEL7.L	S6	UNSCORED
VII	3493	244433	HOT7.1	S6	HOT
VII	244433	447513	NEUT7.1	S6	NEUTRAL
VII	447513	585456	HOT7.2	S6	HOT
VII	585456	2339432	COLD7.1	S6	COLD
VII	2339432	2959813	NEUT7.2	S6	NEUTRAL
VII	2959813	2959813	TEL7.R	S6	UNSCORED
VIII	1	109850	TEL8.L	S6	UNSCORED
VIII	109850	922302	COLD8.1	S6	COLD
VIII	922302	1263071	HOT8.1	S6	HOT
VIII	1263071	2052669	COLD8.2	S6	COLD
VIII	2052669	2448721	HOT8.2	S6	HOT
VIII	2448721	2513103	TEL8.R	S6	UNSCORED
IX	1	201979	TEL9.L	S6	UNSCORED
IX	201979	382997	NEUT9.1	S6	NEUTRAL
IX	382997	594122	HOT9.1	S6	HOT
IX	594122	858899	NEUT9.2	S6	NEUTRAL
IX	858899	2037436	COLD9.1	S6	COLD
IX	2037436	2486401	TEL9.R	S6	UNSCORED
X	1	339454	TEL10.L	S6	UNSCORED
X	339454	529244	NEUT10.1	S6	NEUTRAL
X	529244	1719108	COLD10.1	S6	COLD
X	1719108	1801055	NEUT10.2	S6	NEUTRAL
X	1801055	2252722	TEL10.R	S6	UNSCORED
XI	1	102606	TEL11.L	S6	UNSCORED
XI	102606	1025778	NEUT11.1	S6	NEUTRAL
XI	1025778	1086412	HOT11.1	S6	HOT
XI	1086412	1225356	NEUT11.2	S6	NEUTRAL
XI	1225356	1954623	TEL11.R	S6	UNSCORED
XII	1	47660	TEL12.L	S6	UNSCORED
XII	47660	235384	HOT12.1	S6	HOT
XII	235384	879006	NEUT12.2	S6	NEUTRAL
XII	879006	1444311	COLD12.1	S6	COLD
XII	1444311	2043821	NEUT12.3	S6	NEUTRAL
XII	2043821	2097972	TEL12.R	S6	UNSCORED
XIII	1	61925	TEL13.L	S6	UNSCORED
XIII	61925	610492	NEUT13.1	S6	NEUTRAL
XIII	610492	982921	TEL13.R	S6	UNSCORED
