#model	count	dS_inv	dN	scaffold	start_position
Ccin:CC1G_13429T0	5	0.746268656716418	0.74	I	505
Ccin:CC1G_13545T0	5	0.746268656716418	0.74	I	4238
Ccin:CC1G_13546T0	5	0.869565217391304	0.62	I	6461
Ccin:CC1G_12277T0	5	1.0989010989011	0.49	I	8870
Ccin:CC1G_12279T0	7	1.33333333333333	0.42	I	19161
Ccin:CC1G_13548T0	8	1.63934426229508	0.36	I	24980
Ccin:CC1G_12286T0	8	1.92307692307692	0.28	I	39618
Ccin:CC1G_12287T0	10	2.38095238095238	0.22	I	44089
Ccin:CC1G_13291T0	9	3.44827586206897	0.15	I	49313
Ccin:CC1G_13550T0	8	12.5	0.05	I	51887
Ccin:CC1G_12799T0	8	14.2857142857143	0.05	I	54692
Ccin:CC1G_12801T0	8	12.5	0.05	I	58129
Ccin:CC1G_13551T0	8	16.6666666666667	0.03	I	62924
Ccin:CC1G_13552T0	8	10	0.06	I	66852
Ccin:CC1G_12805T0	8	11.1111111111111	0.05	I	67938
Ccin:CC1G_13554T0	5	0.900900900900901	0.36	I	88528
Ccin:CC1G_02744T0	5	0.578034682080925	0.62	I	103205
Ccin:CC1G_02746T0	6	0.578034682080925	0.47	I	109090
Ccin:CC1G_02747T0	6	0.588235294117647	0.55	I	110665
Ccin:CC1G_02749T0	6	0.478468899521531	0.6	I	113644
Ccin:CC1G_02750T0	6	0.490196078431373	0.52	I	115671
Ccin:CC1G_02757T0	7	0.448430493273543	0.82	I	133778
Ccin:CC1G_02758T0	5	0.420168067226891	0.88	I	136512
Ccin:CC1G_02760T0	4	0.420168067226891	0.9	I	141705
Ccin:CC1G_02765T0	4	0.393700787401575	0.82	I	150897
Ccin:CC1G_02769T0	5	0.395256916996047	1.05	I	165451
Ccin:CC1G_02773T0	6	0.5	0.76	I	179678
Ccin:CC1G_02774T0	6	0.588235294117647	0.74	I	182461
Ccin:CC1G_02775T0	6	0.480769230769231	0.73	I	184781
Ccin:CC1G_02779T0	6	0.531914893617021	0.65	I	194441
Ccin:CC1G_13557T0	6	0.598802395209581	0.61	I	195405
Ccin:CC1G_02781T0	7	0.588235294117647	0.58	I	199660
Ccin:CC1G_02786T0	10	0.636942675159236	0.57	I	217281
Ccin:CC1G_02788T0	11	0.675675675675676	0.55	I	223183
Ccin:CC1G_13559T0	11	0.62111801242236	0.62	I	224871
Ccin:CC1G_13560T0	11	0.680272108843537	0.6	I	226633
Ccin:CC1G_02792T0	12	0.591715976331361	0.66	I	233239
