#chrom	start	stop	block
I	2367432	3058970	Block_8
I	1840644	2265294	Block_9
I	1647082	1786036	Block_10
I	1460833	1600865	Block_11
I	1007829	1118430	Block_12
I	3227884	3397741	Block_13
I	1390983	1442262	Block_14
I	3100747	3136544	Block_15
I	1348303	1376668	Block_16
I	3370187	3508093	Block_17
I	1103685	1253002	Block_18
I	226630	337801	Block_19
I	309466	339509	Block_20
I	571056	634347	Block_21
I	3768798	3856931	Block_22
I	3718178	3761054	Block_23
II	1469643	1705006	Block_48
II	1382789	1479540	Block_49
II	918545	1026454	Block_50
II	1690121	1777815	Block_51
II	1100069	1156960	Block_52
II	1171355	1204877	Block_53
II	1215997	1260834	Block_54
II	1039156	1058653	Block_55
II	1802443	1948237	Block_56
II	2468381	2591107	Block_57
II	2040365	2120798	Block_58
II	2341176	2361829	Block_59
II	1978536	2035848	Block_60
II	2253169	2330935	Block_61
II	2643503	2703264	Block_62
II	2737023	2795259	Block_63
II	141843	163372	Block_64
II	2798737	2903440	Block_65
II	422563	506916	Block_66
II	666747	739362	Block_67
II	471293	593598	Block_68
II	3101529	3233696	Block_69
III	2545764	2705627	Block_85
III	1479548	1525288	Block_86
III	1193818	1249712	Block_87
III	2211775	2273676	Block_88
III	1751029	1832053	Block_89
III	1605700	1647610	Block_90
III	2037000	2105021	Block_91
III	2355669	2389670	Block_92
III	2713520	2735589	Block_93
III	928351	975007	Block_94
III	1269887	1307134	Block_95
III	2792495	2861275	Block_96
III	3001852	3086093	Block_97
III	2121445	2134856	Block_98
III	2524080	2576378	Block_99
III	2606197	2618672	Block_100
III	1842845	2048570	Block_101
III	1307330	1392532	Block_102
III	1531527	1567456	Block_103
III	1674442	1770043	Block_104
III	2405488	2456304	Block_105
III	1433240	1465884	Block_106
III	708769	752484	Block_107
III	822040	935039	Block_108
IV	1816790	1829826	Block_126
IV	959464	1051289	Block_127
IV	1995356	2176100	Block_128
IV	2702167	2758871	Block_129
IV	1614817	1668647	Block_130
IV	1487027	1509155	Block_131
IV	2176504	2207433	Block_132
IV	2394748	2427138	Block_133
IV	3231500	3274632	Block_134
IV	1156140	1176213	Block_135
IV	2655501	2712880	Block_136
IV	2770064	2808047	Block_137
IV	2842626	2908002	Block_138
IV	141822	200301	Block_139
IV	2822216	2908002	Block_140
V	914604	1118666	Block_149
V	2146781	2315788	Block_150
V	1294761	1424649	Block_151
V	1794787	1923644	Block_152
V	1923825	2059726	Block_153
V	1440324	1582123	Block_154
V	1624076	1754190	Block_155
V	2431101	2464675	Block_156
V	2326998	2400400	Block_157
V	1209129	1276231	Block_158
V	2626472	2723588	Block_159
V	3009256	3042916	Block_160
V	2472960	2508594	Block_161
V	755802	838586	Block_162
V	678867	751912	Block_163
V	267088	356133	Block_164
V	573337	645917	Block_165
V	857897	903184	Block_166
V	1125299	1142906	Block_167
V	2064750	2122526	Block_168
VI	447986	618954	Block_193
VI	724789	774196	Block_194
VI	1037054	1119092	Block_195
VI	1457895	1500205	Block_196
VII	1535835	1692201	Block_215
VII	1027538	1185941	Block_216
VII	1465805	1521746	Block_217
VII	1330454	1451367	Block_218
VII	458716	507380	Block_219
VII	882408	996263	Block_220
VII	882408	1014206	Block_221
VII	1293586	1324016	Block_222
VII	1742768	1772942	Block_223
VII	1827559	1854508	Block_224
VII	811148	891436	Block_225
VII	1004372	1044217	Block_226
VII	1229288	1275394	Block_227
VII	1946161	1963204	Block_228
VII	594827	603659	Block_229
VII	2008511	2076746	Block_230
VII	2263990	2273959	Block_231
VII	2427016	2467172	Block_232
VIII	857081	927150	Block_240
VIII	1233565	1344627	Block_241
VIII	1343714	1416242	Block_242
VIII	1594400	1673218	Block_243
VIII	949045	1023974	Block_244
VIII	1029735	1082768	Block_245
VIII	1120813	1156042	Block_246
VIII	1723572	1745434	Block_247
VIII	374069	499259	Block_248
VIII	498096	555746	Block_249
VIII	2029353	2087212	Block_250
IX	1480427	1592646	Block_267
IX	1701613	1804503	Block_268
IX	1780718	1893701	Block_269
IX	851322	898448	Block_270
IX	1282835	1344290	Block_271
IX	1735445	1751003	Block_272
IX	661645	686057	Block_273
IX	946414	1035417	Block_274
X	947061	1024493	Block_284
X	1422691	1490748	Block_285
X	223737	352012	Block_286
X	1042477	1073686	Block_287
X	643746	701412	Block_288
X	1269887	1298684	Block_289
XI	1411299	1458206	Block_300
XI	868355	937996	Block_301
XI	1009683	1066562	Block_302
XI	1176726	1247962	Block_303
XI	376732	418683	Block_304
XI	209925	316818	Block_305
XI	1433124	1460687	Block_306
XI	733955	858187	Block_307
XI	929703	975228	Block_308
XI	1022952	1048736	Block_309
XII	1568676	1684579	Block_322
XII	1621156	1727578	Block_323
XII	245989	345141	Block_324
XII	192372	275811	Block_325
XII	1811843	1861623	Block_326
XII	1017442	1056429	Block_327
XIII	193539	345884	Block_332
XIII	279128	364286	Block_333
XIII	360219	427702	Block_334
XIII	480473	553196	Block_335
XIII	486451	502657	Block_336
XIII	806000	868484	Block_337
