#chrom	feature	start	stop
I	tssr6	422408	422428
I	tssr9	814087	814107
I	tssr10	865378	865398
I	tssr21	1725697	1725717
I	tssr22	1874097	1874117
I	tssr26	2103669	2103689
I	tssr28	2326372	2326392
I	tssr_ade3	2548109	2550871
I	tssr_Afactor	2647744	2666135
I	tssr47	3827620	3827640
I	tssr49	3914878	3914898
I	tssr52	4145744	4146986
II	tssr510	20444	20464
II	tssr512	63278	63298
II	tssr514	133389	133419
II	tssr519	184373	184393
II	tssr176	304949	304969
II	tssr178	343850	343870
II	tssr184	407775	407805
II	tssr186	439003	438023
II	tssr187	504084	504114
II	tssr188	524938	524958
II	tssr_trp1	1066263	1068918
II	tssr207	2616059	2616089
II	tssr452	2977913	2977933
II	tssr454	3096062	3096082
II	tssr457	3158569	3158599
II	tssr459	3210465	3210485
II	tssr460	3330511	3330531
II	tssr462	3343918	3343948
II	tssr505	3556541	3556561
II	tssr507	3606780	3606810
II	tssr508	3645295	3645315
II	tssr509	3707927	3743637
III	tssr-54	100043	100044
III	tssr-57	149713	149714
III	tssr59	219538	219558
III	tssr-60	346918	346919
III	tssr-63	535087	535088
III	tssr-65	796517	796518
III	tssr-73	1304066	1304067
III	tssr-77	1732454	1732455
III	tssr-87	2772053	2772054
III	tssr89	2796613	2796633
III	tssr93	3070392	3070412
III	tssr-95	3238127	3238128
III	tssr-101	3344587	3344588
III	tssr-109	3572610	3623902
IV	tssr463	143306	143326
IV	tssr467	390192	390212
IV	tssr468	442450	442470
IV	tssr383	603398	603418
IV	tssr-385	695340	695341
IV	tssr387	778648	778668
IV	tssr389	792346	792366
IV	tssr393	997293	997313
IV	tssr398	1281303	1281323
IV	tssr-401	1431515	1431516
IV	tssr-310	1676423	1676424
IV	tssr-315	2064397	2064398
IV	tssr-324	3109552	3109553
IV	tssr-326	3252718	3252719
IV	tssr328	3374443	3374463
IV	tssr-330	3397079	3559201
V	tssr-440	162816	162817
V	tssr-437	192280	192281
V	tssr-434	310287	310288
V	tssr-430	424230	424231
V	tssr-428	517646	517647
V	tssr336	1158687	1158707
V	tssr-340	1904988	1904989
V	tssr-343	2016633	2016634
V	tssr-346	2516950	2516951
V	tssr351	2677273	2677293
V	tssr-424	3157498	3468139
VI	tssr352	357588	357589
VI	tssr355	510970	510971
VI	tssr366	1215201	1215202
VI	tssr367	1355167	1355187
VI	tssr369	1455295	2020770
VII	tssr496	3493	3513
VII	tssr494	17375	17395
VII	tssr493	32471	32472
VII	tssr488	244433	244434
VII	tssr487	296466	296486
VII	tssr110	447513	447514
VII	tssr112	585456	585457
VII	tssr113	661626	661627
VII	tssr122	1071539	1071559
VII	tssr131	2066824	2066825
VII	tssr133	2339432	2339452
VII	tssr137	2531597	2531598
VII	tssr140	2711884	2711904
VII	tssr539	2959811	2959812
VIII	tssr287	109850	109851
VIII	tssr295	411732	411733
VIII	tssr296	922302	922303
VIII	tssr297	1263071	1263072
VIII	tssr301	1863743	1863744
VIII	tssr304	2015352	2015353
VIII	tssr306	2052669	2052670
VIII	tssr502	2448721	2513103
IX	tssr145	201979	201999
IX	tssr147	382997	383017
IX	tssr149	586083	586103
IX	tssr150	594122	594142
IX	tssr153	741161	741181
IX	tssr154	858899	858919
IX	tssr167	2037436	2486401
X	tssr220	339454	339474
X	tssr221	391929	391949
X	tssr222	529244	529245
X	tssr231	1371321	1371341
X	tssr_Bfactor	1719108	1740167
X	tssr235	1790940	1790960
X	tssr236	1801055	2252722
XI	tssr442	102606	102607
XI	tssr475	1025778	1025798
XI	tssr477	1086412	1086432
XI	tssr417	1173645	1173665
XI	tssr413	1225356	1954623
XII	tssr246	47660	47661
XII	tssr249	235384	235404
XII	tssr250	264317	264337
XII	tssr253	369268	369288
XII	tssr254	390766	390786
XII	tssr256	495302	495322
XII	tssr259	729957	729958
XII	tssr260	777883	777903
XII	tssr262	879006	879026
XII	tssr269	1444311	1444312
XII	tssr277	1886896	1886897
XII	tssr281	2043821	2097972
XIII	tssr370	61925	61945
XIII	tssr373	344348	344349
XIII	tssr374	348230	348231
XIII	tssr378	610492	982921
