#chrom	start	stop	type
II	2120000	2200000	CEN2
III	2150000	2200000	CEN3
IV	1520000	1550000	CEN4
V	860000	930000	CEN5
VII	1870000	1920000	CEN7
VIII	2060000	2090000	CEN8
IX	1060000	1061000	CEN9
X	1570000	1600000	CEN10
XI	1130000	1119000	CEN11
I	4121986	4146986	TEL.R1	
II	1	25000	TEL.L2
II	3718637	3743637	TEL.R2
III	1	25000	TEL.L3
III	3598902	3623902	TEL.R3
IV	1	25000	TEL.L4
IV	3534201	3559201	TEL.R4
V	1	25000	TEL.L5
V	3443139	3468139	TEL.R5
VII	1	25000	TEL.L7
VII	2934814	2959814	TEL.R7
VIII	1	25000	TEL.L8
VIII	2488103	2513103	TEL.R8
IX	1	25000	TEL.L9
IX	2461401	2486401	TEL.R9
X	1	25000	TEL.L10
X	2227722	2252722	TEL.R10
XI	1	25000	TEL.L11
XI	1929623	1954623	TEL.R11
XII	2072972	2097972	TEL.R12
XIII	1	25000	TEL.L13
