#gene	src	src_start	src_stop	src_strand	target	method
CC1G_00011	V	892032	894736	-1	LACBIDRAFT_166267	orthomcl
CC1G_00012	V	894845	899929	+1	LACBIDRAFT_294897	orthomcl
CC1G_00013	V	900401	901379	-1	LACBIDRAFT_330027	orthomcl
CC1G_00014	V	901584	903181	+1	LACBIDRAFT_191220	orthomcl
CC1G_00015	V	903405	904914	+1	LACBIDRAFT_187873	orthomcl
CC1G_00017	V	906149	907054	+1	LACBIDRAFT_181880	orthomcl
CC1G_00018	V	907309	909832	+1	LACBIDRAFT_292170	orthomcl
CC1G_00021	V	916386	917220	-1	LACBIDRAFT_182430	orthomcl
CC1G_00022	V	917386	919840	+1	LACBIDRAFT_305751	orthomcl
CC1G_00024	V	924346	928159	+1	LACBIDRAFT_305750	orthomcl
CC1G_00025	V	930782	933389	-1	LACBIDRAFT_305747	orthomcl
CC1G_00031	V	943813	946357	-1	LACBIDRAFT_305737	orthomcl
CC1G_00032	V	946555	948999	+1	LACBIDRAFT_305736	orthomcl
CC1G_00033	V	949379	950389	-1	LACBIDRAFT_168591	orthomcl
CC1G_00034	V	950615	951492	+1	LACBIDRAFT_290751	orthomcl
CC1G_00035	V	952065	955360	-1	LACBIDRAFT_305733	orthomcl
CC1G_00036	V	955597	956856	+1	LACBIDRAFT_187875	orthomcl
CC1G_00037	V	957043	958118	-1	LACBIDRAFT_321999	orthomcl
CC1G_00038	V	958358	960467	+1	LACBIDRAFT_305730	orthomcl
CC1G_00041	V	973141	974426	+1	LACBIDRAFT_292159	orthomcl
CC1G_00042	V	974894	975692	-1	LACBIDRAFT_305746	orthomcl
CC1G_00048	V	985839	988065	-1	LACBIDRAFT_322008	orthomcl
CC1G_00049	V	989834	994130	+1	LACBIDRAFT_305741	orthomcl
CC1G_00050	V	995366	996776	+1	LACBIDRAFT_150219	orthomcl
CC1G_00051	V	997201	998391	+1	LACBIDRAFT_305744	orthomcl
CC1G_00052	V	999503	1001314	+1	LACBIDRAFT_305745	orthomcl
CC1G_00053	V	1001804	1002681	+1	LACBIDRAFT_171373	orthomcl
CC1G_00055	V	1004893	1006514	+1	LACBIDRAFT_229977	orthomcl
CC1G_00057	V	1008039	1009580	+1	LACBIDRAFT_305723	orthomcl
CC1G_00058	V	1009962	1012321	-1	LACBIDRAFT_187624	orthomcl
CC1G_00066	V	1029965	1031508	-1	LACBIDRAFT_305719	orthomcl
CC1G_00067	V	1031541	1033162	+1	LACBIDRAFT_244232	orthomcl
CC1G_00070	V	1040022	1040894	-1	LACBIDRAFT_305717	orthomcl
CC1G_00071	V	1041639	1044880	-1	LACBIDRAFT_321987	orthomcl
CC1G_00072	V	1045297	1046027	-1	LACBIDRAFT_148798	orthomcl
CC1G_00073	V	1046258	1048169	+1	LACBIDRAFT_305714	orthomcl
CC1G_00074	V	1048290	1049427	-1	LACBIDRAFT_305713	orthomcl
CC1G_00075	V	1049552	1050305	+1	LACBIDRAFT_244860	orthomcl
CC1G_00076	V	1050537	1051157	-1	LACBIDRAFT_162795	orthomcl
CC1G_00077	V	1051282	1051649	+1	LACBIDRAFT_305710	orthomcl
CC1G_00079	V	1053303	1057772	-1	LACBIDRAFT_187569	orthomcl
CC1G_00080	V	1057972	1059716	+1	LACBIDRAFT_243952	orthomcl
CC1G_00082	V	1071611	1073116	-1	LACBIDRAFT_305703	orthomcl
CC1G_00083	V	1073314	1074359	+1	LACBIDRAFT_244601	orthomcl
CC1G_00084	V	1074514	1074978	-1	LACBIDRAFT_305701	orthomcl
CC1G_00086	V	1076303	1078307	-1	LACBIDRAFT_305700	orthomcl
CC1G_00087	V	1078937	1082179	-1	LACBIDRAFT_292149	orthomcl
CC1G_00089	V	1085421	1087905	+1	LACBIDRAFT_305696	orthomcl
CC1G_00090	V	1088623	1091853	-1	LACBIDRAFT_305695	orthomcl
CC1G_00091	V	1092028	1093058	+1	LACBIDRAFT_292147,LACBIDRAFT_330391	orthomcl
CC1G_00092	V	1097355	1099157	+1	LACBIDRAFT_317855	orthomcl
CC1G_00093	V	1099427	1100529	-1	LACBIDRAFT_305691	orthomcl
CC1G_00094	V	1100831	1102093	+1	LACBIDRAFT_305690	orthomcl
CC1G_00095	V	1102347	1103025	-1	LACBIDRAFT_176793	orthomcl
CC1G_00096	V	1103198	1103661	+1	LACBIDRAFT_181948	orthomcl
CC1G_00097	V	1104164	1104463	+1	LACBIDRAFT_192455	orthomcl
CC1G_00098	V	1105207	1107013	-1	LACBIDRAFT_321968	orthomcl
CC1G_00100	V	1111016	1113148	+1	LACBIDRAFT_399448	orthomcl
CC1G_00101	V	1114896	1116465	-1	LACBIDRAFT_305681	orthomcl
CC1G_00102	V	1117061	1117506	-1	LACBIDRAFT_399530	orthomcl
CC1G_00103	V	1117658	1118663	+1	LACBIDRAFT_305679	orthomcl
CC1G_00104	V	1119126	1123802	-1	LACBIDRAFT_305678	orthomcl
CC1G_00106	V	1125299	1127018	+1	LACBIDRAFT_303701	orthomcl
CC1G_00107	V	1127872	1129875	-1	LACBIDRAFT_294907	orthomcl
CC1G_00108	V	1130301	1130641	-1	LACBIDRAFT_237613	orthomcl
CC1G_00109	V	1130951	1132543	+1	LACBIDRAFT_303698	orthomcl
CC1G_00110	V	1133150	1134762	-1	LACBIDRAFT_303697	orthomcl
CC1G_00112	V	1136629	1138296	+1	LACBIDRAFT_303691	orthomcl
CC1G_00113	V	1138652	1139023	+1	LACBIDRAFT_303690	orthomcl
CC1G_00114	V	1139057	1139944	-1	LACBIDRAFT_303689	orthomcl
CC1G_00118	V	1146013	1146909	+1	LACBIDRAFT_256445	orthomcl
CC1G_00120	V	1148661	1149906	-1	LACBIDRAFT_189413	orthomcl
CC1G_00123	V	1156568	1158644	-1	LACBIDRAFT_335346	orthomcl
CC1G_00124	V	1159339	1163426	+1	LACBIDRAFT_303702	orthomcl
CC1G_00125	V	1163640	1164404	+1	LACBIDRAFT_169007,LACBIDRAFT_190820	orthomcl
CC1G_00126	V	1164508	1164996	-1	LACBIDRAFT_297512	orthomcl
CC1G_00127	V	1165171	1165569	+1	LACBIDRAFT_305760	orthomcl
CC1G_00128	V	1165760	1166936	-1	LACBIDRAFT_295167	orthomcl
