#chrom	start	stop	type
I	4147986	4146986	TEL.R1	
II	1	25000	TEL.L2
II	3742637	3743637	TEL.R2
III	1	25000	TEL.L3
III	3622902	3623902	TEL.R3
IV	1	25000	TEL.L4
IV	3558201	3559201	TEL.R4
V	1	25000	TEL.L5
V	3467139	3468139	TEL.R5
VII	1	25000	TEL.L7
VII	2958814	2959814	TEL.R7
VIII	1	25000	TEL.L8
VIII	2512103	2513103	TEL.R8
IX	1	25000	TEL.L9
IX	2485401	2486401	TEL.R9
X	1	25000	TEL.L10
X	2251722	2252722	TEL.R10
XI	1	25000	TEL.L11
XI	1953623	1954623	TEL.R11
XII	2096972	2097972	TEL.R12
XIII	1	25000	TEL.L13
