#chrom	start	stop	name
I	72000	72451	gy_1
I	72478	73245	gy_2
I	73246	73869	gy_3
I	74398	74814	gy_4
I	74704	74814	gy_5
I	81537	88498	gy_6
I	424242	427734	Enh_1
I	458235	461637	hAT_1
I	504355	504503	gy_7
I	504355	504503	gy_8
I	506273	506335	gy_9
I	506786	506944	gy_10
I	507721	508912	gy_11
I	512598	513707	gy_12
I	853270	853434	cp_1
I	853270	853465	cp_2
I	881603	881637	gy_13
I	1177554	1177704	cp_3
I	1177985	1178262	cp_4
I	1187245	1188663	cp_5
I	1191701	1192081	cp_6
I	1192564	1193114	cp_7
I	1212283	1217836	cp_8
I	3687601	3688113	gy_14
I	4072494	4073668	cp_9
I	4133962	4134268	gy_15
I	4134654	4136885	gy_16
I	4137476	4137534	gy_17
II	301586	302041	gy_18
II	309793	312880	gy_19
II	311881	315971	gy_20
II	470717	477667	gy_21
II	520550	520596	cp_10
II	574512	574666	gy_22
II	575446	576637	gy_23
II	631205	637372	gy_24
II	637544	637596	gy_25
II	637628	638003	gy_26
II	691589	691734	gy_27
II	691756	692787	gy_28
II	693191	695355	hAT_2
II	696676	699915	gy_29
II	699935	700347	gy_30
II	700816	701304	gy_31
II	700868	701425	gy_32
II	2124988	2125052	gy_33
II	2124995	2125080	gy_34
II	2128950	2129174	gy_35
II	2129523	2130317	gy_36
II	2129599	2131636	gy_37
II	2134148	2134358	gy_38
II	2135103	2136295	gy_39
II	2145495	2145976	gy_40
II	2146705	2146915	gy_41
II	2147230	2147292	gy_42
II	2148784	2149415	cp_11
II	2156215	2156490	gy_43
II	2156503	2157443	gy_44
II	2158175	2158403	gy_45
II	2162739	2163639	cp_12
II	2164291	2164926	cp_13
II	2170185	2170597	gy_46
II	2170608	2171118	gy_47
II	2171121	2171603	gy_48
II	2172457	2172721	gy_49
II	2173016	2173969	gy_50
II	2173961	2176535	gy_51
II	2177798	2177856	gy_52
II	2178447	2179040	gy_53
II	2180604	2181439	cp_14
II	2182969	2184160	gy_54
II	2183161	2189151	gy_55
II	2192800	2194929	cp_15
II	2200021	2201445	gy_56
II	2200818	2201445	gy_57
II	2677317	2677853	cp_16
II	2680874	2681371	cp_17
II	2752011	2753484	gy_58
II	3031748	3038780	gy_59
II	3161828	3166346	gy_60
