#gene	chrom	chrom_start	chrom_stop	chrom_strand	targets	methods
CC1G_00007	V	878369	881539	+1	CC1G_14328,CC1G_15285	orthomcl
CC1G_00030	V	941978	943420	-1	CC1G_00044,CC1G_02573,CC1G_02574,CC1G_14576,CC1G_14577	orthomcl
CC1G_00044	V	977323	977920	+1	CC1G_00030,CC1G_02573,CC1G_02574,CC1G_14576,CC1G_14577	orthomcl
CC1G_00061	V	1015822	1016497	-1	CC1G_06883	orthomcl
CC1G_00119	V	1147034	1148308	-1	CC1G_12156	orthomcl
CC1G_00121	V	1150473	1152979	+1	CC1G_00122,CC1G_04749	orthomcl
CC1G_00122	V	1153429	1155959	+1	CC1G_00121,CC1G_04749	orthomcl
CC1G_00163	V	1240135	1241764	-1	CC1G_03375	orthomcl
CC1G_00228	V	1383986	1387953	-1	CC1G_07450	orthomcl
CC1G_00260	V	1447532	1448550	+1	CC1G_10162,CC1G_11702	orthomcl
CC1G_00266	V	1457450	1458638	+1	CC1G_00271	orthomcl
CC1G_00271	V	1469272	1470037	+1	CC1G_00266	orthomcl
CC1G_00298	V	1549164	1549663	-1	CC1G_09187	orthomcl
CC1G_00378	V	1750907	1752350	-1	CC1G_06236	orthomcl
CC1G_00463	V	1965117	1967621	-1	CC1G_05136	orthomcl
CC1G_00600	I	3345972	3347957	+1	CC1G_11489,CC1G_13477	orthomcl
CC1G_00602	I	3354817	3356511	-1	CC1G_02413,CC1G_02455,CC1G_06052,CC1G_08084,CC1G_09391,CC1G_10785,CC1G_11620,CC1G_13394,CC1G_14029	orthomcl
CC1G_00604	I	3358080	3358729	-1	CC1G_02456,CC1G_10786,CC1G_14085	orthomcl
CC1G_00605	I	3359044	3359807	+1	CC1G_02078,CC1G_02457,CC1G_05878,CC1G_06053,CC1G_06117,CC1G_09554,CC1G_10417,CC1G_10787,CC1G_12405,CC1G_12792,CC1G_12890	orthomcl
CC1G_00613	I	3382184	3384534	-1	CC1G_00802,CC1G_05921,CC1G_08415,CC1G_08416,CC1G_08899,CC1G_14315,CC1G_14900	orthomcl
CC1G_00624	I	3407520	3410514	+1	CC1G_01596,CC1G_03285,CC1G_03476,CC1G_13072,CC1G_13073,CC1G_14642,CC1G_14959,CC1G_15194	orthomcl
CC1G_00640	I	3450886	3452547	-1	CC1G_00667,CC1G_03348	orthomcl
CC1G_00644	I	3457940	3459238	-1	CC1G_00645,CC1G_03336,CC1G_06196	orthomcl
CC1G_00645	I	3459559	3460863	-1	CC1G_00644,CC1G_03336,CC1G_06196	orthomcl
CC1G_00665	I	3524291	3525338	-1	CC1G_02955,CC1G_05479,CC1G_15465	orthomcl
CC1G_00667	I	3527739	3529337	-1	CC1G_00640,CC1G_03348	orthomcl
CC1G_00687	I	3587694	3588456	-1	CC1G_09080	orthomcl
CC1G_00690	I	3591684	3593835	-1	CC1G_05998,CC1G_06019	orthomcl
CC1G_00704	I	3643594	3644450	+1	CC1G_14215	orthomcl
CC1G_00715	I	3688342	3691674	-1	CC1G_02362,CC1G_07225,CC1G_07598,CC1G_08470,CC1G_08475,CC1G_15101	orthomcl
CC1G_00739	I	3770018	3772884	-1	CC1G_01498,CC1G_01541,CC1G_03147,CC1G_03161,CC1G_05338,CC1G_05350,CC1G_05367,CC1G_05771,CC1G_05772,CC1G_05773,CC1G_05775,CC1G_05779,CC1G_05785,CC1G_05936,CC1G_07211,CC1G_07241,CC1G_07244,CC1G_07245,CC1G_07259,CC1G_07638,CC1G_07660,CC1G_07661,CC1G_08951,CC1G_08956,CC1G_08961,CC1G_08962,CC1G_08963,CC1G_08969,CC1G_08971,CC1G_08983,CC1G_09201,CC1G_09204,CC1G_09205,CC1G_09221,CC1G_09225,CC1G_09248,CC1G_09249,CC1G_09252,CC1G_09517,CC1G_09594,CC1G_09852,CC1G_10474,CC1G_10479,CC1G_10480,CC1G_10483,CC1G_10494,CC1G_10495,CC1G_10497,CC1G_10498,CC1G_10500,CC1G_10593,CC1G_11263,CC1G_11354,CC1G_12025,CC1G_12027,CC1G_13071,CC1G_15188,CC1G_15369,CC1G_15374,CC1G_15375,CC1G_15744,CC1G_15751,CC1G_15762	orthomcl
CC1G_00747	VII	918337	919716	-1	CC1G_00793	orthomcl
CC1G_00752	VII	933213	936588	+1	CC1G_05935,CC1G_14559,CC1G_15538	orthomcl
CC1G_00771	VII	982700	983383	+1	CC1G_13756	orthomcl
CC1G_00783	VII	1019533	1020300	+1	CC1G_00784,CC1G_00785,CC1G_00786	orthomcl
CC1G_00784	VII	1021040	1022190	+1	CC1G_00783,CC1G_00785,CC1G_00786	orthomcl
CC1G_00785	VII	1022773	1023615	+1	CC1G_00783,CC1G_00784,CC1G_00786	orthomcl
CC1G_00786	VII	1025298	1026676	+1	CC1G_00783,CC1G_00784,CC1G_00785	orthomcl
