#chrom	src_start	src_stop	strand	lb	lb_start	lb_stop	lb_strand
I	119692	160469	+	Lbic_S238N-H82_LACBIscaffold_1	3225363	3288034	+
I	160469	163022	+	Lbic_S238N-H82_LACBIscaffold_12	849209	850958	-
I	163022	274652	+	Lbic_S238N-H82_LACBIscaffold_32	114923	128778	-
I	274652	285620	+	Lbic_S238N-H82_LACBIscaffold_26	69519	85206	-
I	285620	290806	+	Lbic_S238N-H82_LACBIscaffold_26	242069	291511	-
I	290806	296324	+	Lbic_S238N-H82_LACBIscaffold_26	235169	242069	+
I	296324	353644	+	Lbic_S238N-H82_LACBIscaffold_26	85206	235169	-
I	353644	377585	+	Lbic_S238N-H82_LACBIscaffold_18	506503	595148	-
I	377585	396072	+	Lbic_S238N-H82_LACBIscaffold_57	199248	237162	-
I	396072	434936	+	Lbic_S238N-H82_LACBIscaffold_4	1028979	1033521	-
I	434936	437076	+	Lbic_S238N-H82_LACBIscaffold_11	1093770	1102976	-
I	437076	450112	+	Lbic_S238N-H82_LACBIscaffold_26	499486	524047	-
I	450112	456957	+	Lbic_S238N-H82_LACBIscaffold_57	49877	53785	+
I	456957	480489	+	Lbic_S238N-H82_LACBIscaffold_57	56760	100839	+
I	480489	530201	+	Lbic_S238N-H82_LACBIscaffold_26	291511	499486	-
I	530201	547484	+	Lbic_S238N-H82_LACBIscaffold_11	682136	684181	+
I	547484	551411	+	Lbic_S238N-H82_LACBIscaffold_8	50013	54221	-
I	551411	574394	+	Lbic_S238N-H82_LACBIscaffold_26	41565	69519	-
I	574394	584762	+	Lbic_S238N-H82_LACBIscaffold_26	524047	541511	+
I	584762	604845	+	Lbic_S238N-H82_LACBIscaffold_26	599660	605953	+
I	604845	612429	+	Lbic_S238N-H82_LACBIscaffold_57	53785	56760	-
I	612429	658525	+	Lbic_S238N-H82_LACBIscaffold_26	541511	599660	+
I	658525	720548	+	Lbic_S238N-H82_LACBIscaffold_57	136805	197552	+
I	720548	735928	+	Lbic_S238N-H82_LACBIscaffold_57	243004	262898	+
I	735928	753074	+	Lbic_S238N-H82_LACBIscaffold_57	100839	136805	+
I	753074	783342	+	Lbic_S238N-H82_LACBIscaffold_12	1115184	1126552	+
I	783342	799256	+	Lbic_S238N-H82_LACBIscaffold_1	2815452	2818722	-
I	799256	804336	+	Lbic_S238N-H82_LACBIscaffold_1	2702421	2709563	-
I	804336	806801	+	Lbic_S238N-H82_LACBIscaffold_1	2709563	2712678	+
I	806801	822975	+	Lbic_S238N-H82_LACBIscaffold_1	2712678	2717742	-
I	822975	836831	+	Lbic_S238N-H82_LACBIscaffold_1	2766893	2778637	-
I	836831	900706	+	Lbic_S238N-H82_LACBIscaffold_1	2717742	2766893	-
I	900706	912372	+	Lbic_S238N-H82_LACBIscaffold_1	2788854	2798790	-
I	912372	916986	+	Lbic_S238N-H82_LACBIscaffold_1	2778637	2781180	-
I	916986	922301	+	Lbic_S238N-H82_LACBIscaffold_1	2781180	2788854	-
I	922301	924173	+	Lbic_S238N-H82_LACBIscaffold_1	2798790	2806147	+
I	924173	952622	+	Lbic_S238N-H82_LACBIscaffold_1	2806147	2815452	+
I	952622	961738	+	Lbic_S238N-H82_LACBIscaffold_1	2821005	2830350	-
I	961738	989629	+	Lbic_S238N-H82_LACBIscaffold_1	2830350	2844654	+
I	989629	1001004	+	Lbic_S238N-H82_LACBIscaffold_1	2870110	2882365	+
I	1001004	1009556	+	Lbic_S238N-H82_LACBIscaffold_1	2844654	2850077	+
I	1009556	1044873	+	Lbic_S238N-H82_LACBIscaffold_1	2904139	2927620	-
I	1044873	1060443	+	Lbic_S238N-H82_LACBIscaffold_1	2895130	2904139	-
I	1060443	1081746	+	Lbic_S238N-H82_LACBIscaffold_1	2887421	2895130	-
I	1081746	1083738	+	Lbic_S238N-H82_LACBIscaffold_1	2885859	2887421	+
I	1083738	1087615	+	Lbic_S238N-H82_LACBIscaffold_1	2882365	2885859	-
I	1087615	1094143	+	Lbic_S238N-H82_LACBIscaffold_1	2850077	2870110	-
I	1094143	1111876	+	Lbic_S238N-H82_LACBIscaffold_1	2927620	2945771	+
I	1111876	1115056	+	Lbic_S238N-H82_LACBIscaffold_1	2968642	2971104	-
I	1115056	1118968	+	Lbic_S238N-H82_LACBIscaffold_1	2962795	2968642	+
I	1118968	1121382	+	Lbic_S238N-H82_LACBIscaffold_12	1050629	1053220	+
I	1121382	1125209	+	Lbic_S238N-H82_LACBIscaffold_12	1110186	1115184	+
I	1125209	1144134	+	Lbic_S238N-H82_LACBIscaffold_12	1060320	1070189	+
I	1144134	1156903	+	Lbic_S238N-H82_LACBIscaffold_12	1053220	1060320	-
I	1156903	1165719	+	Lbic_S238N-H82_LACBIscaffold_12	1013608	1020902	+
I	1165719	1224091	+	Lbic_S238N-H82_LACBIscaffold_12	1045508	1050629	-
I	1224091	1242416	+	Lbic_S238N-H82_LACBIscaffold_1	2948069	2962795	+
I	1260900	1266879	+	Lbic_S238N-H82_LACBIscaffold_61	33792	42048	-
I	1266879	1281342	+	Lbic_S238N-H82_LACBIscaffold_1	2971104	3225363	-
I	1281342	1302259	+	Lbic_S238N-H82_LACBIscaffold_12	1070189	1110186	-
I	1302259	1306760	+	Lbic_S238N-H82_LACBIscaffold_57	238606	243004	+
I	1306760	1331776	+	Lbic_S238N-H82_LACBIscaffold_1	161360	169922	+
I	1331776	1345903	+	Lbic_S238N-H82_LACBIscaffold_1	145648	161360	+
I	1345903	1360841	+	Lbic_S238N-H82_LACBIscaffold_1	36219	46581	-
I	1360841	1379930	+	Lbic_S238N-H82_LACBIscaffold_1	4252	31634	-
I	1379930	1390593	+	Lbic_S238N-H82_LACBIscaffold_1	2534204	2642059	-
