#chrom	start	stop	block
I	3391941	3405143	Block_391
I	952626	1006417	Block_384
I	3118509	3138575	Block_387
I	2144831	2169180	Block_385
I	3195676	3208223	Block_389
I	1007832	1086809	Block_386
I	571059	645685	Block_480
I	3491457	3508090	Block_394
I	3496599	3501140	Block_464
I	2276681	2873955	Block_375
I	2895705	3113236	Block_376
I	1348573	1375311	Block_383
I	1094291	1118427	Block_388
I	822976	915998	Block_380
I	3223199	3322268	Block_378
I	249326	337798	Block_479
I	1102912	1223409	Block_339
I	454728	483227	Block_704
I	3636799	3684615	Block_484
I	1331777	1344795	Block_390
I	1451152	2144611	Block_374
I	3142917	3195117	Block_381
I	1374583	1448433	Block_377
I	1253592	1274590	Block_748
I	3718181	3761051	Block_699
I	3563056	3600972	Block_392
I	3800837	3856928	Block_483
I	3510513	3535985	Block_395
I	802582	817705	Block_393
I	2173255	2258741	Block_379
I	890304	949802	Block_382
I	714607	767944	Block_340
I	375803	393886	Block_705
X	1221061	1267450	Block_833
X	624332	635400	Block_836
X	940647	987951	Block_831
X	1719114	1812233	Block_703
X	1284523	1298681	Block_835
X	1965705	2011560	Block_586
X	1422691	1469259	Block_830
X	1042480	1075342	Block_832
X	145900	198226	Block_338
X	289969	360577	Block_834
X	1116741	1140792	Block_837
X	1380677	1399622	Block_838
XI	1009683	1063174	Block_840
XI	921817	1002607	Block_636
XI	385626	430485	Block_370
XI	851672	937996	Block_839
XI	1087038	1113613	Block_842
XI	1721324	1736412	Block_793
XI	815082	840744	Block_635
XI	1329894	1349674	Block_481
XI	1369617	1662029	Block_639
XI	862356	883436	Block_841
XI	1022955	1041003	Block_637
XI	1891726	1928741	Block_698
XII	1484952	1547777	Block_817
XII	293450	345141	Block_373
XII	1188040	1225348	Block_752
XII	1147205	1177866	Block_700
XII	1305196	1314994	Block_751
XII	1549925	1567046	Block_819
XII	1372078	1394971	Block_754
XII	1696624	1729207	Block_818
XII	131100	169466	Block_799
XII	1811843	1840805	Block_485
XII	1233718	1285907	Block_753
XIII	898317	925933	Block_281
XIII	921128	940695	Block_791
XIII	515752	553193	Block_634
XIII	453956	468860	Block_626
XIII	562800	629515	Block_449
XIII	638680	647550	Block_574
II	86066	162180	Block_371
II	2437517	2460152	Block_763
II	2600127	2620094	Block_770
II	1788513	1827971	Block_762
II	1682954	1786215	Block_489
II	2620994	2643126	Block_771
II	1160389	1208819	Block_495
II	2668787	2708442	Block_767
II	647067	662949	Block_580
II	1365671	1375588	Block_500
II	1958406	2035848	Block_761
II	2974747	2989018	Block_775
II	2045723	2122728	Block_760
II	228172	265234	Block_582
II	918548	1028076	Block_488
II	1834389	1950116	Block_758
II	595769	615512	Block_581
II	1265696	1365606	Block_496
II	2204577	2320312	Block_490
II	681112	739362	Block_578
II	2253169	2266956	Block_772
II	1100072	1160216	Block_492
II	450416	526258	Block_579
II	2894111	2909979	Block_773
II	1380042	1484109	Block_491
II	2464531	2589569	Block_759
II	2343113	2369449	Block_764
II	2774152	2802721	Block_769
II	1485586	1676304	Block_487
II	1061639	1099610	Block_494
II	787037	856483	Block_577
II	1031531	1058650	Block_497
II	2713631	2772322	Block_765
II	1318479	1354744	Block_498
II	2408198	2432573	Block_766
II	2916813	2929643	Block_774
II	896241	918280	Block_499
II	1213131	1265151	Block_493
II	2819562	2861032	Block_768
III	2281433	2300631	Block_795
III	1653865	1672468	Block_289
III	2846424	2869906	Block_729
III	2708745	2735586	Block_720
III	1107274	1191384	Block_794
III	2046566	2077204	Block_288
III	2602568	2618672	Block_734
III	929788	950784	Block_727
III	2077418	2106685	Block_723
III	2972662	3024840	Block_737
III	2881417	2899763	Block_739
III	1224165	1249712	Block_730
III	818984	830091	Block_708
III	3070497	3104193	Block_732
III	1716195	1836894	Block_713
III	1034715	1053111	Block_738
III	1418914	1464431	Block_286
III	1307471	1410662	Block_283
III	2756580	2767493	Block_740
III	1252236	1307131	Block_714
III	708769	750382	Block_361
III	2522140	2576560	Block_717
III	1622942	1653369	Block_722
III	1526317	1578748	Block_285
III	2792498	2826820	Block_735
III	1191821	1216889	Block_719
III	2355672	2393021	Block_718
III	952048	976807	Block_721
III	1837284	2034393	Block_282
III	1672929	1715796	Block_287
III	1591025	1608818	Block_726
III	1070398	1091403	Block_728
III	564464	599659	Block_360
III	1479548	1525288	Block_715
III	891642	915308	Block_707
III	2108717	2135851	Block_725
III	2315316	2326183	Block_290
