#gene	chrom	chrom_start	chrom_stop	chrom_strand	targets	method
CC1G_00063	V	1023482	1025042	-1	CC1G_00065,CC1G_00068,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00065	V	1027725	1029322	-1	CC1G_00063,CC1G_00068,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00068	V	1034315	1035857	+1	CC1G_00063,CC1G_00065,LACBIDRAFT_295779,LACBIDRAFT_295984,LACBIDRAFT_310433,LACBIDRAFT_310438,LACBIDRAFT_313386,LACBIDRAFT_314549,LACBIDRAFT_316575,LACBIDRAFT_316584,LACBIDRAFT_325147,LACBIDRAFT_334304	orthomcl
CC1G_00150	V	1216983	1218579	+1	CC1G_00159,LACBIDRAFT_157762	orthomcl
CC1G_00159	V	1232533	1234183	-1	CC1G_00150,LACBIDRAFT_157762	orthomcl
CC1G_00207	V	1344531	1345449	-1	CC1G_10503,LACBIDRAFT_175009,LACBIDRAFT_177565	orthomcl
CC1G_00342	V	1667009	1671411	-1	CC1G_00360,LACBIDRAFT_311867,LACBIDRAFT_323128	orthomcl
CC1G_00360	V	1713996	1718037	+1	CC1G_00342,LACBIDRAFT_311867,LACBIDRAFT_323128	orthomcl
CC1G_00518	I	3129750	3130530	+1	CC1G_00519,LACBIDRAFT_301299	orthomcl
CC1G_00519	I	3130713	3131518	+1	CC1G_00518,LACBIDRAFT_301299	orthomcl
CC1G_00558	I	3236281	3238370	+1	CC1G_00559,CC1G_00560,LACBIDRAFT_291776	orthomcl
CC1G_00559	I	3238705	3240832	-1	CC1G_00558,CC1G_00560,LACBIDRAFT_291776	orthomcl
CC1G_00560	I	3241279	3243495	+1	CC1G_00558,CC1G_00559,LACBIDRAFT_291776	orthomcl
