#gene	chrom	chrom_start	chrom_stop
CC1G_00004	V	871009	871200
CC1G_00016	V	905092	905960
CC1G_00019	V	910116	914439
CC1G_00020	V	914604	916168
CC1G_00023	V	920510	921895
CC1G_00028	V	935619	937022
CC1G_00040	V	968638	972393
CC1G_00045	V	978900	980201
CC1G_00054	V	1002901	1004651
CC1G_00056	V	1006704	1007618
CC1G_00062	V	1019533	1022107
CC1G_00064	V	1026267	1026717
CC1G_00069	V	1038707	1039504
CC1G_00078	V	1052246	1052560
CC1G_00081	V	1066878	1069386
CC1G_00085	V	1075220	1076040
CC1G_00099	V	1108163	1110776
CC1G_00105	V	1124777	1125222
CC1G_00111	V	1134926	1135668
CC1G_00134	V	1180624	1182269
CC1G_00136	V	1183749	1185934
CC1G_00139	V	1189880	1191239
CC1G_00152	V	1222233	1222825
CC1G_00155	V	1225865	1226946
CC1G_00157	V	1229865	1231296
CC1G_00158	V	1231544	1232331
CC1G_00171	V	1258021	1258929
CC1G_00172	V	1260340	1261118
CC1G_00174	V	1263216	1265623
CC1G_00177	V	1267706	1269565
CC1G_00184	V	1286786	1287696
CC1G_00190	V	1301300	1303081
CC1G_00194	V	1311404	1312649
CC1G_00200	V	1330381	1331800
CC1G_00202	V	1335802	1337339
CC1G_00208	V	1345621	1346711
CC1G_00216	V	1357322	1360812
CC1G_00218	V	1362497	1365501
CC1G_00225	V	1379154	1380141
CC1G_00234	V	1399645	1401228
CC1G_00243	V	1419243	1419876
CC1G_00250	V	1427214	1430497
CC1G_00258	V	1444072	1445212
CC1G_00265	V	1454687	1456802
CC1G_00267	V	1458763	1460462
CC1G_00269	V	1466719	1467534
CC1G_00273	V	1474073	1475438
CC1G_00274	V	1476552	1477888
CC1G_00275	V	1479615	1480332
CC1G_00287	V	1512028	1515745
CC1G_00288	V	1515907	1518803
CC1G_00292	V	1535723	1538926
CC1G_00293	V	1540570	1542231
CC1G_00318	V	1604524	1605324
CC1G_00320	V	1606997	1607643
CC1G_00322	V	1609819	1611133
CC1G_00331	V	1627343	1638269
CC1G_00336	V	1649588	1650996
CC1G_00338	V	1653691	1655364
CC1G_00341	V	1665251	1666814
CC1G_00353	V	1697917	1698511
CC1G_00356	V	1704083	1705696
CC1G_00373	V	1739414	1743389
CC1G_00380	V	1754368	1754865
CC1G_00398	V	1799385	1800583
CC1G_00406	V	1814472	1816338
CC1G_00407	V	1820398	1821141
CC1G_00413	V	1836403	1837402
CC1G_00414	V	1838158	1838736
CC1G_00441	V	1908135	1909289
CC1G_00445	V	1919258	1920815
CC1G_00451	V	1942214	1942858
CC1G_00454	V	1948782	1949273
CC1G_00457	V	1954785	1955224
CC1G_00467	V	1976167	1976732
CC1G_00468	V	1976864	1978092
CC1G_00471	V	1983605	1986049
CC1G_00476	I	3011736	3012337
CC1G_00478	I	3013338	3013993
CC1G_00479	I	3014386	3018505
CC1G_00481	I	3021267	3027434
CC1G_00488	I	3050213	3051475
CC1G_00489	I	3052006	3055047
CC1G_00492	I	3066467	3068135
CC1G_00498	I	3079371	3080904
CC1G_00502	I	3089226	3090701
CC1G_00503	I	3091173	3092245
CC1G_00504	I	3093654	3096109
CC1G_00505	I	3096798	3098825
CC1G_00512	I	3116436	3117341
CC1G_00517	I	3126646	3128381
CC1G_00524	I	3141725	3142634
CC1G_00539	I	3184206	3184412
CC1G_00550	I	3211351	3213070
CC1G_00552	I	3215220	3217155
CC1G_00561	I	3243767	3244371
CC1G_00565	I	3257914	3264796
CC1G_00568	I	3269118	3270929
CC1G_00574	I	3279825	3280082
CC1G_00578	I	3286302	3286867
CC1G_00585	I	3305668	3307409
CC1G_00586	I	3307995	3310854
CC1G_00598	I	3342510	3343986
CC1G_00599	I	3344364	3345104
CC1G_00603	I	3357060	3357727
CC1G_00608	I	3365632	3366227
CC1G_00615	I	3386027	3386221
CC1G_00617	I	3389225	3391625
CC1G_00626	I	3414713	3415355
CC1G_00630	I	3426144	3428116
CC1G_00636	I	3445276	3447546
CC1G_00638	I	3449251	3449707
CC1G_00653	I	3482393	3483988
CC1G_00654	I	3485284	3489612
CC1G_00669	I	3532678	3535985
CC1G_00673	I	3546159	3547074
CC1G_00675	I	3553706	3553920
CC1G_00676	I	3554130	3554406
CC1G_00677	I	3554634	3556840
CC1G_00686	I	3584850	3586653
CC1G_00692	I	3595637	3596995
CC1G_00696	I	3601183	3602916
CC1G_00698	I	3616185	3619888
CC1G_00699	I	3628118	3630958
CC1G_00706	I	3650654	3652668
CC1G_00711	I	3672774	3674613
CC1G_00712	I	3675754	3679428
CC1G_00714	I	3685358	3687114
CC1G_00721	I	3705983	3706352
CC1G_00736	I	3761803	3762300
CC1G_00737	I	3765363	3766822
CC1G_00738	I	3768436	3769376
CC1G_00741	I	3775238	3776130
CC1G_00744	VII	910443	911391
CC1G_00745	VII	913618	915306
CC1G_00762	VII	952636	953373
CC1G_00766	VII	966989	969803
CC1G_00775	VII	996592	1000566
CC1G_00780	VII	1013054	1014638
CC1G_00790	VII	1036096	1038522
CC1G_00791	VII	1038882	1044584
CC1G_00799	VII	1069961	1071454
CC1G_00807	VII	1099071	1101236
CC1G_00810	VII	1110520	1111306
CC1G_00819	VII	1140185	1141140
CC1G_00820	VII	1143172	1146142
CC1G_00821	VII	1147099	1148199
CC1G_00842	VII	1205685	1207909
CC1G_00843	VII	1210234	1210597
CC1G_00847	VII	1223094	1225037
CC1G_00854	VII	1252050	1253658
CC1G_00858	VII	1263315	1265810
CC1G_00860	VII	1272366	1273292
CC1G_00883	VII	1329893	1330185
CC1G_00894	VII	1356948	1365434
CC1G_00896	VII	1372842	1373385
CC1G_00899	VII	1384161	1385995
CC1G_00907	VII	1401829	1402352
CC1G_00912	VII	1418560	1420605
CC1G_00930	VII	1473150	1473506
CC1G_00931	VII	1474097	1476740
CC1G_00932	VII	1477984	1478298
CC1G_00939	VII	1492608	1494367
CC1G_00940	VII	1494556	1496543
CC1G_00945	VII	1505861	1507613
CC1G_00955	VII	1540437	1541523
CC1G_00973	VII	1587338	1588732
CC1G_00980	VII	1602245	1604047
CC1G_00981	VII	1604559	1605617
CC1G_00982	VII	1606310	1607697
CC1G_00990	VII	1620560	1624020
CC1G_00991	VII	1624306	1625089
CC1G_00996	VII	1628782	1631663
CC1G_00998	VII	1634474	1635341
CC1G_01003	VII	1641689	1644827
CC1G_01004	VII	1645918	1648088
CC1G_01008	II	709456	710195
CC1G_01009	II	714588	715438
