#chrom	src_start	src_stop	strand	pc	pc_start	pc_stop	pc_strand
I	119692	160469	+	pchr_scaffold_5	150017	236122	+
I	163022	274652	+	pchr_scaffold_9	1423344	1494832	-
I	274652	285620	+	pchr_scaffold_10	1085382	1352581	+
I	296324	353644	+	pchr_scaffold_10	1032734	1046474	+
I	353644	377585	+	pchr_scaffold_1	2661949	2703956	+
I	377585	396072	+	pchr_scaffold_14	166061	282376	-
I	456957	480489	+	pchr_scaffold_14	282376	329273	-
I	584762	604845	+	pchr_scaffold_14	382588	570394	-
I	612429	658525	+	pchr_scaffold_14	329273	382588	-
I	720548	735928	+	pchr_scaffold_14	578778	581207	-
I	753074	783342	+	pchr_scaffold_14	574659	578778	+
I	804336	806801	+	pchr_scaffold_11	319401	322682	-
I	806801	822975	+	pchr_scaffold_11	197888	232147	+
I	822975	836831	+	pchr_scaffold_11	319210	319401	+
I	836831	900706	+	pchr_scaffold_11	235194	319210	-
I	916986	922301	+	pchr_scaffold_11	232147	235194	-
I	922301	924173	+	pchr_scaffold_11	197381	197888	+
I	924173	952622	+	pchr_scaffold_11	156020	197381	-
I	961738	989629	+	pchr_scaffold_11	136144	153297	+
I	1001004	1009556	+	pchr_scaffold_11	153297	156020	-
I	1009556	1044873	+	pchr_scaffold_14	788684	859641	+
I	1044873	1060443	+	pchr_scaffold_10	1374836	1432097	-
I	1060443	1081746	+	pchr_scaffold_25	157000	179738	-
I	1115056	1118968	+	pchr_scaffold_25	179738	181527	-
I	1118968	1121382	+	pchr_scaffold_14	722935	725535	-
I	1144134	1156903	+	pchr_scaffold_14	696376	722935	-
I	1156903	1165719	+	pchr_scaffold_25	9549	157000	-
I	1165719	1224091	+	pchr_scaffold_14	725535	740123	-
I	1224091	1242416	+	pchr_scaffold_14	861112	906079	+
I	1242416	1260900	+	pchr_scaffold_14	581207	607360	-
I	1260900	1266879	+	pchr_scaffold_14	607360	696376	-
I	1302259	1306760	+	pchr_scaffold_14	570394	574659	-
I	1306760	1331776	+	pchr_scaffold_11	966645	1001317	-
I	1331776	1345903	+	pchr_scaffold_11	1001317	1035037	-
I	1345903	1360841	+	pchr_scaffold_11	562795	590620	+
I	1360841	1379930	+	pchr_scaffold_11	590620	597807	+
I	1379930	1390593	+	pchr_scaffold_11	597807	605708	-
I	1390593	1420841	+	pchr_scaffold_11	27514	52160	-
I	1420841	1440024	+	pchr_scaffold_11	52160	66561	+
I	1440024	1448286	+	pchr_scaffold_11	322682	333948	+
I	1448286	1461254	+	pchr_scaffold_3	1986122	1992309	+
I	1461254	1477229	+	pchr_scaffold_11	546059	562795	-
I	1477229	1491603	+	pchr_scaffold_11	869771	890115	+
I	1491603	1503278	+	pchr_scaffold_11	901701	924891	-
I	1503278	1513015	+	pchr_scaffold_11	896532	901701	+
I	1513015	1531068	+	pchr_scaffold_11	890115	896532	-
I	1531068	1554895	+	pchr_scaffold_11	924891	966645	+
I	1554895	1647081	+	pchr_scaffold_11	1035037	1113378	+
I	1647081	1668012	+	pchr_scaffold_11	1113378	1137435	-
I	1668012	1680241	+	pchr_scaffold_11	1137435	1159109	+
I	1680241	1693148	+	pchr_scaffold_11	1159109	1160699	-
I	1693148	1708421	+	pchr_scaffold_11	1160699	1203993	+
I	1708982	1719148	+	pchr_scaffold_11	1203993	1215176	+
I	1719148	1736604	+	pchr_scaffold_11	1215176	1226288	-
I	1736604	1749429	+	pchr_scaffold_11	1226288	1243645	-
I	1749429	1751752	+	pchr_scaffold_11	716924	721623	-
I	1751752	1764716	+	pchr_scaffold_11	721623	739666	+
I	1767421	1787038	+	pchr_scaffold_11	739666	751361	-
I	1787038	1829593	+	pchr_scaffold_11	751361	834339	+
I	1829593	1850682	+	pchr_scaffold_11	658352	660127	-
I	1850682	1894290	+	pchr_scaffold_11	660127	716924	+
I	1909851	1931972	+	pchr_scaffold_11	22138	27514	-
I	1935766	1964125	+	pchr_scaffold_13	1211126	1221346	+
I	1964125	1995036	+	pchr_scaffold_3	1976494	1985103	+
I	1995036	2037244	+	pchr_scaffold_11	1291124	1346349	+
I	2037244	2064703	+	pchr_scaffold_13	1123272	1161912	-
I	2064703	2100715	+	pchr_scaffold_11	66561	136144	-
I	2100715	2104517	+	pchr_scaffold_25	8738	9549	+
I	2104517	2115789	+	pchr_scaffold_14	761795	788684	-
I	2115789	2145559	+	pchr_scaffold_14	906079	977734	+
I	2145559	2169382	+	pchr_scaffold_14	158646	166061	-
I	2169382	2207460	+	pchr_scaffold_14	66337	79611	-
I	2207460	2221901	+	pchr_scaffold_14	106719	111578	+
I	2221901	2233252	+	pchr_scaffold_14	79611	106719	+
I	2233252	2246208	+	pchr_scaffold_14	111578	125064	-
I	2247935	2271233	+	pchr_scaffold_14	125064	135603	+
I	2271233	2298168	+	pchr_scaffold_11	1349338	1406929	-
I	2298168	2422915	+	pchr_scaffold_11	605708	658352	+
I	2422915	2457353	+	pchr_scaffold_11	834339	869771	+
I	2457353	2463420	+	pchr_scaffold_11	333948	402623	-
I	2463420	2468335	+	pchr_scaffold_1	2109548	2127335	-
I	2474448	2480503	+	pchr_scaffold_11	430037	436723	+
I	2480503	2486737	+	pchr_scaffold_11	402623	430037	-
I	2493811	2502974	+	pchr_scaffold_11	436723	437372	-
I	2502974	2527418	+	pchr_scaffold_11	437372	473048	+
I	2527418	2542907	+	pchr_scaffold_11	473048	474549	-
I	2542907	2565224	+	pchr_scaffold_11	474549	525239	+
I	2565224	2582918	+	pchr_scaffold_13	849963	865557	-
I	2582918	2587225	+	pchr_scaffold_13	963328	974700	+
I	2587225	2628236	+	pchr_scaffold_13	890657	963328	-
I	2628236	2637543	+	pchr_scaffold_13	1036425	1047607	-
I	2637543	2699002	+	pchr_scaffold_13	1047607	1097580	+
I	2699002	2718579	+	pchr_scaffold_11	525239	546059	+
I	2718579	2761553	+	pchr_scaffold_13	1097580	1123272	-
I	2766385	2782590	+	pchr_scaffold_12	731289	742461	+
I	2782590	2792291	+	pchr_scaffold_13	52640	103975	-
I	2792291	2799416	+	pchr_scaffold_13	244285	286831	-
I	2799416	2822906	+	pchr_scaffold_4	519564	559225	-
I	2822906	2835219	+	pchr_scaffold_13	311622	320376	+
I	2835219	2842295	+	pchr_scaffold_13	320376	321673	-
I	2842295	2858276	+	pchr_scaffold_13	286831	311622	+
I	2858276	2862458	+	pchr_scaffold_13	865557	889638	+
I	2886235	2909165	+	pchr_scaffold_13	404242	422188	-
I	2920139	3018844	+	pchr_scaffold_13	743326	803714	+
I	3018844	3028750	+	pchr_scaffold_13	718469	743326	+
I	3028750	3043561	+	pchr_scaffold_13	708454	718469	+
I	3043561	3113496	+	pchr_scaffold_13	603507	708454	-
I	3113496	3118505	+	pchr_scaffold_13	586298	603507	-
I	3118505	3131960	+	pchr_scaffold_13	974700	1036425	+
I	3131960	3137086	+	pchr_scaffold_13	889638	890657	+
I	3137086	3156010	+	pchr_scaffold_13	831638	847060	+
I	3177448	3181191	+	pchr_scaffold_13	847060	849963	-
I	3225228	3235828	+	pchr_scaffold_13	51923	52640	+
I	3296098	3332723	+	pchr_scaffold_18	410717	509833	-
I	3342450	3387075	+	pchr_scaffold_13	103975	182673	-
I	3387075	3397358	+	pchr_scaffold_3	2240620	2280559	+
I	3397358	3410395	+	pchr_scaffold_18	219430	410717	-
I	3533085	3573881	+	pchr_scaffold_1	2918057	2920082	+
I	3573881	3582914	+	pchr_scaffold_18	204853	219430	+
I	3648259	3664190	+	pchr_scaffold_18	182573	204853	+
I	3664190	3782530	+	pchr_scaffold_13	803714	831638	-
I	3804813	3817418	+	pchr_scaffold_18	150626	182573	-
I	3853157	3960210	+	pchr_scaffold_18	148066	150626	+
I	3960210	4062125	+	pchr_scaffold_27	40144	148273	+
I	4062125	4123833	+	pchr_scaffold_13	434155	586298	+
II	45355	100555	+	pchr_scaffold_1	206546	254660	+
II	161631	217734	+	pchr_scaffold_1	195988	206546	+
II	217734	265580	+	pchr_scaffold_1	183067	195988	-
II	399571	450912	+	pchr_scaffold_5	2078663	2117734	+
II	450912	525981	+	pchr_scaffold_12	767573	779806	-
II	640677	666818	+	pchr_scaffold_1	43021	82917	+
II	666818	720732	+	pchr_scaffold_1	413225	429072	+
II	733226	742702	+	pchr_scaffold_1	429072	435090	+
II	787004	802775	+	pchr_scaffold_1	473809	482251	+
II	802775	827997	+	pchr_scaffold_1	435090	463029	+
II	829497	851174	+	pchr_scaffold_1	1755639	1810399	-
II	851174	889591	+	pchr_scaffold_1	1685520	1755639	-
II	889591	906578	+	pchr_scaffold_1	272083	317300	-
II	906578	918106	+	pchr_scaffold_1	116586	183067	+
II	918106	936030	+	pchr_scaffold_13	321673	404242	+
II	936030	951593	+	pchr_scaffold_1	1664381	1680109	+
II	951593	954696	+	pchr_scaffold_2	107414	123162	+
II	954696	956090	+	pchr_scaffold_1	1823323	1859567	-
II	956090	965206	+	pchr_scaffold_1	1527446	1543517	+
II	965206	1005849	+	pchr_scaffold_1	1543517	1544758	-
II	1005849	1020191	+	pchr_scaffold_1	1496198	1526146	+
II	1027430	1055152	+	pchr_scaffold_1	1610712	1664381	+
II	1055152	1058356	+	pchr_scaffold_1	108491	116586	-
II	1058356	1071447	+	pchr_scaffold_1	94764	108491	-
II	1071447	1100047	+	pchr_scaffold_1	82917	94764	+
II	1102649	1129494	+	pchr_scaffold_1	1227576	1267218	+
II	1129494	1137055	+	pchr_scaffold_1	1434405	1462900	+
II	1137055	1148864	+	pchr_scaffold_1	321334	363645	-
II	1160378	1164592	+	pchr_scaffold_1	872618	886143	-
II	1172400	1178357	+	pchr_scaffold_1	1544758	1610712	-
II	1178357	1182455	+	pchr_scaffold_1	1680109	1685520	+
II	1231400	1239555	+	pchr_scaffold_1	363645	413225	+
II	1239555	1249414	+	pchr_scaffold_1	255130	272083	-
II	1256040	1264397	+	pchr_scaffold_1	254660	255130	-
II	1264397	1265587	+	pchr_scaffold_1	463029	473809	+
II	1318477	1351526	+	pchr_scaffold_1	1044335	1082422	-
II	1351526	1364489	+	pchr_scaffold_1	484304	605112	-
II	1364489	1375319	+	pchr_scaffold_1	482251	484304	+
II	1375319	1389363	+	pchr_scaffold_1	1082422	1091444	+
II	1389363	1401886	+	pchr_scaffold_1	1134057	1140367	-
II	1401886	1423117	+	pchr_scaffold_1	1462900	1482491	+
II	1423117	1442247	+	pchr_scaffold_1	1482491	1494264	+
II	1442247	1449642	+	pchr_scaffold_1	1494264	1496198	-
II	1454827	1482673	+	pchr_scaffold_1	317300	321334	-
II	1482673	1519764	+	pchr_scaffold_1	999634	1044335	-
II	1519764	1532919	+	pchr_scaffold_1	857651	872618	-
II	1532919	1535403	+	pchr_scaffold_1	847687	857651	-
II	1535403	1546212	+	pchr_scaffold_1	1267218	1275818	+
II	1546212	1561077	+	pchr_scaffold_1	1275818	1288896	+
II	1561077	1636789	+	pchr_scaffold_1	1288896	1377484	+
II	1636789	1647781	+	pchr_scaffold_1	1384364	1434405	-
II	1647781	1659620	+	pchr_scaffold_1	2360484	2566246	+
II	1659620	1663843	+	pchr_scaffold_1	1091444	1104500	-
II	1663843	1676006	+	pchr_scaffold_1	1115576	1134057	+
II	1676006	1724679	+	pchr_scaffold_1	2749729	2806144	+
II	1724679	1726735	+	pchr_scaffold_1	1377484	1384364	+
II	1726735	1756536	+	pchr_scaffold_1	914857	966301	-
II	1757733	1789842	+	pchr_scaffold_1	966301	999634	-
II	1789842	1796378	+	pchr_scaffold_1	2703956	2706744	+
II	1796378	1803258	+	pchr_scaffold_1	2706744	2709739	+
II	1803258	1818152	+	pchr_scaffold_1	2709739	2749729	+
II	1818152	1834702	+	pchr_scaffold_1	1991120	1999032	+
II	1834702	1838950	+	pchr_scaffold_1	1173619	1176391	+
II	1838950	1845290	+	pchr_scaffold_1	1177007	1187381	+
II	1845290	1862707	+	pchr_scaffold_1	1176391	1177007	+
II	1862707	1896713	+	pchr_scaffold_1	1166483	1173619	-
II	1896713	1909324	+	pchr_scaffold_1	886143	914857	-
II	1912138	1929504	+	pchr_scaffold_1	723000	762907	-
II	1932696	1945943	+	pchr_scaffold_1	657300	678368	+
II	1945943	1953285	+	pchr_scaffold_1	678368	678844	-
II	1980568	1985278	+	pchr_scaffold_1	2005194	2019034	+
II	2000367	2024475	+	pchr_scaffold_1	681541	723000	-
II	2038323	2044272	+	pchr_scaffold_1	1999032	2000168	-
II	2044272	2058583	+	pchr_scaffold_1	2000168	2005194	-
II	2058583	2063854	+	pchr_scaffold_1	2032575	2108240	+
II	2063854	2066909	+	pchr_scaffold_1	2019034	2032575	-
II	2066909	2071633	+	pchr_scaffold_1	678844	681541	-
II	2076400	2080431	+	pchr_scaffold_1	2108240	2109548	-
II	2080431	2091314	+	pchr_scaffold_1	2128609	2141962	-
II	2091314	2094807	+	pchr_scaffold_1	2127335	2128609	+
II	2094807	2107608	+	pchr_scaffold_1	2141962	2145632	+
II	2107608	2119581	+	pchr_scaffold_1	2186957	2194770	+
II	2119581	2162583	+	pchr_scaffold_1	2176085	2186957	-
II	2162583	2220244	+	pchr_scaffold_1	2209142	2336763	+
II	2228275	2235200	+	pchr_scaffold_1	2566246	2618390	+
II	2235200	2242140	+	pchr_scaffold_1	2338209	2360484	-
II	2242140	2253008	+	pchr_scaffold_1	2336763	2338209	+
II	2262453	2266779	+	pchr_scaffold_1	1871194	1891053	+
II	2342796	2395055	+	pchr_scaffold_1	1859567	1871194	-
II	2408188	2420749	+	pchr_scaffold_1	1891053	1934863	-
II	2420749	2436710	+	pchr_scaffold_1	1934863	1991120	+
II	2436710	2449602	+	pchr_scaffold_1	2806144	2832169	+
II	2449602	2453710	+	pchr_scaffold_1	1187381	1227576	-
II	2481808	2488383	+	pchr_scaffold_1	3062526	3090684	+
II	2504309	2506844	+	pchr_scaffold_1	2618390	2622920	-
II	2506844	2531361	+	pchr_scaffold_1	2622920	2661949	+
II	2531361	2585242	+	pchr_scaffold_1	1104500	1115576	-
II	2591159	2605883	+	pchr_scaffold_1	1140367	1166483	-
II	2605883	2618382	+	pchr_scaffold_1	762907	836330	+
II	2618382	2620103	+	pchr_scaffold_1	2832169	2833868	+
II	2620103	2654212	+	pchr_scaffold_1	2833868	2909027	+
II	2654212	2688312	+	pchr_scaffold_1	605112	616355	+
