#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00586	Chr_1	3307995	3310854	F-box	1
CC1G_00640	Chr_1	3450886	3452547	F-box	1
CC1G_00678	Chr_1	3557634	3559292	F-box	1
CC1G_00816	Chr_7	1129939	1130915	F-box	1
CC1G_00885	Chr_7	1332260	1334172	F-box	1
CC1G_00898	Chr_7	1381564	1383845	F-box	1
CC1G_01055	Chr_2	836918	840236	F-box	1
CC1G_01344	Chr_5	2220231	2221686	F-box	1
CC1G_01383	Chr_5	2313266	2316234	F-box	1
CC1G_01605	Chr_10	457028	458507	F-box	1
CC1G_01650	Chr_10	580043	581734	F-box	1
CC1G_01654	Chr_10	591358	593028	F-box	1
CC1G_01678	Chr_1	2271336	2272876	F-box	1
CC1G_01744	Chr_1	2442015	2443873	F-box	1
CC1G_01845	Chr_1	2692024	2694125	F-box	1
CC1G_01875	Chr_1	2757244	2758058	F-box	1
CC1G_02314	Chr_3	3094049	3095450	F-box	1
CC1G_02348	Chr_3	3188007	3189557	F-box	1
CC1G_02675	Chr_4	380090	381422	F-box	1
CC1G_02689	Chr_4	409189	411544	F-box	1
CC1G_02727	Chr_4	534079	535803	F-box	1
CC1G_02787	Chr_1	218742	221866	F-box	1
CC1G_02794	Chr_1	237324	238682	F-box	1
CC1G_03348	Chr_8	566604	568283	F-box	1
CC1G_03381	Chr_8	671121	672974	F-box	1
CC1G_03566	Chr_9	1845279	1847080	F-box	1
CC1G_03801	Chr_2	2282715	2284837	F-box	1
CC1G_04054	Chr_4	3210170	3211954	F-box	1
CC1G_04055	Chr_4	3212296	3213996	F-box	1
CC1G_04066	Chr_4	3248708	3250279	F-box	1
CC1G_04072	Chr_4	3275044	3276603	F-box	1
CC1G_04073	Chr_4	3277202	3277813	F-box	1
CC1G_04642	Chr_3	689852	692198	F-box	1
CC1G_04658	Chr_3	738292	740631	F-box	1
CC1G_04670	Chr_3	758264	760637	F-box	1
CC1G_04969	Chr_8	1702209	1704036	F-box	1
CC1G_04973	Chr_8	1711711	1713402	F-box	1
CC1G_05232	Chr_11	803984	805933	F-box	1
CC1G_05253	Chr_11	859763	861294	F-box	1
CC1G_05256	Chr_11	866723	868227	F-box	1
CC1G_05364	Chr_8	126763	128468	F-box	1
CC1G_05402	Chr_8	221018	222680	F-box	1
CC1G_05431	Chr_8	304717	306496	F-box	1
CC1G_05456	Chr_11	1589835	1590740	F-box	1
CC1G_05486	Chr_11	1501772	1502919	F-box	1
CC1G_05491	Chr_11	1491389	1494212	F-box	1
CC1G_05637	Chr_13	244601	246428	F-box	1
CC1G_05731	Chr_7	2209350	2211500	F-box	1
CC1G_05988	Chr_3	211913	213714	F-box	1
CC1G_05991	Chr_3	217633	219277	F-box	1
CC1G_05996	Chr_3	230905	232627	F-box	1
CC1G_06000	Chr_3	241542	243302	F-box	1
CC1G_06013	Chr_3	273402	275654	F-box	1
CC1G_06025	Chr_3	310657	311696	F-box	1
CC1G_06128	Chr_2	3083064	3083703	F-box	1
CC1G_06203	Chr_4	2865223	2866814	F-box	1
CC1G_06244	Chr_4	2977277	2978916	F-box	1
CC1G_06504	Chr_12	1406179	1409575	F-box	1
CC1G_06518	Chr_12	1448149	1449404	F-box	1
CC1G_06693	Chr_5	221558	222526	F-box	1
CC1G_06895	Chr_3	2453732	2455460	F-box	1
CC1G_06901	Chr_3	2466363	2467975	F-box	1
CC1G_06956	Chr_6	687839	690480	F-box	1
CC1G_07292	Chr_12	1563207	1565023	F-box	1
CC1G_07306	Chr_12	1601015	1602853	F-box	1
CC1G_07568	Chr_4	2498698	2500017	F-box	1
CC1G_07579	Chr_4	2533010	2534559	F-box	1
CC1G_07606	Chr_4	2619014	2620663	F-box	1
CC1G_07725	Chr_9	1284849	1287482	F-box	1
CC1G_08010	Chr_8	396299	398082	F-box	1
CC1G_08052	Chr_8	511561	513128	F-box	1
CC1G_08158	Chr_5	2670582	2672273	F-box	1
CC1G_08251	Chr_5	487819	489249	F-box	1
CC1G_08259	Chr_2	15320	16906	F-box	1
CC1G_08275	Chr_2	48588	50040	F-box	1
CC1G_08299	Chr_2	124615	126405	F-box	1
CC1G_08780	Chr_1	3944257	3945959	F-box	1
CC1G_08785	Chr_1	3955299	3956969	F-box	1
CC1G_08786	Chr_1	3957492	3959161	F-box	1
CC1G_08795	Chr_1	3992542	3994234	F-box	1
CC1G_08796	Chr_1	3995004	3996733	F-box	1
CC1G_08801	Chr_1	4005052	4006725	F-box	1
CC1G_08806	Chr_1	4018874	4020499	F-box	1
CC1G_08815	Chr_1	4040042	4041568	F-box	1
CC1G_08838	Chr_5	2887893	2889611	F-box	1
CC1G_08858	Chr_5	2953414	2954127	F-box	1
CC1G_09156	Chr_2	2793805	2795259	F-box	1
CC1G_09157	Chr_2	2795560	2798109	F-box	1
CC1G_09188	Chr_2	2868142	2870680	F-box	1
CC1G_09436	Chr_10	712800	715295	F-box	1
CC1G_09948	Chr_5	732125	735286	F-box	1
CC1G_09977	Chr_9	2385933	2387706	F-box	1
CC1G_10115	Chr_1	3838130	3839895	F-box	1
CC1G_10119	Chr_1	3850242	3851865	F-box	1
CC1G_10122	Chr_1	3857364	3859095	F-box	1
CC1G_10144	Chr_7	98843	100425	F-box	1
CC1G_10255	Chr_12	2027307	2030394	F-box	1
CC1G_10581	Chr_2	591477	593817	F-box	1
CC1G_10841	Chr_2	2737023	2739886	F-box	1
CC1G_10963	Chr_11	656643	658892	F-box	1
CC1G_11008	Chr_5	3381502	3383418	F-box	1
CC1G_11277	Chr_6	1562502	1565114	F-box	1
CC1G_11700	Chr_8	1162271	1163963	F-box	1
CC1G_12008	Chr_1	1222514	1223409	F-box	1
CC1G_12117	Chr_6	237878	241055	F-box	1
CC1G_12153	Chr_5	3304209	3305933	F-box	1
CC1G_12651	Chr_2	685152	688446	F-box	1
CC1G_13020	Chr_1	3899788	3900782	F-box	1
CC1G_13770	Chr_1	3707057	3708712	F-box	1
CC1G_13796	Chr_1	3972899	3976865	F-box	2
CC1G_13797	Chr_1	3977147	3979139	F-box	1
CC1G_13799	Chr_1	3982600	3985657	F-box	1
CC1G_14075	Chr_3	233652	235456	F-box	1
CC1G_14116	Chr_3	699539	701867	F-box	1
CC1G_14554	Chr_5	640013	643245	F-box	1
CC1G_14937	Chr_8	169474	170992	F-box	1
CC1G_14940	Chr_8	208493	208930	F-box	1
CC1G_14999	Chr_8	1193716	1195273	F-box	1
CC1G_15251	Chr_10	287722	289290	F-box	1
CC1G_15731	Chr_11	1534930	1538665	F-box	2
CC1G_15734	Chr_11	1571574	1572900	F-box	1
