#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_02084	Chr_10	1614734	1616322	zf-MYND	1
CC1G_02117	Chr_10	1687512	1689213	zf-MYND	1
CC1G_02750	Chr_1	115671	117739	zf-MYND	1
CC1G_03114	Chr_8	2304756	2307401	zf-MYND	1
CC1G_03145	Chr_8	2390756	2393114	zf-MYND	1
CC1G_03156	Chr_8	2414054	2415744	zf-MYND	1
CC1G_03182	Chr_8	2487367	2489619	zf-MYND	1
CC1G_03183	Chr_8	2490030	2492189	zf-MYND	1
CC1G_03186	Chr_8	2496029	2497725	zf-MYND	1
CC1G_03347	Chr_8	564881	566214	zf-MYND	1
CC1G_03353	Chr_8	583697	585224	zf-MYND	1
CC1G_03380	Chr_8	668726	670174	zf-MYND	1
CC1G_04068	Chr_4	3254844	3258354	zf-MYND	1
CC1G_04489	Chr_3	958603	959871	zf-MYND	1
CC1G_04490	Chr_3	960261	961107	zf-MYND	1
CC1G_04615	Chr_3	612333	613253	zf-MYND	1
CC1G_04616	Chr_3	613592	614508	zf-MYND	1
CC1G_04617	Chr_3	615000	615915	zf-MYND	1
CC1G_04633	Chr_3	672409	673328	zf-MYND	1
CC1G_04663	Chr_3	748065	749257	zf-MYND	1
CC1G_04780	Chr_13	774070	776565	zf-MYND	1
CC1G_04920	Chr_2	3631819	3633738	zf-MYND	1
CC1G_05981	Chr_3	198099	199048	zf-MYND	1
CC1G_05984	Chr_3	204190	205185	zf-MYND	1
CC1G_07808	Chr_12	1879220	1881108	zf-MYND	1
CC1G_08013	Chr_8	404577	406719	zf-MYND	1
CC1G_08105	Chr_4	3157330	3158378	zf-MYND	1
CC1G_08143	Chr_5	2633742	2635648	zf-MYND	1
CC1G_08324	Chr_7	2360036	2360760	zf-MYND	1
CC1G_08892	Chr_5	134924	136367	zf-MYND	1
CC1G_08894	Chr_5	130604	131733	zf-MYND	1
CC1G_08896	Chr_5	125688	128457	zf-MYND	1
CC1G_08917	Chr_5	73152	76849	zf-MYND	1
CC1G_08952	Chr_11	1901594	1903615	zf-MYND	1
CC1G_08966	Chr_11	1871716	1873586	zf-MYND	1
CC1G_08968	Chr_11	1866143	1868402	zf-MYND	1
CC1G_08978	Chr_11	1828988	1833754	zf-MYND	2
CC1G_08980	Chr_11	1823524	1825618	zf-MYND	1
CC1G_09050	Chr_4	616046	616824	zf-MYND	1
CC1G_09064	Chr_4	651920	653941	zf-MYND	1
CC1G_09065	Chr_4	654230	656381	zf-MYND	1
CC1G_09072	Chr_4	672368	674359	zf-MYND	1
CC1G_09073	Chr_4	676738	679017	zf-MYND	1
CC1G_09087	Chr_4	714011	716352	zf-MYND	1
CC1G_09090	Chr_4	722595	724931	zf-MYND	1
CC1G_09211	Chr_11	1779566	1781068	zf-MYND	1
CC1G_09295	Chr_3	3598533	3600743	zf-MYND	1
CC1G_09298	Chr_3	3605915	3608123	zf-MYND	1
CC1G_09299	Chr_3	3608810	3613012	zf-MYND	1
CC1G_09300	Chr_3	3613650	3615612	zf-MYND	1
CC1G_09595	Chr_3	13670	17496	zf-MYND	1
CC1G_09865	Chr_7	805383	806829	zf-MYND	1
CC1G_10163	Chr_7	27277	29197	zf-MYND	1
CC1G_10363	Chr_7	162619	165009	zf-MYND	1
CC1G_10457	Chr_7	347407	349120	zf-MYND	1
CC1G_10636	Chr_5	2778782	2782706	zf-MYND	1
CC1G_10759	Chr_4	839768	841267	zf-MYND	1
CC1G_10858	Chr_10	2126458	2128657	zf-MYND	1
CC1G_10947	Chr_4	1629634	1631786	zf-MYND	1
CC1G_11010	Chr_5	3388917	3390691	zf-MYND	1
CC1G_11250	Chr_12	465118	467043	zf-MYND	1
CC1G_12030	Chr_11	17251	19363	zf-MYND	1
CC1G_12125	Chr_4	35291	37128	zf-MYND	1
CC1G_12282	Chr_1	28330	30527	zf-MYND	1
CC1G_12389	Chr_12	516596	517919	zf-MYND	1
CC1G_12395	Chr_4	744237	745192	zf-MYND	1
CC1G_12970	Chr_11	1068792	1071438	zf-MYND	1
CC1G_13255	U362	34	1891	zf-MYND	1
CC1G_13564	Chr_1	246562	248502	zf-MYND	1
CC1G_14045	Chr_2	3669458	3670342	zf-MYND	1
CC1G_15023	Chr_8	1528541	1530072	zf-MYND	1
CC1G_15236	Chr_10	95891	98004	zf-MYND	1
