#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00193	Chr_5	1307668	1311115	Peptidase_M28	1
CC1G_00900	Chr_7	1386898	1388293	Peptidase_M28	1
CC1G_01248	Chr_5	1990363	1992494	Peptidase_M28	1
CC1G_01316	Chr_5	2141367	2142803	Peptidase_M28	1
CC1G_01543	Chr_10	231876	233592	Peptidase_M28	1
CC1G_03653	Chr_1	1945651	1947081	Peptidase_M28	1
CC1G_03952	Chr_7	502427	505908	Peptidase_M28	1
CC1G_04591	Chr_3	533831	537216	Peptidase_M28	1
CC1G_04928	Chr_2	3655699	3657423	Peptidase_M28	1
CC1G_04948	Chr_2	3711704	3713458	Peptidase_M28	1
CC1G_05883	Chr_7	2522728	2524447	Peptidase_M28	1
CC1G_05917	Chr_7	2647423	2648914	Peptidase_M28	1
CC1G_05918	Chr_7	2650404	2651903	Peptidase_M28	1
CC1G_05923	Chr_7	2665837	2667555	Peptidase_M28	1
CC1G_05925	Chr_7	2669390	2671084	Peptidase_M28	1
CC1G_13886	Chr_2	1198793	1200279	Peptidase_M28	1
