#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_01504	Chr_10	125179	126758	DUF1996	1
CC1G_01640	Chr_10	561025	562919	DUF1996	1
CC1G_02647	Chr_4	315582	316871	DUF1996	1
CC1G_03172	Chr_8	2457915	2459388	DUF1996	1
CC1G_03173	Chr_8	2460797	2462229	DUF1996	1
CC1G_04167	Chr_4	3528900	3530567	DUF1996	1
CC1G_04169	Chr_4	3534264	3536143	DUF1996	1
CC1G_04170	Chr_4	3538428	3540225	DUF1996	1
CC1G_05353	Chr_8	96767	98390	DUF1996	1
CC1G_05556	Chr_13	22974	24929	DUF1996	1
CC1G_05559	Chr_13	30622	31997	DUF1996	1
CC1G_05959	Chr_3	128820	130055	DUF1996	1
CC1G_05960	Chr_3	131637	133014	DUF1996	1
CC1G_05961	Chr_3	134412	135832	DUF1996	1
CC1G_06187	Chr_4	2825045	2827318	DUF1996	1
CC1G_07232	Chr_6	1919466	1920813	DUF1996	1
CC1G_08907	Chr_5	101775	103455	DUF1996	1
CC1G_08921	Chr_5	62491	64100	DUF1996	1
CC1G_09617	Chr_3	76825	78542	DUF1996	1
CC1G_09635	Chr_3	120644	122296	DUF1996	1
CC1G_10047	Chr_4	2693242	2695329	DUF1996	1
CC1G_10434	Chr_7	408213	409450	DUF1996	1
CC1G_10476	Chr_12	52655	54161	DUF1996	1
CC1G_11718	Chr_10	1524328	1526182	DUF1996	1
CC1G_12250	Chr_5	3425522	3427136	DUF1996	1
CC1G_12254	Chr_5	3440570	3441961	DUF1996	1
CC1G_12256	Chr_5	3443590	3445916	DUF1996	1
CC1G_12847	Chr_4	78195	79746	DUF1996	1
CC1G_13557	Chr_1	195405	197149	DUF1996	1
CC1G_14064	Chr_3	125265	126937	DUF1996	1
CC1G_14741	Chr_5	3422631	3424414	DUF1996	1
CC1G_15224	Chr_9	2345072	2346075	DUF1996	1
CC1G_15244	Chr_10	205970	207355	DUF1996	1
CC1G_15646	Chr_11	147363	150024	DUF1996	1
CC1G_15757	Chr_13	20543	21991	DUF1996	1
