#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_01142	Chr_2	1044699	1047087	Pyr_redox	1
CC1G_03850	Chr_2	2400030	2401858	Pyr_redox	1
CC1G_05058	Chr_8	1955242	1956594	Pyr_redox	1
CC1G_06456	Chr_12	1292157	1294760	Pyr_redox	1
CC1G_06972	Chr_6	734972	737320	Pyr_redox	1
CC1G_07228	Chr_6	1930630	1935666	Pyr_redox	1
CC1G_07310	Chr_12	1610123	1612131	Pyr_redox	1
CC1G_07972	Chr_13	472106	474120	Pyr_redox	1
CC1G_08083	Chr_4	3092942	3094986	Pyr_redox	1
CC1G_08451	Chr_12	604494	605863	Pyr_redox	1
CC1G_08456	Chr_12	622243	623666	Pyr_redox	1
CC1G_10894	Chr_11	1203433	1204923	Pyr_redox	1
CC1G_12977	Chr_4	2169879	2172291	Pyr_redox	1
CC1G_13933	Chr_2	1852850	1860473	Pyr_redox	1
CC1G_14860	Chr_7	1825992	1827299	Pyr_redox	2
