#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00573	Chr_1	3277636	3279155	PHD	1
CC1G_00774	Chr_7	992796	996260	PHD	2
CC1G_00853	Chr_7	1247795	1251803	PHD	1
CC1G_01421	Chr_5	2409721	2416277	PHD	2
CC1G_01460	Chr_5	2507072	2508591	PHD	1
CC1G_02362	Chr_3	3225448	3231313	PHD	1
CC1G_02429	Chr_9	778809	785379	PHD	1
CC1G_03932	Chr_7	447382	449653	PHD	1
CC1G_04032	Chr_7	743581	747895	PHD	1
CC1G_04935	Chr_2	3666037	3667510	PHD	1
CC1G_05187	Chr_2	2077029	2080428	PHD	2
CC1G_05200	Chr_2	2106391	2107603	PHD	1
CC1G_05206	Chr_2	2118590	2120795	PHD	1
CC1G_06554	Chr_1	2809006	2810756	PHD	1
CC1G_06739	Chr_1	1714052	1718971	PHD	1
CC1G_07225	Chr_6	1939984	1945926	PHD	1
CC1G_08313	Chr_2	160942	162180	PHD	1
CC1G_10921	Chr_4	1565761	1569157	PHD	1
CC1G_11216	Chr_1	1240570	1244188	PHD	1
CC1G_14233	Chr_3	2382168	2384304	PHD	1
CC1G_14419	Chr_4	2093706	2101960	PHD	2
CC1G_15232	Chr_10	21367	28652	PHD	1
