#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00517	Chr_1	3126646	3128381	FAD_binding_3	1
CC1G_00939	Chr_7	1492608	1494367	FAD_binding_3	1
CC1G_00940	Chr_7	1494556	1496543	FAD_binding_3	1
CC1G_00941	Chr_7	1496916	1498847	FAD_binding_3	1
CC1G_00949	Chr_7	1524784	1526473	FAD_binding_3	1
CC1G_01289	Chr_5	2077864	2079550	FAD_binding_3	1
CC1G_02004	Chr_3	1801257	1803575	FAD_binding_3	1
CC1G_03117	Chr_8	2322693	2324205	FAD_binding_3	1
CC1G_03949	Chr_7	497255	499247	FAD_binding_3	1
CC1G_03987	Chr_7	594827	596613	FAD_binding_3	1
CC1G_04762	Chr_13	718408	720672	FAD_binding_3	1
CC1G_04763	Chr_13	722080	724342	FAD_binding_3	1
CC1G_05817	Chr_12	254203	255985	FAD_binding_3	1
CC1G_05962	Chr_3	137020	138429	FAD_binding_3	1
CC1G_06018	Chr_3	292475	294517	FAD_binding_3	1
CC1G_06468	Chr_12	1318801	1320723	FAD_binding_3	1
CC1G_07315	Chr_12	1634454	1636239	FAD_binding_3	1
CC1G_08083	Chr_4	3092942	3094986	FAD_binding_3	1
CC1G_11929	Chr_2	1726698	1728606	FAD_binding_3	1
CC1G_12057	Chr_7	1844755	1847811	FAD_binding_3	1
CC1G_14808	Chr_7	1004173	1006792	FAD_binding_3	1
CC1G_14809	Chr_7	1007074	1009552	FAD_binding_3	1
CC1G_15391	Chr_12	400464	402601	FAD_binding_3	1
