#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_02130	Chr_10	1721624	1721776	Pheromone	1
CC1G_02132	Chr_10	1724851	1725033	Pheromone	1
CC1G_02133	Chr_10	1726406	1726564	Pheromone	1
CC1G_02134	Chr_10	1727356	1727547	Pheromone	1
CC1G_02135	Chr_10	1728860	1729042	Pheromone	1
CC1G_03452	Chr_8	860822	860905	Pheromone	1
CC1G_03585	Chr_9	1891141	1891296	Pheromone	1
CC1G_08063	Chr_4	3035388	3036243	Pheromone	1
CC1G_08185	Chr_5	637711	637794	Pheromone	1
CC1G_12644	Chr_3	2504754	2504867	Pheromone	1
CC1G_14007	Chr_2	3085435	3085518	Pheromone	1
CC1G_14008	Chr_2	3086272	3086355	Pheromone	1
CC1G_14010	Chr_2	3099158	3099241	Pheromone	1
CC1G_14011	Chr_2	3100540	3100623	Pheromone	1
CC1G_14240	Chr_3	2506020	2506133	Pheromone	1
CC1G_14242	Chr_3	2512989	2513105	Pheromone	1
CC1G_14243	Chr_3	2515228	2515344	Pheromone	1
CC1G_14450	Chr_4	2601984	2602103	Pheromone	1
CC1G_14462	Chr_4	2836897	2836983	Pheromone	1
CC1G_14479	Chr_4	3036867	3036977	Pheromone	1
CC1G_14480	Chr_4	3038311	3038427	Pheromone	1
CC1G_14481	Chr_4	3039450	3039560	Pheromone	1
CC1G_14483	Chr_4	3050016	3050126	Pheromone	1
CC1G_14484	Chr_4	3051153	3051263	Pheromone	1
CC1G_14485	Chr_4	3053030	3053140	Pheromone	1
CC1G_14508	Chr_4	3387244	3387348	Pheromone	1
CC1G_14509	Chr_4	3395469	3395737	Pheromone	1
CC1G_14510	Chr_4	3396992	3397213	Pheromone	1
CC1G_14855	Chr_7	1788541	1788624	Pheromone	1
CC1G_14884	Chr_7	2228986	2229069	Pheromone	1
CC1G_14885	Chr_7	2251430	2251510	Pheromone	1
CC1G_15341	Chr_10	1738721	1738927	Pheromone	1
CC1G_15450	Chr_12	1648000	1648116	Pheromone	1
