#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_01289	Chr_5	2077864	2079550	DAO	1
CC1G_01295	Chr_5	2089635	2091231	DAO	1
CC1G_01677	Chr_1	2269279	2271179	DAO	1
CC1G_02004	Chr_3	1801257	1803575	DAO	1
CC1G_02036	Chr_3	1890451	1892416	DAO	1
CC1G_03090	Chr_8	2232881	2235394	DAO	1
CC1G_03119	Chr_8	2330760	2332425	DAO	1
CC1G_03377	Chr_8	654088	655762	DAO	1
CC1G_03850	Chr_2	2400030	2401858	DAO	1
CC1G_03987	Chr_7	594827	596613	DAO	1
CC1G_04762	Chr_13	718408	720672	DAO	1
CC1G_04763	Chr_13	722080	724342	DAO	1
CC1G_04976	Chr_8	1721136	1722303	DAO	1
CC1G_05387	Chr_8	186663	190020	DAO	1
CC1G_05515	Chr_11	1411302	1412710	DAO	1
CC1G_06018	Chr_3	292475	294517	DAO	1
CC1G_06084	Chr_2	2965904	2968566	DAO	1
CC1G_06455	Chr_12	1288651	1290994	DAO	1
CC1G_06468	Chr_12	1318801	1320723	DAO	1
CC1G_06476	Chr_12	1339899	1342229	DAO	1
CC1G_06978	Chr_6	750840	752919	DAO	1
CC1G_07310	Chr_12	1610123	1612131	DAO	1
CC1G_07595	Chr_4	2575530	2578058	DAO	1
CC1G_08083	Chr_4	3092942	3094986	DAO	1
CC1G_08335	Chr_7	2390853	2393361	DAO	1
CC1G_08456	Chr_12	622243	623666	DAO	1
CC1G_09790	Chr_12	772837	775226	DAO	1
CC1G_09923	Chr_12	1236764	1239938	DAO	1
CC1G_11228	Chr_1	1279129	1281084	DAO	1
CC1G_11850	Chr_6	119925	122110	DAO	1
CC1G_11929	Chr_2	1726698	1728606	DAO	1
CC1G_12057	Chr_7	1844755	1847811	DAO	1
CC1G_12488	Chr_13	938672	940695	DAO	1
CC1G_14162	Chr_3	1397973	1399387	DAO	1
CC1G_15391	Chr_12	400464	402601	DAO	1
CC1G_15413	Chr_12	762619	765041	DAO	1
CC1G_15725	Chr_11	1457162	1458744	DAO	1
