#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00054	Chr_5	1002901	1004651	WD40	3
CC1G_00099	Chr_5	1108163	1110776	WD40	3
CC1G_00216	Chr_5	1357322	1360812	WD40	9
CC1G_00250	Chr_5	1427214	1430497	WD40	5
CC1G_00329	Chr_5	1622280	1624035	WD40	3
CC1G_00488	Chr_1	3050213	3051475	WD40	6
CC1G_00504	Chr_1	3093654	3096109	WD40	3
CC1G_00505	Chr_1	3096798	3098825	WD40	4
CC1G_00568	Chr_1	3269118	3270929	WD40	5
CC1G_00662	Chr_1	3510513	3515642	WD40	1
CC1G_00799	Chr_7	1069961	1071454	WD40	3
CC1G_00847	Chr_7	1223094	1225037	WD40	6
CC1G_00918	Chr_7	1437564	1440226	WD40	1
CC1G_00979	Chr_7	1600267	1602090	WD40	2
CC1G_01055	Chr_2	836918	840236	WD40	7
CC1G_01084	Chr_2	910525	912275	WD40	7
CC1G_01094	Chr_2	932865	934326	WD40	1
CC1G_01157	Chr_2	1079657	1082188	WD40	4
CC1G_01196	Chr_2	1175030	1177164	WD40	2
CC1G_01210	Chr_2	1205586	1208819	WD40	5
CC1G_01231	Chr_2	1249490	1253060	WD40	2
CC1G_01717	Chr_1	2371559	2373605	WD40	1
CC1G_01790	Chr_1	2564978	2566675	WD40	3
CC1G_01858	Chr_1	2717900	2720955	WD40	1
CC1G_01901	Chr_3	1527159	1528388	WD40	3
CC1G_02206	Chr_10	1924892	1926388	WD40	1
CC1G_02644	Chr_4	307163	311372	WD40	3
CC1G_02872	Chr_1	437410	442216	WD40	1
CC1G_02898	Chr_8	1203959	1205230	WD40	3
CC1G_03103	Chr_8	2267485	2272483	WD40	5
CC1G_03127	Chr_8	2349740	2353805	WD40	3
CC1G_03326	Chr_3	2874570	2878647	WD40	3
CC1G_03582	Chr_9	1882568	1885430	WD40	5
CC1G_03596	Chr_9	1914644	1917960	WD40	5
CC1G_03675	Chr_1	2004007	2005340	WD40	7
CC1G_03748	Chr_1	2169466	2171997	WD40	4
CC1G_03801	Chr_2	2282715	2284837	WD40	7
CC1G_03860	Chr_2	2425083	2426273	WD40	3
CC1G_03943	Chr_7	475153	477414	WD40	6
CC1G_04040	Chr_7	764750	766679	WD40	3
CC1G_04097	Chr_4	3344332	3346321	WD40	2
CC1G_04195	Chr_2	1398835	1400982	WD40	2
CC1G_04207	Chr_2	1421856	1424490	WD40	1
CC1G_04441	Chr_1	956185	959415	WD40	2
CC1G_04597	Chr_3	550763	552543	WD40	3
CC1G_05137	Chr_2	1951836	1952900	WD40	1
CC1G_05176	Chr_2	2049848	2052575	WD40	5
CC1G_05316	Chr_11	1028872	1030387	WD40	6
CC1G_05429	Chr_8	299909	302321	WD40	1
CC1G_05470	Chr_11	1545478	1547033	WD40	4
CC1G_05619	Chr_13	191103	192528	WD40	5
CC1G_05746	Chr_7	2243467	2245951	WD40	1
CC1G_05818	Chr_12	256243	258805	WD40	1
CC1G_05895	Chr_7	2578980	2580952	WD40	8
CC1G_06443	Chr_4	2157689	2159067	WD40	2
CC1G_06498	Chr_12	1387561	1391786	WD40	9
CC1G_06504	Chr_12	1406179	1409575	WD40	2
CC1G_06538	Chr_1	2770102	2773092	WD40	9
CC1G_06922	Chr_6	588848	592318	WD40	6
CC1G_06941	Chr_6	649684	652055	WD40	2
CC1G_06967	Chr_6	723248	724718	WD40	3
CC1G_07088	Chr_4	2381356	2382853	WD40	5
CC1G_07235	Chr_6	1912338	1913797	WD40	2
CC1G_07289	Chr_12	1549925	1558402	WD40	1
CC1G_07356	Chr_3	1985681	1986962	WD40	5
CC1G_07374	Chr_3	2026373	2027322	WD40	2
CC1G_07477	Chr_9	571174	575392	WD40	2
CC1G_07578	Chr_4	2531391	2532921	WD40	4
CC1G_07680	Chr_9	1514146	1518541	WD40	6
CC1G_08193	Chr_5	621992	623863	WD40	2
CC1G_08195	Chr_5	617239	619406	WD40	1
CC1G_08285	Chr_2	78396	84034	WD40	13
CC1G_08354	Chr_7	2437239	2438975	WD40	5
CC1G_08510	Chr_9	2188800	2191619	WD40	7
CC1G_08590	Chr_9	2070443	2074018	WD40	7
CC1G_08666	Chr_6	407344	409514	WD40	3
CC1G_08668	Chr_6	412131	416568	WD40	2
CC1G_08691	Chr_6	484940	490783	WD40	1
CC1G_09011	Chr_7	1703544	1705622	WD40	2
CC1G_09232	Chr_11	1721324	1726623	WD40	2
CC1G_09376	Chr_9	302153	303718	WD40	3
CC1G_09388	Chr_9	334636	336078	WD40	3
CC1G_09413	Chr_10	654086	655974	WD40	1
CC1G_09511	Chr_6	1230870	1233871	WD40	4
CC1G_09562	Chr_11	363699	368608	WD40	14
CC1G_09822	Chr_6	909261	911136	WD40	3
CC1G_10286	Chr_1	1387995	1390216	WD40	4
CC1G_10289	Chr_1	1394714	1396353	WD40	1
CC1G_10527	Chr_1	1492541	1495279	WD40	5
CC1G_10543	Chr_1	1523865	1525496	WD40	2
CC1G_10581	Chr_2	591477	593817	WD40	6
CC1G_10643	Chr_5	2797702	2799034	WD40	4
CC1G_10986	Chr_5	3310022	3311974	WD40	5
CC1G_11339	Chr_11	1252385	1255652	WD40	5
CC1G_11765	Chr_2	2223665	2225048	WD40	1
CC1G_12115	Chr_6	235089	236966	WD40	3
CC1G_12158	Chr_1	523946	529737	WD40	11
CC1G_12428	Chr_5	3010023	3011302	WD40	3
CC1G_12569	Chr_4	2236515	2238015	WD40	4
CC1G_13125	Chr_11	265999	270491	WD40	6
CC1G_13608	Chr_1	971303	974131	WD40	2
CC1G_13641	Chr_1	1657374	1658688	WD40	1
CC1G_13860	Chr_2	832744	834144	WD40	6
CC1G_14005	Chr_2	2977612	2979866	WD40	6
CC1G_14323	Chr_4	356466	358803	WD40	5
CC1G_14404	Chr_4	1859929	1861940	WD40	3
CC1G_14636	Chr_5	1640548	1642689	WD40	2
CC1G_14826	Chr_7	1290554	1291818	WD40	5
CC1G_15002	Chr_8	1229106	1232780	WD40	2
CC1G_15084	Chr_8	2308414	2313141	WD40	3
CC1G_15653	Chr_11	294056	298525	WD40	9
