#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00849	Chr_7	1228455	1230204	zf-CCCH	1
CC1G_01783	Chr_1	2551957	2554178	zf-CCCH	2
CC1G_03236	Chr_3	2634953	2636103	zf-CCCH	1
CC1G_03955	Chr_7	511085	514545	zf-CCCH	1
CC1G_03968	Chr_7	546779	550296	zf-CCCH	1
CC1G_04402	Chr_1	856987	859394	zf-CCCH	2
CC1G_04561	Chr_3	1154852	1155747	zf-CCCH	2
CC1G_05686	Chr_7	2082572	2085412	zf-CCCH	2
CC1G_05751	Chr_7	2261039	2263474	zf-CCCH	1
CC1G_07804	Chr_12	1871379	1872079	zf-CCCH	1
CC1G_07829	Chr_4	1171410	1174729	zf-CCCH	1
CC1G_08614	Chr_9	2135415	2137957	zf-CCCH	1
CC1G_08650	Chr_1	1084028	1086809	zf-CCCH	1
CC1G_09016	Chr_7	1719876	1724413	zf-CCCH	5
CC1G_11608	Chr_11	1096660	1100385	zf-CCCH	1
CC1G_11684	Chr_8	1124477	1126334	zf-CCCH	2
CC1G_12852	Chr_4	91393	92911	zf-CCCH	1
CC1G_13658	Chr_1	1812263	1813327	zf-CCCH	3
