#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00337	Chr_5	1651407	1653331	HATPase_c	1
CC1G_00773	Chr_7	986876	989462	HATPase_c	1
CC1G_02967	Chr_8	1406381	1412118	HATPase_c	1
CC1G_03723	Chr_1	2110709	2116151	HATPase_c	1
CC1G_03927	Chr_2	2582694	2585069	HATPase_c	1
CC1G_05322	Chr_11	1045556	1048733	HATPase_c	1
CC1G_07970	Chr_13	461475	464642	HATPase_c	1
CC1G_12208	Chr_10	2059233	2063377	HATPase_c	1
CC1G_13258	U362	5603	9084	HATPase_c	1
CC1G_13678	Chr_1	2212002	2221990	HATPase_c	1
CC1G_13956	Chr_2	2094737	2096184	HATPase_c	1
CC1G_14422	Chr_4	2138069	2144168	HATPase_c	1
CC1G_14625	Chr_5	1529195	1532344	HATPase_c	1
CC1G_15212	Chr_9	2105762	2109937	HATPase_c	1
