#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00265	Chr_5	1454687	1456802	Sugar_tr	1
CC1G_00391	Chr_5	1783156	1784855	Sugar_tr	1
CC1G_00802	Chr_7	1081438	1083926	Sugar_tr	1
CC1G_00859	Chr_7	1266827	1268864	Sugar_tr	1
CC1G_00931	Chr_7	1474097	1476740	Sugar_tr	1
CC1G_01091	Chr_2	925692	928068	Sugar_tr	1
CC1G_01172	Chr_2	1123696	1126807	Sugar_tr	1
CC1G_01485	Chr_10	89769	92811	Sugar_tr	1
CC1G_01719	Chr_1	2376663	2379101	Sugar_tr	1
CC1G_02139	Chr_10	1742704	1745121	Sugar_tr	1
CC1G_02148	Chr_10	1768398	1770616	Sugar_tr	1
CC1G_02332	Chr_3	3142398	3145077	Sugar_tr	1
CC1G_02470	Chr_9	903047	905158	Sugar_tr	1
CC1G_02495	Chr_9	963622	965656	Sugar_tr	1
CC1G_02630	Chr_4	275998	278517	Sugar_tr	1
CC1G_02700	Chr_4	441438	444011	Sugar_tr	1
CC1G_03045	Chr_8	2121323	2123124	Sugar_tr	1
CC1G_03170	Chr_8	2453371	2455890	Sugar_tr	1
CC1G_03520	Chr_9	1728609	1730670	Sugar_tr	1
CC1G_03521	Chr_9	1731569	1733743	Sugar_tr	1
CC1G_03544	Chr_9	1780721	1783166	Sugar_tr	1
CC1G_03577	Chr_9	1869951	1872266	Sugar_tr	1
CC1G_04071	Chr_4	3272184	3274629	Sugar_tr	1
CC1G_04404	Chr_1	865808	869115	Sugar_tr	1
CC1G_04596	Chr_3	543557	546402	Sugar_tr	1
CC1G_04773	Chr_13	754278	756724	Sugar_tr	1
CC1G_04914	Chr_2	3618647	3620679	Sugar_tr	1
CC1G_04937	Chr_2	3672254	3674553	Sugar_tr	1
CC1G_05107	Chr_2	1871725	1873581	Sugar_tr	1
CC1G_05143	Chr_2	1968115	1977481	Sugar_tr	1
CC1G_05395	Chr_8	204873	207883	Sugar_tr	1
CC1G_05616	Chr_13	183956	187051	Sugar_tr	1
CC1G_05727	Chr_7	2197753	2200033	Sugar_tr	1
CC1G_05822	Chr_12	266040	268123	Sugar_tr	1
CC1G_05921	Chr_7	2656775	2659061	Sugar_tr	1
CC1G_06167	Chr_4	2766808	2768662	Sugar_tr	1
CC1G_06186	Chr_4	2822216	2824205	Sugar_tr	1
CC1G_07084	Chr_4	2369050	2371505	Sugar_tr	1
CC1G_07508	Chr_6	1386175	1388411	Sugar_tr	1
CC1G_07519	Chr_6	1418481	1420572	Sugar_tr	1
CC1G_07644	Chr_9	1405582	1407522	Sugar_tr	1
CC1G_07697	Chr_9	1201728	1204020	Sugar_tr	1
CC1G_07783	Chr_12	1824827	1827086	Sugar_tr	1
CC1G_07797	Chr_12	1857286	1859554	Sugar_tr	1
CC1G_07988	Chr_13	509293	511824	Sugar_tr	1
CC1G_08333	Chr_7	2386268	2388619	Sugar_tr	1
CC1G_08389	Chr_7	2804781	2806547	Sugar_tr	1
CC1G_08415	Chr_7	2865120	2867474	Sugar_tr	1
CC1G_08416	Chr_7	2867781	2870146	Sugar_tr	1
CC1G_08899	Chr_5	117992	120470	Sugar_tr	1
CC1G_09161	Chr_2	2805938	2808450	Sugar_tr	1
CC1G_09354	Chr_3	1322483	1324381	Sugar_tr	1
CC1G_09502	Chr_6	1204703	1206925	Sugar_tr	1
CC1G_09642	Chr_11	446693	448759	Sugar_tr	1
CC1G_09840	Chr_6	971606	973365	Sugar_tr	1
CC1G_09841	Chr_6	975601	977447	Sugar_tr	1
CC1G_10056	Chr_4	2713370	2715233	Sugar_tr	1
CC1G_10057	Chr_4	2715827	2717701	Sugar_tr	1
CC1G_10170	Chr_7	9706	12079	Sugar_tr	1
CC1G_10601	Chr_11	110935	112960	Sugar_tr	1
CC1G_10738	Chr_4	796325	798105	Sugar_tr	1
CC1G_12285	Chr_1	35260	37892	Sugar_tr	1
CC1G_12416	Chr_4	2200265	2203490	Sugar_tr	1
CC1G_12575	Chr_5	3212471	3214747	Sugar_tr	1
CC1G_12848	Chr_4	80379	82365	Sugar_tr	1
CC1G_13691	Chr_1	2354397	2356845	Sugar_tr	1
CC1G_13962	Chr_2	2289726	2292839	Sugar_tr	1
CC1G_14403	Chr_4	1856857	1859523	Sugar_tr	1
CC1G_14900	Chr_7	2488809	2490997	Sugar_tr	1
CC1G_15030	Chr_8	1631674	1634718	Sugar_tr	1
CC1G_15077	Chr_8	2191700	2193840	Sugar_tr	1
CC1G_15342	Chr_10	1760919	1763092	Sugar_tr	1
CC1G_15343	Chr_10	1763373	1765574	Sugar_tr	1
CC1G_15788	Chr_13	630381	633319	Sugar_tr	1
