#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_01449	Chr_5	2482103	2484491	Aldedh	1
CC1G_01738	Chr_1	2422708	2425122	Aldedh	1
CC1G_03873	Chr_2	2453043	2455377	Aldedh	1
CC1G_04119	Chr_4	3392095	3394637	Aldedh	1
CC1G_05802	Chr_12	210852	213265	Aldedh	1
CC1G_05826	Chr_12	273760	275811	Aldedh	1
CC1G_05987	Chr_3	210193	211852	Aldedh	1
CC1G_06909	Chr_6	555839	558172	Aldedh	1
CC1G_07703	Chr_9	1219359	1221527	Aldedh	1
CC1G_09001	Chr_7	1677672	1679203	Aldedh	1
CC1G_10646	Chr_5	2803395	2805557	Aldedh	1
CC1G_11605	Chr_11	1087038	1089126	Aldedh	1
CC1G_14615	Chr_5	1380728	1383341	Aldedh	1
